,date,PM2.5,SO2,NO2
0,2018-01-01,56.15,15.64,23.19
1,2018-02-01,63.43,14.94,27.66
2,2018-03-01,72.61,15.33,26.38
3,2018-04-01,67.91,21.94,17.32
4,2018-05-01,71.39,21.53,31.98
5,2018-06-01,72.2,15.72,36.49
6,2018-07-01,68.19,14.16,25.92
7,2018-08-01,68.22,14.14,27.79
8,2018-09-01,77.33,16.21,31.86
9,2018-10-01,71.11,15.43,28.03
10,2018-11-01,74.58,20.02,32.66
11,2018-12-01,67.88,22.09,34.27
12,2018-01-13,68.86,22.54,34.93
13,2018-01-14,69.03,15.21,28.52
14,2018-01-15,61.96,13.69,16.6
15,2018-01-16,57.11,12.09,18.87
16,2018-01-17,59.27,16.0,23.89
17,2018-01-18,63.86,19.02,29.14
18,2018-01-19,59.41,23.05,30.31
19,2018-01-20,62.92,29.04,35.7
20,2018-01-21,65.15,19.29,31.26
21,2018-01-22,70.95,16.38,27.97
22,2018-01-23,52.79,10.94,20.52
23,2018-01-24,59.89,14.71,17.3
24,2018-01-25,62.83,16.97,22.8
25,2018-01-26,64.69,23.41,29.82
26,2018-01-27,66.91,18.68,35.31
27,2018-01-28,67.77,15.57,26.99
28,2018-01-29,62.48,16.4,24.74
29,2018-01-30,56.6,23.85,32.01
30,2018-01-31,51.04,20.32,35.55
31,2018-01-02,42.62,26.66,33.33
32,2018-02-02,40.27,19.79,33.26
33,2018-03-02,38.07,13.13,29.05
34,2018-04-02,33.48,16.26,19.88
35,2018-05-02,35.37,14.66,21.43
36,2018-06-02,53.55,20.66,36.13
37,2018-07-02,48.77,13.35,36.99
38,2018-08-02,35.26,14.41,27.7
39,2018-09-02,38.21,17.17,23.29
40,2018-10-02,43.37,27.0,27.64
41,2018-11-02,36.35,25.97,13.98
42,2018-12-02,43.44,18.59,9.37
43,2018-02-13,43.95,17.66,0.1
44,2018-02-14,47.61,18.63,17.258000000000003
45,2018-02-15,48.29,22.03,18.86
46,2018-02-16,50.0,22.04,24.12
47,2018-02-17,44.22,17.0,31.48
48,2018-02-18,51.03,14.57,29.73
49,2018-02-19,40.4,9.68,18.68
50,2018-02-20,42.96,9.66,17.32
51,2018-02-21,49.43,10.12,19.25
52,2018-02-22,55.13,17.75,22.84
53,2018-02-23,49.98,12.13,24.75
54,2018-02-24,35.84,17.02,22.09
55,2018-02-25,36.97,14.99,28.79
56,2018-02-26,47.53,11.37,33.4
57,2018-02-27,52.58,16.96,34.68
58,2018-02-28,60.23,16.78,43.32
59,2018-01-03,50.38,12.91,33.21
60,2018-02-03,45.02,11.6,25.41
61,2018-03-03,45.34,12.8,22.27
62,2018-04-03,45.28,12.61,19.35
63,2018-05-03,40.05,12.96,19.92
64,2018-06-03,41.53,13.64,18.42
65,2018-07-03,75.14,12.44,13.87
66,2018-08-03,36.258372232196294,9.457092954410893,14.2701836492891
67,2018-09-03,36.258372232196294,9.457092954410893,14.2701836492891
68,2018-10-03,75.62,11.88,30.85
69,2018-11-03,48.44,11.65,15.16
70,2018-12-03,35.32,7.92,18.41
71,2018-03-13,36.48,8.26,19.69
72,2018-03-14,43.87,11.41,18.97
73,2018-03-15,45.8,13.6,16.4
74,2018-03-16,60.17,20.89,20.86
75,2018-03-17,48.47,12.83,16.28
76,2018-03-18,38.33,10.81,16.39
77,2018-03-19,43.02,10.36,20.4
78,2018-03-20,51.28,10.76,19.92
79,2018-03-21,56.04,14.1,21.15
80,2018-03-22,50.73,16.26,27.63
81,2018-03-23,57.22,18.65,30.64
82,2018-03-24,59.51,19.27,34.79
83,2018-03-25,69.72,17.49,28.21
84,2018-03-26,62.03,14.62,20.34
85,2018-03-27,55.02,15.21,20.0
86,2018-03-28,49.93,12.06,17.55
87,2018-03-29,57.57,11.02,25.66
88,2018-03-30,52.73,11.93,18.1
89,2018-03-31,47.45,13.76,17.41
90,2018-01-04,41.46,12.33,12.66
91,2018-02-04,37.96,9.82,20.08
92,2018-03-04,48.16,10.43,19.23
93,2018-04-04,41.85,10.98,13.29
94,2018-05-04,40.24,9.99,13.83
95,2018-06-04,43.01,11.38,18.64
96,2018-07-04,30.01,16.56,27.5
97,2018-08-04,29.52,12.75,19.8
98,2018-09-04,36.39,12.17,21.01
99,2018-10-04,34.54,12.37,25.79
100,2018-11-04,25.6,13.14,16.74
101,2018-12-04,31.89,16.65,32.09
102,2018-04-13,23.86,11.18,15.26
