,date,SO2,NO2,CO
0,2018-01-01,13.361863354037265,7.47725,0.5950310559006212
1,2018-02-01,13.361863354037265,7.47725,0.5950310559006212
2,2018-03-01,13.361863354037265,7.47725,0.5950310559006212
3,2018-04-01,13.361863354037265,7.47725,0.5950310559006212
4,2018-05-01,13.361863354037265,7.47725,0.5950310559006212
5,2018-06-01,13.361863354037265,7.47725,0.5950310559006212
6,2018-07-01,13.361863354037265,7.47725,0.5950310559006212
7,2018-08-01,13.361863354037265,7.47725,0.5950310559006212
8,2018-09-01,13.361863354037265,7.47725,0.5950310559006212
9,2018-10-01,13.361863354037265,7.47725,0.5950310559006212
10,2018-11-01,13.361863354037265,7.47725,0.5950310559006212
11,2018-12-01,13.361863354037265,7.47725,0.5950310559006212
12,2018-01-13,13.361863354037265,7.47725,0.5950310559006212
13,2018-01-14,13.361863354037265,7.47725,0.5950310559006212
14,2018-01-15,13.361863354037265,7.47725,0.5950310559006212
15,2018-01-16,13.361863354037265,7.47725,0.5950310559006212
16,2018-01-17,13.361863354037265,7.47725,0.5950310559006212
17,2018-01-18,13.361863354037265,7.47725,0.5950310559006212
18,2018-01-19,13.361863354037265,7.47725,0.5950310559006212
19,2018-01-20,13.361863354037265,7.47725,0.5950310559006212
20,2018-01-21,13.361863354037265,7.47725,0.5950310559006212
21,2018-01-22,13.361863354037265,7.47725,0.5950310559006212
22,2018-01-23,13.361863354037265,7.47725,0.5950310559006212
23,2018-01-24,13.361863354037265,7.47725,0.5950310559006212
24,2018-01-25,13.361863354037265,7.47725,0.5950310559006212
25,2018-01-26,13.361863354037265,7.47725,0.5950310559006212
26,2018-01-27,13.361863354037265,7.47725,0.5950310559006212
27,2018-01-28,13.361863354037265,7.47725,0.5950310559006212
28,2018-01-29,13.361863354037265,7.47725,0.5950310559006212
29,2018-01-30,13.361863354037265,7.47725,0.5950310559006212
30,2018-01-31,13.361863354037265,7.47725,0.5950310559006212
31,2018-01-02,13.361863354037265,7.47725,0.5950310559006212
32,2018-02-02,13.361863354037265,7.47725,0.5950310559006212
33,2018-03-02,13.361863354037265,7.47725,0.5950310559006212
34,2018-04-02,13.361863354037265,7.47725,0.5950310559006212
35,2018-05-02,13.361863354037265,7.47725,0.5950310559006212
36,2018-06-02,13.361863354037265,7.47725,0.5950310559006212
37,2018-07-02,13.361863354037265,7.47725,0.5950310559006212
38,2018-08-02,13.361863354037265,7.47725,0.5950310559006212
39,2018-09-02,13.361863354037265,7.47725,0.5950310559006212
40,2018-10-02,13.361863354037265,7.47725,0.5950310559006212
41,2018-11-02,13.361863354037265,7.47725,0.5950310559006212
42,2018-12-02,13.361863354037265,7.47725,0.5950310559006212
43,2018-02-13,13.361863354037265,7.47725,0.5950310559006212
44,2018-02-14,13.361863354037265,7.47725,0.5950310559006212
45,2018-02-15,13.361863354037265,7.47725,0.5950310559006212
46,2018-02-16,13.361863354037265,7.47725,0.5950310559006212
47,2018-02-17,13.361863354037265,7.47725,0.5950310559006212
48,2018-02-18,13.361863354037265,7.47725,0.5950310559006212
49,2018-02-19,13.361863354037265,7.47725,0.5950310559006212
50,2018-02-20,13.361863354037265,7.47725,0.5950310559006212
51,2018-02-21,13.361863354037265,7.47725,0.5950310559006212
52,2018-02-22,13.361863354037265,7.47725,0.5950310559006212
53,2018-02-23,13.361863354037265,7.47725,0.5950310559006212
54,2018-02-24,13.361863354037265,7.47725,0.5950310559006212
55,2018-02-25,13.361863354037265,7.47725,0.5950310559006212
56,2018-02-26,13.361863354037265,7.47725,0.5950310559006212
57,2018-02-27,13.361863354037265,7.47725,0.5950310559006212
58,2018-02-28,13.361863354037265,7.47725,0.5950310559006212
59,2018-01-03,13.361863354037265,7.47725,0.5950310559006212
60,2018-02-03,13.361863354037265,7.47725,0.5950310559006212
61,2018-03-03,13.361863354037265,7.47725,0.5950310559006212
62,2018-04-03,13.361863354037265,7.47725,0.5950310559006212
63,2018-05-03,13.361863354037265,7.47725,0.5950310559006212
64,2018-06-03,13.361863354037265,7.47725,0.5950310559006212
65,2018-07-03,13.361863354037265,7.47725,0.5950310559006212
66,2018-08-03,13.361863354037265,7.47725,0.5950310559006212
67,2018-09-03,13.361863354037265,7.47725,0.5950310559006212
68,2018-10-03,13.361863354037265,7.47725,0.5950310559006212
69,2018-11-03,13.361863354037265,7.47725,0.5950310559006212
70,2018-12-03,13.361863354037265,7.47725,0.5950310559006212
71,2018-03-13,13.361863354037265,7.47725,0.5950310559006212
72,2018-03-14,13.361863354037265,7.47725,0.5950310559006212
73,2018-03-15,13.361863354037265,7.47725,0.5950310559006212
74,2018-03-16,13.361863354037265,7.47725,0.5950310559006212
75,2018-03-17,13.361863354037265,7.47725,0.5950310559006212
76,2018-03-18,13.361863354037265,7.47725,0.5950310559006212
77,2018-03-19,13.361863354037265,7.47725,0.5950310559006212
78,2018-03-20,13.361863354037265,7.47725,0.5950310559006212
79,2018-03-21,13.361863354037265,7.47725,0.5950310559006212
80,2018-03-22,13.361863354037265,7.47725,0.5950310559006212
81,2018-03-23,13.361863354037265,7.47725,0.5950310559006212
82,2018-03-24,13.361863354037265,7.47725,0.5950310559006212
83,2018-03-25,13.361863354037265,7.47725,0.5950310559006212
84,2018-03-26,13.361863354037265,7.47725,0.5950310559006212
