,date,PM2.5,SO2,NO2
0,2018-01-01,341.93,9.97,50.29
1,2018-02-01,228.99,4.62,51.22
2,2018-03-01,277.04,8.05,54.0
3,2018-04-01,297.57,10.07,50.87
4,2018-05-01,226.9,4.01,53.11
5,2018-06-01,251.42,11.72,56.36
6,2018-07-01,233.03,8.11,59.62
7,2018-08-01,172.08,7.57,58.23
8,2018-09-01,220.74,7.21,61.1
9,2018-10-01,183.03,3.82,63.67
10,2018-11-01,128.7,3.07,61.08
11,2018-12-01,171.2,9.0,65.68
12,2018-01-13,237.87,13.44,67.34
13,2018-01-14,190.9,11.98,63.34
14,2018-01-15,221.24,13.76,73.29
15,2018-01-16,157.44,13.77,66.74
16,2018-01-17,240.16,15.42,61.22
17,2018-01-18,234.2,13.79,59.62
18,2018-01-19,222.21,16.57,56.8
19,2018-01-20,177.97,16.24,64.61
20,2018-01-21,196.53,19.59,60.76
21,2018-01-22,204.92,18.82,58.33
22,2018-01-23,168.84,17.47,57.61
23,2018-01-24,168.69,19.45,57.53
24,2018-01-25,173.32,25.24,58.88
25,2018-01-26,238.83,26.75,56.91
26,2018-01-27,246.01,25.37,53.98
27,2018-01-28,243.46,25.21,58.41
28,2018-01-29,246.11,28.0,64.52
29,2018-01-30,100.58,25.31,63.89
30,2018-01-31,91.09,26.36,61.64
31,2018-01-02,116.6,27.83,59.68
32,2018-02-02,148.67,28.19,54.9
33,2018-03-02,115.22,27.5,57.42
34,2018-04-02,106.33,28.58,58.19
35,2018-05-02,127.15,29.38,60.27
36,2018-06-02,137.8,28.28,61.37
37,2018-07-02,118.01,32.05,61.59
38,2018-08-02,127.84,33.4,59.94
39,2018-09-02,152.32,34.27,60.43
40,2018-10-02,184.38,40.24,55.05
41,2018-11-02,118.14,34.75,53.52
42,2018-12-02,82.05,33.22,50.22
43,2018-02-13,87.06,34.22,50.02
44,2018-02-14,72.99,34.37,54.51
45,2018-02-15,60.48,35.75,59.4
46,2018-02-16,92.48,39.19,59.7
47,2018-02-17,99.54,40.13,55.86
48,2018-02-18,115.97,39.41,52.67
49,2018-02-19,131.47,42.56,54.2
50,2018-02-20,146.88,29.32,61.19
51,2018-02-21,153.98,11.26,55.3
52,2018-02-22,143.63,9.94,52.65
53,2018-02-23,120.97,3.4,45.52
54,2018-02-24,105.31,4.7,44.77
55,2018-02-25,136.45,5.27,42.76
56,2018-02-26,55.42,3.35,47.7
57,2018-02-27,67.36,3.56,46.6
58,2018-02-28,98.97,4.29,46.99
59,2018-01-03,133.24,7.12,41.03
60,2018-02-03,129.62,3.26,40.55
61,2018-03-03,80.25,7.47,44.56
62,2018-04-03,77.16,4.41,37.63
63,2018-05-03,54.31,7.41,42.52
64,2018-06-03,68.23,8.62,46.64
65,2018-07-03,72.03,4.04,48.45
66,2018-08-03,92.88,5.98,41.54
67,2018-09-03,92.9,4.77,42.89
68,2018-10-03,87.93,3.22,45.51
69,2018-11-03,89.33,6.11,41.86
70,2018-12-03,86.93,5.18,45.62
71,2018-03-13,89.23,7.09,46.16
72,2018-03-14,101.13,9.25,47.32
73,2018-03-15,86.08,7.81,39.53
74,2018-03-16,102.55,2.76,41.89
75,2018-03-17,76.42,3.62,43.2
76,2018-03-18,71.18,3.22,45.9
77,2018-03-19,100.3,9.96,48.43
78,2018-03-20,98.01,7.36,44.09
79,2018-03-21,84.48,3.02,45.28
80,2018-03-22,101.82,5.46,44.44
81,2018-03-23,66.69,8.65,43.66
82,2018-03-24,88.76,5.01,46.46
83,2018-03-25,70.97,3.55,45.02
84,2018-03-26,67.65,3.4,49.72
85,2018-03-27,87.15,12.9,49.6
86,2018-03-28,72.58,8.08,48.43
87,2018-03-29,88.19,6.19,50.69
88,2018-03-30,88.76,9.51,46.96
89,2018-03-31,60.17,5.75,39.59
90,2018-01-04,61.92,2.21,37.68
91,2018-02-04,71.23,6.13,36.06
92,2018-03-04,88.22,9.66,36.88
93,2018-04-04,79.24,7.99,37.25
94,2018-05-04,82.23,7.08,34.02
95,2018-06-04,155.0,7.67,38.83
96,2018-07-04,55.1,3.8,43.31
97,2018-08-04,52.15,6.87,40.66
98,2018-09-04,61.51,1.75,38.79
99,2018-10-04,58.05,2.69,39.47
100,2018-11-04,55.95,4.96,34.59
101,2018-12-04,35.67,9.47,28.24
102,2018-04-13,84.23,7.58,97.39
103,2018-04-14,86.0,4.82,57.71
104,2018-04-15,86.44,7.68,57.36
105,2018-04-16,85.5,5.01,55.27
106,2018-04-17,55.14,9.37,43.98
107,2018-04-18,75.72,6.62,40.07
108,2018-04-19,78.2,12.23,43.17
109,2018-04-20,75.17,5.97,35.34
110,2018-04-21,130.95,4.46,36.47
111,2018-04-22,61.5,10.37,38.44
112,2018-04-23,53.15,6.84,48.35
113,2018-04-24,68.22,6.99,48.37
114,2018-04-25,70.91,11.68,52.2
115,2018-04-26,70.31,12.12,48.21
116,2018-04-27,81.99,5.25,34.42
117,2018-04-28,73.82,9.75,31.97
118,2018-04-29,70.02,4.48,36.13
119,2018-04-30,51.11,8.68,33.3
120,2018-01-05,52.06,4.8,31.74
121,2018-02-05,61.85,11.08,30.39
122,2018-03-05,41.23,6.85,32.72
123,2018-04-05,58.77,11.67,36.39
124,2018-05-05,76.44,4.74,33.46
125,2018-06-05,76.35,9.37,28.75
126,2018-07-05,73.92,12.98,41.21
127,2018-08-05,62.76,13.28,32.14
128,2018-09-05,67.79,6.93,30.57
129,2018-10-05,69.64,9.44,39.12
130,2018-11-05,95.95,10.08,43.59
131,2018-12-05,99.63,12.12,35.17
132,2018-05-13,76.78,1.41,33.1
133,2018-05-14,50.72,5.8,31.45
134,2018-05-15,63.61,9.17,31.92
135,2018-05-16,134.4,9.65,39.81
136,2018-05-17,115.5,10.25,38.31
137,2018-05-18,89.98,3.75,30.33
138,2018-05-19,106.41,8.92,34.62
139,2018-05-20,87.82,6.76,35.43
140,2018-05-21,71.13,12.39,39.14
141,2018-05-22,79.62,6.12,47.42
142,2018-05-23,97.13,5.25,37.87
143,2018-05-24,87.97,5.83,34.16
144,2018-05-25,65.33,4.94,49.02
145,2018-05-26,81.93,12.04,45.71
146,2018-05-27,80.01,5.47,49.36
147,2018-05-28,89.8,11.19,45.0
148,2018-05-29,77.74,10.69,37.31
149,2018-05-30,82.02,9.21,34.41
150,2018-05-31,69.43,9.22,33.77
151,2018-01-06,81.4,7.67,28.92
152,2018-02-06,68.9,5.83,29.89
153,2018-03-06,69.11,4.76,28.99
154,2018-04-06,68.2,8.91,30.46
155,2018-05-06,62.68,15.01,30.01
156,2018-06-06,60.67,7.09,30.76
157,2018-07-06,64.29,6.83,29.64
158,2018-08-06,76.6,8.1,29.27
159,2018-09-06,84.2,10.79,30.64
160,2018-10-06,41.6,7.95,36.95
161,2018-11-06,62.11,9.4,44.85
162,2018-12-06,60.33,13.41,48.7
163,2018-06-13,60.91,10.69,45.64
164,2018-06-14,58.47,9.38,54.13
165,2018-06-15,52.13,11.19,52.31
166,2018-06-16,45.62,7.85,48.81
167,2018-06-17,48.61,7.27,38.83
168,2018-06-18,62.67,6.43,39.58
169,2018-06-19,43.34,11.27,44.39
170,2018-06-20,48.0,7.36,48.28
171,2018-06-21,79.2,7.14,39.06
172,2018-06-22,68.51,10.71,40.98
173,2018-06-23,57.61,11.62,39.31
174,2018-06-24,69.11,7.91,44.11
175,2018-06-25,48.14,10.74,41.0
176,2018-06-26,42.77,7.3,37.66
177,2018-06-27,35.88,9.19,35.53
178,2018-06-28,30.98,7.43,48.24
179,2018-06-29,34.64,19.36,74.16
180,2018-06-30,32.72,14.2,58.38
181,2018-01-07,62.09,13.4,42.73
182,2018-02-07,40.62,13.73,32.74
183,2018-03-07,33.57,11.9,29.93
184,2018-04-07,31.38,17.51,35.25
185,2018-05-07,30.91,11.12,30.04
186,2018-06-07,41.04,13.23,35.79
187,2018-07-07,75.52,15.87,31.59
188,2018-08-07,88.39,18.94,32.32
189,2018-09-07,51.21,22.65,26.08
190,2018-10-07,41.61,12.67,26.99
191,2018-11-07,40.59,15.67,37.25
192,2018-12-07,37.85,17.3,44.32
193,2018-07-13,30.97,11.77,42.42
194,2018-07-14,25.19,8.35,42.6
195,2018-07-15,33.51,11.32,42.72
196,2018-07-16,34.61,18.57,39.57
197,2018-07-17,26.26,18.24,37.28
198,2018-07-18,27.63,13.86,38.2
199,2018-07-19,21.12,14.91,42.93
200,2018-07-20,22.07,17.77,44.7
201,2018-07-21,23.44,16.14,45.44
202,2018-07-22,24.29,22.19,40.98
203,2018-07-23,21.59,13.42,38.77
204,2018-07-24,23.58,18.45,38.37
205,2018-07-25,19.76,16.54,41.37
206,2018-07-26,25.54,7.96,32.28
207,2018-07-27,51.47,19.07,36.7
208,2018-07-28,46.58,15.88,33.47
209,2018-07-29,44.89,20.88,32.67
210,2018-07-30,38.81,14.09,32.62
211,2018-07-31,41.2,20.46,34.03
212,2018-01-08,43.23,21.29,34.1
213,2018-02-08,63.08,9.91,34.95
214,2018-03-08,63.77,22.75,38.14
215,2018-04-08,48.86,22.13,34.81
216,2018-05-08,50.09,21.37,37.04
217,2018-06-08,42.85,11.82,39.12
218,2018-07-08,37.01,22.64,36.68
219,2018-08-08,29.4,18.2,37.91
220,2018-09-08,34.18,16.25,36.66
221,2018-10-08,46.7,18.08,40.71
