,date,PM2.5,SO2,NO2
0,2018-01-01,167.02,8.51,33.86
1,2018-02-01,258.73,8.51,39.96
2,2018-03-01,213.13,8.63,29.87
3,2018-04-01,239.83,8.41,39.13
4,2018-05-01,230.24,8.44,36.37
5,2018-06-01,210.3,8.42,40.44
6,2018-07-01,302.2,8.44,24.95
7,2018-08-01,318.72,8.52,37.62
8,2018-09-01,255.67,8.41,33.9
9,2018-10-01,256.99,8.38,35.73
10,2018-11-01,253.89,8.4,33.77
11,2018-12-01,242.18,8.42,35.48
12,2018-01-13,198.8,8.45,22.81
13,2018-01-14,103.70689774696707,9.987896551724141,32.59464716006885
14,2018-01-15,251.0,8.53,49.64
15,2018-01-16,251.0,8.43,25.03
16,2018-01-17,241.87,8.41,19.23
17,2018-01-18,134.51,8.36,23.65
18,2018-01-19,310.84,8.41,58.28
19,2018-01-20,152.71,8.44,57.31
20,2018-01-21,296.81,8.21,100.33
21,2018-01-22,266.62,8.33,56.93
22,2018-01-23,300.18,8.35,59.89
23,2018-01-24,222.8,8.38,35.55
24,2018-01-25,165.81,8.37,31.49
25,2018-01-26,212.03,8.34,33.1
26,2018-01-27,202.15,8.36,32.04
27,2018-01-28,188.29,8.35,39.15
28,2018-01-29,196.91,8.25,47.44
29,2018-01-30,124.64,6.91,35.75
30,2018-01-31,247.83,7.21,30.28
31,2018-01-02,239.33,6.9,43.08
32,2018-02-02,234.18,7.67,58.59
33,2018-03-02,242.47,6.61,74.94
34,2018-04-02,194.88,7.66,27.56
35,2018-05-02,242.77,7.86,31.7
36,2018-06-02,214.13,7.91,29.5
37,2018-07-02,111.16,7.2,36.36
38,2018-08-02,119.15,8.16,26.13
39,2018-09-02,93.33,14.68,30.23
40,2018-10-02,211.61,16.94,39.53
41,2018-11-02,203.32,16.66,67.87
42,2018-12-02,181.16,13.45,35.06
43,2018-02-13,233.61,13.4,32.21
44,2018-02-14,169.13,12.11,11.52
45,2018-02-15,168.14,14.16,22.55
46,2018-02-16,239.41,15.51,21.9
47,2018-02-17,250.31,15.79,32.65
48,2018-02-18,216.11,16.08,39.89
49,2018-02-19,237.87,16.76,40.13
50,2018-02-20,234.08,22.19,57.51
51,2018-02-21,225.66,22.42,66.17
52,2018-02-22,153.22,21.48,58.14
53,2018-02-23,220.79,23.48,75.06
54,2018-02-24,176.46,21.29,72.12
55,2018-02-25,155.7,15.37,32.46
56,2018-02-26,99.83,11.31,14.02
57,2018-02-27,55.17,13.41,23.75
58,2018-02-28,82.85,13.05,27.88
59,2018-01-03,76.43,13.37,26.91
60,2018-02-03,62.33,12.94,16.86
61,2018-03-03,73.01,13.05,19.78
62,2018-04-03,75.57,11.78,25.25
63,2018-05-03,84.43,10.85,15.52
64,2018-06-03,75.08,12.41,16.1
65,2018-07-03,68.79,13.47,38.66
66,2018-08-03,95.94,15.68,57.86
67,2018-09-03,83.67,15.51,34.69
68,2018-10-03,61.07,14.09,27.62
69,2018-11-03,63.56,14.74,34.1
70,2018-12-03,74.11,15.33,30.81
71,2018-03-13,88.0,18.26,45.67
72,2018-03-14,105.24,17.38,85.17
73,2018-03-15,99.45,16.88,54.62
74,2018-03-16,55.69,13.21,25.69
75,2018-03-17,58.76,14.11,21.97
76,2018-03-18,69.38,14.25,19.2
77,2018-03-19,79.72,16.22,29.15
78,2018-03-20,75.55,16.63,34.64
79,2018-03-21,95.71,20.13,73.32
80,2018-03-22,86.16,14.27,34.36
81,2018-03-23,54.46,16.31,20.02
82,2018-03-24,61.23,18.41,27.2
83,2018-03-25,52.03,14.86,18.57
84,2018-03-26,68.1,15.57,25.83
85,2018-03-27,55.87,16.64,34.21
86,2018-03-28,94.85,23.45,75.57
87,2018-03-29,79.84,20.96,47.17
88,2018-03-30,74.68,16.78,56.42
89,2018-03-31,44.74,13.81,66.29
90,2018-01-04,72.24,16.41,135.23
91,2018-02-04,89.36,17.38,44.16
92,2018-03-04,208.07,20.43,129.8
93,2018-04-04,218.15,21.65,77.64
94,2018-05-04,93.71,14.97,65.75
95,2018-06-04,66.85,13.55,65.71
96,2018-07-04,52.1,10.58,52.58
97,2018-08-04,61.64,13.05,82.2
