date,open_SO2,sate_SO2,"Bapuji Nagar, Bengaluru - KSPCB","BTM Layout, Bengaluru - CPCB","BWSSB Kadabesanahalli, Bengaluru - CPCB","City Railway Station, Bengaluru - KSPCB","Hebbal, Bengaluru - KSPCB","Hombegowda Nagar, Bengaluru - KSPCB","Jayanagar 5th Block, Bengaluru - KSPCB","Peenya, Bengaluru - CPCB","Sanegurava Halli, Bengaluru - KSPCB","Silk Board, Bengaluru - KSPCB"
2020-11-24,8.02,-0.000963235,8.56,6.95,7.04,7.11,9.81,10.61,10.61,3.44,7.11,2.96
2020-11-25,4.493750000000001,0.1189843908,8.23,4.09,7.06,9.51,11.14,10.66,10.66,3.59,6.44,2.67
2020-11-26,6.210000000000001,0.1759415754,9.08,2.5,6.22,9.75,9.04,11.37,11.37,3.18,2.81,2.63
2020-11-27,7.659583333333333,0.0809884112,6.83,5.13,3.58,3.16,3.16,10.98,10.98,4.93,3.16,1.32
2020-11-28,7.767500000000001,0.0650035302,6.53,7.22,1.69,5.0,9.7,11.95,11.95,3.82,2.75,1.69
2020-11-29,4.832083333333333,0.0779325112,8.48,7.0,7.54,7.45,12.38,10.43,3.97,4.2,3.21,4.09
2020-11-30,5.049583333333334,0.130004033,9.98,6.98,5.0,7.1,8.41,10.37,3.86,2.63,7.1,6.98
2020-12-01,5.623333333333334,0.052987409,7.68,10.4,6.89,8.44,8.78,10.4,3.71,2.52,2.36,10.4
2020-12-02,7.110833333333332,0.1200322373999999,12.57,7.0,6.84,9.8,9.13,10.03,4.04,2.55,9.8,3.5
2020-12-03,5.1925,0.0549592027999999,12.33,7.01,2.54,12.33,8.61,10.66,4.54,2.38,10.66,4.31
2020-12-04,3.442916666666666,0.0739939591999999,12.57,6.99,4.59,6.21,6.42,11.82,4.4,3.4,6.21,3.54
2020-12-05,2.8991666666666664,-0.0429864017999999,12.0,6.98,1.81,3.99,27.57,9.6,4.92,12.0,3.99,5.4
2020-12-06,3.484166666666667,-0.0660725299999999,11.9,6.96,2.49,3.99,31.5,10.21,5.79,2.36,3.99,4.98
2020-12-07,4.972083333333333,0.158017134,10.44,6.99,2.47,3.65,30.89,10.52,3.58,3.01,3.65,5.17
2020-12-08,8.730000000000002,0.103005544,9.46,6.99,2.12,2.66,33.01,10.4,3.88,2.87,2.66,3.87
2020-12-09,7.120000000000001,0.0049521575999999,11.29,7.0,2.23,7.76,22.89,10.0,4.39,3.33,2.48,3.4
2020-12-10,9.986249999999997,-0.215118363,9.73,6.98,3.52,8.1,11.38,10.64,5.25,2.75,1.31,3.92
2020-12-11,9.625833333333334,-0.1631022354,10.92,6.98,3.97,7.88,14.28,10.19,5.05,2.87,1.02,3.76
2020-12-12,7.480416666666667,-0.46993953,8.41,7.01,1.64,7.29,10.26,12.17,3.3,2.76,3.99,3.61
2020-12-13,8.801666666666666,0.0659818708,12.5,6.98,3.47,7.45,11.11,11.88,4.26,2.56,7.45,3.47
2020-12-14,9.17,0.069995969,7.85,6.99,1.0,6.0,10.9,11.31,5.59,2.78,3.85,3.46
2020-12-15,6.6866666666666665,-0.0500171251999999,16.99,7.03,20.94,9.27,9.79,11.3,4.17,2.65,6.68,3.17
2020-12-16,5.626666666666666,-0.0510357604,11.34,7.0,12.85,9.77,8.27,12.34,3.7,2.76,3.45,3.46
2020-12-17,5.541249999999999,0.0350196458,11.02,6.98,1.96,9.38,12.05,10.63,3.24,3.35,4.06,3.15
2020-12-18,5.059583333333333,-0.0550246806,9.84,7.05,3.12,7.74,13.8,12.42,2.48,3.03,3.88,3.51
2020-12-19,4.497083333333332,-0.0910931796,10.77,6.99,4.21,8.11,12.38,11.25,3.13,2.56,8.47,3.32
2020-12-20,5.5012500000000015,0.1489934538,14.21,7.02,8.35,8.14,10.9,11.73,3.84,2.82,9.52,3.15
2020-12-21,7.82125,0.335012615,11.93,7.01,3.1,7.72,12.87,11.38,3.43,2.88,16.19,2.87
