date,open_NO2,sate_NO2,"New Industrial Town, Faridabad - HSPCB","Sector 11, Faridabad - HSPCB","Sector 30, Faridabad - HSPCB","Sector- 16A, Faridabad - HSPCB"
2020-11-24,41.0425,9698980000000000.0,55.11,69.956,55.11,50.94
2020-11-25,42.68291666666666,1.569461e+16,40.02,50.87599999999999,40.02,53.605
2020-11-26,82.22666666666666,1.06e+16,21.16,13.96,21.16,48.86500000000001
2020-11-27,74.31458333333333,1.0033888e+16,8.07,8.07,8.07,22.15
2020-11-28,83.67500000000001,7760570000000000.0,8.73,19.334,8.73,21.50833333333333
2020-11-29,124.15375,6274044000000000.0,6.98,6.98,6.98,29.176666666666662
2020-11-30,126.55166666666668,7719610000000000.0,21.0,18.588,21.0,19.258333333333336
2020-12-01,143.57416666666668,8533278000000000.0,65.64,16.712,65.64,65.64
2020-12-02,83.22625000000001,1.02e+16,13.02,2.0,67.01,67.01
2020-12-03,144.47375,1.48e+16,9.95,21.15,103.39,103.39
2020-12-04,50.72,1.2878658e+16,20.19,26.2,54.68,54.68
2020-12-05,26.61875,5539470000000000.0,13.08,22.71,38.48,38.48
2020-12-06,79.23333333333332,7001784000000000.0,10.92,22.32,117.38,117.38
2020-12-07,112.985,7021030000000000.0,15.73,18.12,111.43,111.43
2020-12-08,193.4983333333333,8072774000000000.0,11.37,16.97,103.09,103.09
2020-12-09,145.97333333333336,7763540000000000.0,11.1,19.27,104.33,104.33
2020-12-10,92.25166666666664,1.93e+16,140.55,18.59,140.55,140.55
2020-12-11,36.96416666666667,7218252000000000.0,138.36,15.4,138.36,138.36
2020-12-12,68.78916666666667,7817438000000000.0,85.77,7.04,85.77,85.77
2020-12-13,62.67000000000001,7104100000000000.0,67.35,6.88,67.35,67.35
2020-12-14,95.07875,9066950000000000.0,3.3,6.73,73.7,73.7
2020-12-15,106.98833333333334,6143706000000000.0,3.17,7.16,115.91,115.91
2020-12-16,75.31458333333335,7814600000000000.0,3.17,7.17,104.53,104.53
2020-12-17,57.864583333333336,8563396000000000.0,3.17,6.11,85.68,85.68
2020-12-18,63.04750000000001,8250350000000000.0,3.17,6.1,111.74,111.74
2020-12-19,49.32416666666666,1.04e+16,3.17,5.52,132.28,132.28
2020-12-20,60.82041666666668,1.025934e+16,135.29,4.48,135.29,135.29
2020-12-21,104.275,1.85e+16,138.43,3.85,138.43,138.43
2020-12-22,154.79916666666665,7589240000000000.0,189.03,1.52,189.03,189.03
2020-12-23,128.98,1.33e+16,216.22,3.11,216.22,216.22
2020-12-24,107.47375,9987286000000000.0,180.02,81.876,180.02,180.02
2020-12-25,98.84833333333331,8661070000000000.0,147.16,74.864,147.16,147.16
2020-12-26,82.27541666666667,2.04e+16,144.37,70.09200000000001,144.37,144.37
2020-12-27,38.7325,7298164000000000.0,113.56,71.396,113.56,113.56
2020-12-28,84.49666666666666,1.34e+16,122.81,53.566,122.81,122.81
2020-12-29,73.94291666666668,1.1464914e+16,109.87,51.08,109.87,109.87
2020-12-30,105.47333333333334,1.06e+16,102.98,48.46,102.98,102.98
2020-12-31,112.30125000000002,6387858000000000.0,118.84,60.56400000000001,118.84,118.84
2021-01-01,59.94833333333335,4899820000000000.0,129.89,78.124,129.89,129.89
2021-01-02,24.28083333333333,1.0345972e+16,85.44,63.144000000000005,85.44,85.44
2021-01-03,15.448333333333332,8638520000000000.0,72.22,41.434,72.22,72.22
2021-01-04,29.19666666666667,4859404000000000.0,72.82,50.182,72.82,72.82
2021-01-05,20.02125,1.1520174e+16,71.91,44.708,71.91,71.91
2021-01-06,58.54624999999999,7919802000000000.0,60.79,35.304,60.79,60.79
2021-01-07,67.18916666666665,6684534000000000.0,69.21,26.862,69.21,69.21
2021-01-08,84.86666666666666,6702014000000000.0,100.71,30.166,100.71,100.71
2021-01-09,48.21041666666667,7836396000000000.0,75.63,33.33,75.63,75.63
2021-01-10,44.77,6575830000000000.0,59.71,25.372,59.71,59.71
2021-01-11,48.45375000000001,1.14e+16,72.56,30.744,72.56,72.56
2021-01-12,51.83041666666667,9947804000000000.0,99.94,40.716,99.94,99.94
2021-01-13,72.98625,2.27e+16,119.7,52.01400000000001,119.7,119.7
2021-01-14,76.71375000000002,6848434000000000.0,123.0,66.806,123.0,123.0
2021-01-15,108.94416666666667,8946420000000000.0,116.36,69.556,116.36,116.36
2021-01-16,76.60041666666667,7042532000000000.0,1.04,54.038,111.84,111.84
2021-01-17,13.195416666666665,6541844000000000.0,1.06,29.004,1.06,66.24166666666666
2021-01-18,34.95875000000001,8501434000000000.0,1.05,38.494,71.5,71.5
2021-01-19,62.36208333333334,7870560000000000.0,1.05,45.21,80.52,80.52
2021-01-20,31.765833333333333,1.44e+16,1.05,30.808,70.05,70.05
2021-01-21,58.55583333333333,7091570000000000.0,1.05,41.312,90.13,90.13
2021-01-22,23.58708333333333,6259500000000000.0,1.04,47.3325,67.34,67.34
2021-01-23,23.199166666666667,8736136000000000.0,1.06,32.156,59.7,59.7
2021-01-24,71.65875,6674214000000000.0,1.07,35.56,74.43,74.43
2021-01-25,87.50958333333334,6618292000000000.0,1.06,34.4,85.61,85.61
2021-01-26,83.523,6909830000000000.0,1.05,35.041999999999994,106.68,106.68
2021-01-27,72.1425,1.46e+16,1.06,43.93,90.04,90.04
2021-01-28,117.66916666666668,1.2542606e+16,1.06,64.55,113.45,113.45
2021-01-29,58.392083333333325,1.41e+16,1.07,50.474,104.46,104.46
2021-01-30,51.30166666666667,1.2542226e+16,100.34,50.834,100.34,100.34
2021-01-31,66.50333333333332,1.04e+16,110.54,63.28599999999999,110.54,110.54
2021-02-01,127.38833333333332,6467026000000000.0,92.47,75.63399999999999,92.47,92.47
2021-02-02,59.53541666666669,7302430000000000.0,102.7,78.07000000000001,102.7,102.7
2021-02-03,29.449583333333337,7095520000000000.0,78.77,52.386,78.77,78.77
2021-02-04,47.21208333333334,7732370000000000.0,62.65,46.786,62.65,62.65
2021-02-05,84.82541666666667,1.99e+16,81.42,44.328,81.42,81.42
2021-02-06,44.85416666666668,9487360000000000.0,80.55,40.892,80.55,80.55
2021-02-07,64.71875,8538890000000000.0,97.02,46.172,97.02,97.02
2021-02-08,74.34291666666668,7115630000000000.0,94.38,59.964,94.38,94.38
2021-02-09,80.22708333333334,1.1e+16,1.06,29.76,99.04,99.04
2021-02-10,70.19583333333334,6545674000000000.0,1.05,4.55,76.44,76.44
2021-02-11,96.22166666666664,8075460000000000.0,1.05,4.79,93.43,93.43
2021-02-12,103.46083333333333,2.08e+16,1.04,3.4,108.99,108.99
2021-02-13,109.30166666666666,1.1696112e+16,0.83,1.21,101.72,101.72
2021-02-14,72.33666666666664,9807290000000000.0,0.55,1.21,96.22,96.22
2021-02-15,63.45875,9529380000000000.0,0.75,2.04,74.8,74.8
2021-02-16,84.23958333333331,8819940000000000.0,1.06,70.502,74.59,74.59
2021-02-17,88.03749999999998,7842454000000000.0,1.06,72.34,99.25,99.25
2021-02-18,97.81916666666666,8730130000000000.0,1.06,75.196,99.82,99.82
2021-02-19,96.33416666666665,7557572000000000.0,1.05,64.498,90.83,90.83
2021-02-20,71.37291666666667,1.07e+16,1.04,10.0,93.37,93.37
2021-02-21,54.907916666666665,9441600000000000.0,1.05,10.0,104.23,104.23
2021-02-22,63.01208333333333,1.5838996e+16,1.05,10.0,97.53,97.53
2021-02-23,84.86416666666666,1.27e+16,1.05,10.0,96.85,96.85
2021-02-24,95.57791666666668,7129556000000000.0,1.06,10.0,85.74,85.74
2021-02-25,73.715,7856290000000000.0,1.05,10.0,85.67,85.67
2021-02-26,75.57875000000003,6935744000000000.0,1.05,10.0,67.76,67.76
2021-02-27,58.9025,6834380000000000.0,1.07,10.0,67.82,67.82
2021-02-28,57.03625000000002,1.69e+16,1.07,10.0,83.69,83.69
2021-03-01,45.04708333333334,7295214000000000.0,1.04,10.0,80.17,80.17
2021-03-02,42.450833333333335,6248630000000000.0,1.06,10.0,80.59,80.59
2021-03-03,68.68124999999999,1.2436316e+16,1.07,10.0,84.83,84.83
2021-03-04,83.53333333333335,5991520000000000.0,1.06,10.0,90.67,90.67
2021-03-05,33.215833333333336,6163316000000000.0,1.05,10.0,71.12,71.12
2021-03-06,42.60125,6505700000000000.0,1.05,10.0,110.33,110.33
2021-03-07,11.18083333333333,6108028000000000.0,1.05,10.0,74.67,74.67
2021-03-08,15.320833333333336,5602420000000000.0,1.07,10.0,60.54,60.54
2021-03-09,62.20833333333332,4805360000000000.0,1.06,10.0,55.73,55.73
2021-03-10,51.5525,9407382000000000.0,1.05,10.0,100.16,100.16
2021-03-11,29.875,6194980000000000.0,1.03,10.0,53.66,53.66
2021-03-12,18.175833333333337,7582534000000000.0,4.23,10.0,56.86,56.86
2021-03-13,55.70750000000001,7412390000000000.0,11.0,10.0,68.3,68.3
2021-03-14,50.25739130434783,6748910000000000.0,11.02,10.0,85.56,85.56
2021-03-15,51.35124999999999,5867110000000000.0,11.01,10.0,66.73,66.73
2021-03-16,63.40958333333333,6292050000000000.0,11.01,10.0,66.38,66.38
2021-03-17,57.26791666666667,6697264000000000.0,11.03,10.0,86.52,86.52
2021-03-18,63.09083333333333,1.05e+16,11.02,10.0,115.97,115.97
2021-03-19,44.81875,8587522000000000.0,11.01,10.0,96.43,96.43
2021-03-20,52.368750000000006,7505300000000000.0,11.02,15.26,90.54,90.54
2021-03-21,22.48,5634764000000000.0,11.01,30.0,95.75,95.75
2021-03-22,26.20833333333333,4728500000000000.0,11.02,29.99,77.3,77.3
2021-03-23,35.236250000000005,6146930000000000.0,11.02,30.08,73.64,73.64
2021-03-24,43.87666666666666,8284990000000000.0,7.81,30.06,79.81,79.81
2021-03-25,40.65333333333333,6872640000000000.0,0.02,27.55,69.41,69.41
2021-03-26,60.79791666666667,5103890000000000.0,1.98,24.99,90.59,90.59
2021-03-27,40.27583333333333,8670200000000000.0,5.02,25.04,109.24,109.24
2021-03-28,19.00041666666667,7248550000000000.0,5.04,24.89,111.63,111.63
2021-03-29,27.432916666666667,4370120000000000.0,5.0,25.02,72.67,72.67
2021-03-30,19.685416666666665,7376654000000000.0,5.04,25.07,59.44,59.44
2021-03-31,23.426666666666662,6706090000000000.0,5.05,25.04,57.72,57.72
2021-04-01,41.35666666666666,7244280000000000.0,5.03,25.04,67.23,67.23
2021-04-02,59.36333333333332,8006590000000000.0,5.05,25.0,88.33,88.33
2021-04-03,55.322083333333325,1.04e+16,5.02,25.02,123.19,123.19
2021-04-04,68.57166666666667,7802190000000000.0,5.02,25.1,116.16,116.16
2021-04-05,14.417916666666663,8516170000000000.0,5.05,25.05,143.91,143.91
2021-04-06,22.895416666666662,6016098000000000.0,4.99,25.03,80.47,80.47
2021-04-07,52.22333333333333,7170970000000000.0,5.02,24.95,80.08,80.08
2021-04-08,51.93041666666667,6403848000000000.0,5.02,25.08,97.02,97.02
2021-04-09,61.14833333333333,9464300000000000.0,5.02,25.04,127.01,127.01
2021-04-10,39.66625,1.33e+16,5.04,25.0,112.35,112.35
2021-04-11,55.84708333333332,8235430000000000.0,5.04,25.07,104.42,104.42
2021-04-12,50.67374999999999,9776930000000000.0,4.99,25.03,138.35,138.35
2021-04-13,43.11624999999999,9539822000000000.0,5.04,25.03,105.19,105.19
2021-04-14,49.36291666666667,6702870000000000.0,5.03,24.88,90.04,90.04
2021-04-15,55.59624999999999,9967842000000000.0,5.03,25.11,86.17,86.17
2021-04-16,25.27958333333333,9452490000000000.0,5.05,25.05,96.0,96.0
2021-04-17,33.72,8520290000000000.0,5.01,25.0,70.13,70.13
2021-04-18,46.329583333333325,8368300000000000.0,5.04,24.9,75.52,75.52
2021-04-19,45.22291666666667,8154270000000000.0,5.04,25.09,103.26,103.26
2021-04-20,24.37,6699166000000000.0,5.02,24.94,87.2,87.2
2021-04-21,27.203333333333333,8238210000000000.0,5.01,25.11,63.09,63.09
2021-04-22,12.174166666666665,6384906000000000.0,5.01,25.0,53.27,53.27
2021-04-23,16.187916666666666,6814080000000000.0,5.02,24.98,59.71,59.71
2021-04-24,29.95625,5749840000000000.0,5.04,25.09,79.2,79.2
2021-04-25,59.51458333333334,8141270000000000.0,5.02,24.94,97.93,97.93
2021-04-26,91.01666666666664,1.03e+16,5.01,24.91,101.21,101.21
2021-04-27,75.55,9426300000000000.0,5.03,25.1,125.76,125.76
2021-04-28,72.49125,9368710000000000.0,5.03,24.9,102.7,102.7
2021-04-29,32.52791666666666,7238912000000000.0,5.03,25.08,88.04,88.04
2021-04-30,28.07583333333333,8213500000000000.0,5.05,24.96,74.4,74.4
2021-05-01,18.61583333333333,6533504000000000.0,5.05,25.01,54.9,54.9
2021-05-02,12.122083333333334,6574040000000000.0,24.96,24.96,24.96,38.81333333333334
2021-05-03,27.92166666666667,5734740000000000.0,5.03,24.82,57.62,57.62
2021-05-04,15.135833333333332,6984608000000000.0,5.03,24.94,56.53,56.53
2021-05-05,14.11875,9151810000000000.0,5.01,25.02,52.37,52.37
2021-05-06,15.386250000000004,5088550000000000.0,5.02,25.02,47.76,47.76
2021-05-07,59.495000000000005,6593140000000000.0,5.01,24.92,49.73,49.73
2021-05-08,18.76833333333333,1.4025348e+16,5.02,24.96,56.14,56.14
2021-05-09,17.2675,6661390000000000.0,5.01,24.87,52.56,52.56
2021-05-10,10.9,7997616000000000.0,5.0,25.02,55.4,55.4
2021-05-11,26.64416666666666,8252890000000000.0,5.02,25.04,48.74,48.74
2021-05-12,19.218333333333337,7847190000000000.0,5.02,24.99,42.01,42.01
2021-05-13,25.977916666666665,6778560000000000.0,5.01,25.11,36.55,36.55
2021-05-14,53.140416666666674,8359420000000000.0,5.03,25.08,40.16,40.16
2021-05-15,54.574583333333344,6943692000000000.0,5.03,24.92,42.49,42.49
2021-05-16,24.89833333333333,6750790000000000.0,5.03,24.95,169.52,169.52
2021-05-17,13.394583333333332,6439136000000000.0,5.03,24.96,142.89,142.89
2021-05-18,11.585416666666667,7216332000000000.0,4.8,24.99,35.59,35.59
2021-05-19,17.152083333333334,7381250000000000.0,4.77,24.97,36.08,36.08
2021-05-20,44.10416666666666,7717260000000000.0,5.02,24.94,55.67,55.67
2021-05-21,24.12875,5111030000000000.0,5.01,24.97,42.01,42.01
2021-05-22,22.88958333333333,6086050000000000.0,5.03,24.98,62.52,62.52
2021-05-23,22.77875,6498340000000000.0,5.03,25.08,48.01,48.01
2021-05-24,48.58583333333333,6569302000000000.0,5.05,25.01,61.18,61.18
2021-05-25,74.32958333333332,7854200000000000.0,5.02,25.04,59.06,59.06
2021-05-26,49.68833333333333,6673108000000000.0,5.05,25.0,68.76,68.76
2021-05-27,42.162083333333335,7965860000000000.0,5.01,24.89,47.64,47.64
2021-05-28,11.7075,6725290000000000.0,5.03,25.03,34.85,34.85
2021-05-29,5.53875,7161140000000000.0,5.02,25.01,31.3,31.3
2021-05-30,11.847499999999997,6498020000000000.0,5.0,24.97,26.17,26.17
2021-05-31,19.66208333333333,7622938000000000.0,5.03,24.97,48.93,48.93
2021-06-01,45.45833333333334,7258600000000000.0,4.99,25.08,50.18,50.18
2021-06-02,41.19583333333333,8481746000000000.0,5.04,25.01,53.08,53.08
2021-06-03,35.06208333333334,8984810000000000.0,5.02,25.06,50.76,50.76
2021-06-04,37.29666666666667,9634780000000000.0,5.0,24.93,47.21,47.21
2021-06-05,19.925833333333333,6969340000000000.0,5.0,25.03,44.63,44.63
2021-06-06,55.05333333333334,7580170000000000.0,5.02,24.97,34.35,34.35
2021-06-07,41.15583333333334,8018300000000000.0,5.02,24.9,51.58,51.58
2021-06-08,16.578333333333333,5457550000000000.0,5.02,25.11,58.8,58.8
