date,open_NO2,sate_NO2,"Indirapuram, Ghaziabad - UPPCB","Sanjay Nagar, Ghaziabad - UPPCB","Vasundhara, Ghaziabad - UPPCB"
2020-11-24,62.89,1.23e+16,98.71,90.84,84.11
2020-11-25,51.69458333333335,1.4690362e+16,63.23,65.99,80.76
2020-11-26,57.32166666666666,1.05e+16,44.48,58.06,42.89
2020-11-27,68.13125000000001,1.0763882e+16,14.81,27.57,25.35
2020-11-28,90.1375,7635120000000000.0,19.05,28.81,21.14
2020-11-29,110.30041666666668,7062100000000000.0,19.98,45.09,20.12
2020-11-30,112.21416666666666,7892450000000000.0,18.796,26.1,9.87
2020-12-01,127.29333333333336,8974616000000000.0,14.46,41.9,6.93
2020-12-02,99.89125,1.02e+16,27.13,43.83,23.76
2020-12-03,118.69791666666669,2.09e+16,58.78,77.75,113.01
2020-12-04,67.36708333333331,1.3679694e+16,182.42,128.49,18.39
2020-12-05,32.02333333333333,7152840000000000.0,203.74,156.15,241.57
2020-12-06,105.04541666666664,8559824000000000.0,126.0,102.36,179.08
2020-12-07,103.70499999999998,7300040000000000.0,67.36,58.24,115.04
2020-12-08,108.07291666666669,7960056000000000.0,81.12,42.86,135.46
2020-12-09,100.87583333333338,8428030000000000.0,112.97,60.82,165.25
2020-12-10,77.85583333333335,1.9e+16,179.75,110.41,180.37
2020-12-11,63.982916666666654,8481720000000000.0,232.95,124.4,202.01
2020-12-12,59.29166666666666,6817492000000000.0,61.32,47.43,74.23166666666665
2020-12-13,51.92333333333334,7108422000000000.0,41.31,24.69,54.14166666666666
2020-12-14,71.88666666666666,8749760000000000.0,33.22,19.62,1.4
2020-12-15,73.87250000000002,7540384000000000.0,49.83,31.44,68.2
2020-12-16,57.19291666666666,7533020000000000.0,47.51,32.01,68.72333333333334
2020-12-17,57.94916666666665,9126262000000000.0,41.69,57.49,55.435
2020-12-18,66.4175,7578810000000000.0,61.13,105.58,4.6
2020-12-19,54.50874999999999,9885180000000000.0,72.93,154.61,86.50666666666666
2020-12-20,66.27458333333333,7240826000000000.0,84.37,163.53,89.71833333333332
2020-12-21,94.57833333333332,1.93e+16,110.07,187.34,98.65500000000002
2020-12-22,117.98333333333336,8852956000000000.0,132.5,174.83,104.324
2020-12-23,110.92958333333335,1.38e+16,110.48,196.14,108.716
2020-12-24,86.73833333333334,1.1900888e+16,104.05,161.19,121.07
2020-12-25,83.09708333333334,7842960000000000.0,76.89,121.06,101.41666666666669
2020-12-26,75.11458333333333,2.15e+16,89.86,150.45,101.2
2020-12-27,50.02375,9694922000000000.0,48.29,106.8,99.07666666666668
2020-12-28,62.10458333333332,1.04e+16,39.06,61.49,72.46166666666666
2020-12-29,56.73541666666666,1.2995242e+16,47.45,71.01,78.02666666666667
2020-12-30,82.71083333333333,9821950000000000.0,40.56,97.81,69.75500000000001
2020-12-31,109.50083333333332,6976368000000000.0,79.87,158.17,93.005
2021-01-01,62.06958333333332,6684010000000000.0,100.67,200.24,106.10666666666668
2021-01-02,30.901249999999997,1.238361e+16,62.2,112.95,101.56833333333331
2021-01-03,20.10708333333333,1.0860882e+16,27.8,60.38,76.11166666666666
2021-01-04,35.12958333333333,5070830000000000.0,32.39,81.24,1.6
2021-01-05,27.855,1.3252846e+16,28.79,53.44,2.1
2021-01-06,63.318333333333335,9094164000000000.0,39.04,74.71,0.4
2021-01-07,68.3875,7828650000000000.0,31.29,33.29,50.85833333333333
2021-01-08,57.52124999999999,8090398000000000.0,48.11,51.56,60.123333333333335
2021-01-09,37.78666666666667,7982276000000000.0,44.78,45.97,56.16166666666667
2021-01-10,45.62541666666667,6428980000000000.0,29.45,30.84,47.58166666666667
2021-01-11,53.665416666666665,9787440000000000.0,40.64,44.42,56.75833333333333
2021-01-12,74.72875,9291502000000000.0,56.75,59.56,68.375
2021-01-13,74.75750000000001,2.5e+16,73.5,85.03,81.75333333333333
2021-01-14,96.50583333333336,7181466000000000.0,95.42,123.54,124.28000000000002
2021-01-15,129.37958333333333,1.46e+16,131.8,145.69,124.41833333333334
2021-01-16,68.2025,7578930000000000.0,102.99,71.67,99.64
2021-01-17,19.58583333333333,7305996000000000.0,39.88,25.81,1.57
2021-01-18,43.711666666666666,1.0374676e+16,77.33,84.54,1.07
2021-01-19,67.93041666666666,6216890000000000.0,81.4,82.49,2.0
2021-01-20,46.68291666666667,1.34e+16,61.15,49.29,1.6
2021-01-21,69.57374999999998,7120732000000000.0,82.97,100.78,1.77
2021-01-22,30.54583333333333,1.0022416e+16,64.32,58.0,1.41
2021-01-23,30.167499999999997,8498666000000000.0,38.06,35.86,1.25
2021-01-24,54.43666666666667,6104224000000000.0,59.71,50.63,1.23
2021-01-25,77.45666666666666,7923076000000000.0,66.32,71.58,2.19
2021-01-26,77.49,7287670000000000.0,83.04,101.32,1.2
2021-01-27,66.49000000000001,1.48e+16,96.0,98.71,1.73
2021-01-28,96.22041666666668,1.2974936e+16,112.17,113.17,1.41
2021-01-29,60.57666666666668,1.38e+16,104.34,98.99,1.73
2021-01-30,66.64583333333336,1.3331264e+16,97.08,89.44,1.79
2021-01-31,97.59208333333332,1.36e+16,146.94,120.47,2.85
2021-02-01,131.66458333333333,6998638000000000.0,150.56,109.03,2.08
2021-02-02,112.81541666666664,1.03e+16,166.78,141.57,2.2
2021-02-03,33.33708333333333,7620292000000000.0,47.87,45.15,1.57
2021-02-04,51.23833333333332,1.09e+16,48.98,28.91,2.43
2021-02-05,58.96375,1.62e+16,59.75,39.03,1.76
2021-02-06,41.49916666666667,1.2367282e+16,54.36,41.29,2.13
2021-02-07,59.04999999999998,7312780000000000.0,56.4,52.25,1.94
2021-02-08,84.28125000000001,7495732000000000.0,88.47,57.42,0.94
2021-02-09,102.86125,1.39e+16,119.88,113.96,3.05
2021-02-10,79.2275,5504356000000000.0,88.66,120.69,2.29
2021-02-11,86.18208333333332,8037840000000000.0,74.5,71.63,2.27
2021-02-12,107.15958333333336,2.55e+16,87.78,80.49,2.48
2021-02-13,101.01916666666666,1.615285e+16,95.88,268.28,2.14
2021-02-14,105.74624999999996,1.68e+16,97.65,140.15,1.97
2021-02-15,90.22291666666668,1.0687982e+16,80.21,154.93,2.06
