date,open_NO2,sate_NO2,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB"
2020-11-24,41.0425,5096498000000000.0,32.71
2020-11-25,40.43,4884630000000000.0,41.99
2020-11-26,31.224166666666672,5756502000000000.0,49.18
2020-11-27,31.99875,6899210000000000.0,11.197500000000002
2020-11-28,15.769166666666669,6966330000000000.0,35.74
2020-11-29,19.77125,4795590000000000.0,20.21
2020-11-30,28.99375,6625980000000000.0,24.21
2020-12-01,33.825833333333335,4753732000000000.0,9.41
2020-12-02,40.344166666666666,4605910000000000.0,13.47
2020-12-03,39.88791666666666,5043836000000000.0,23.13
2020-12-04,47.90083333333334,7673910000000000.0,41.22
2020-12-05,34.205416666666665,5630240000000000.0,57.97
2020-12-06,34.45333333333334,6077750000000000.0,55.87
2020-12-07,37.37375,5752020000000000.0,53.92
2020-12-08,35.28124999999999,5202790000000000.0,59.49
2020-12-09,32.05750000000001,4520468000000000.0,44.73
2020-12-10,30.925416666666678,5287244000000000.0,35.0
2020-12-11,28.28625,4577448000000000.0,53.68
2020-12-12,11.340833333333334,5646944000000000.0,36.7
2020-12-13,10.787083333333335,4687130000000000.0,30.93
2020-12-14,15.755416666666669,5373720000000000.0,30.78
2020-12-15,14.110416666666666,4586554000000000.0,21.55
2020-12-16,11.60375,4498870000000000.0,22.457142857142856
2020-12-17,11.896666666666668,4695590000000000.0,44.45
2020-12-18,16.049999999999997,4916250000000000.0,44.12
2020-12-19,33.889166666666675,5141818000000000.0,45.88
2020-12-20,22.05333333333333,4710420000000000.0,42.45
2020-12-21,27.882916666666677,5311654000000000.0,37.83
2020-12-22,27.75375,5927310000000000.0,48.18
2020-12-23,33.70583333333333,9133150000000000.0,45.65
2020-12-24,23.050833333333333,5180614000000000.0,48.67
2020-12-25,13.86625,6312780000000000.0,44.76
2020-12-26,24.46583333333333,5977874000000000.0,37.1
2020-12-27,25.38125,4902640000000000.0,29.798571428571428
2020-12-28,25.14458333333333,4283024000000000.0,64.8
2020-12-29,18.035416666666663,4941710000000000.0,49.54
2020-12-30,16.582083333333333,5384790000000000.0,52.81
2020-12-31,24.60541666666666,4952392000000000.0,40.98
2021-01-01,27.116666666666664,6970260000000000.0,12.19
2021-01-02,22.11833333333333,5309540000000000.0,32.5625
2021-01-03,37.24208333333333,5808990000000000.0,64.22
2021-01-04,35.215833333333336,4694540000000000.0,54.32
2021-01-05,22.16333333333334,5545998000000000.0,49.65
2021-01-06,11.54625,5415278000000000.0,45.25
2021-01-07,11.357083333333334,4455160000000000.0,43.36
2021-01-08,17.675416666666667,6823840000000000.0,42.48
2021-01-09,8.916666666666668,5552226000000000.0,40.74
2021-01-10,7.792916666666667,5159120000000000.0,31.71
2021-01-11,14.48208333333333,5394428000000000.0,30.84
2021-01-12,15.345,3540755200000000.0,27.08
2021-01-13,30.785416666666677,3792814000000000.0,38.17
2021-01-14,37.063750000000006,5398746000000000.0,27.49
2021-01-15,21.198333333333338,5087806000000000.0,26.81
2021-01-16,24.84625,4317900000000000.0,27.87
2021-01-17,34.08375,4987630000000000.0,26.07
2021-01-18,21.1075,5115850000000000.0,23.78
2021-01-19,18.632083333333338,4886058000000000.0,25.78
2021-01-20,12.993333333333338,5312786000000000.0,33.05
2021-01-21,22.4575,4410539200000000.0,29.72
2021-01-22,32.31708333333333,5788948000000000.0,27.51
2021-01-23,22.391250000000003,5220864000000000.0,24.85
2021-01-24,17.979583333333334,5597320000000000.0,22.52
2021-01-25,13.223750000000004,4591678000000000.0,28.14
2021-01-26,12.6765,5314272000000000.0,22.04
2021-01-27,21.1225,5481090000000000.0,22.09
2021-01-28,26.96541666666667,3961850000000000.0,24.83
2021-01-29,10.539583333333336,4686290000000000.0,29.1
2021-01-30,18.32583333333333,6122340000000000.0,26.24
2021-01-31,21.219166666666663,5707000000000000.0,38.89
2021-02-01,17.152916666666666,4778270000000000.0,39.76
2021-02-02,25.7175,5292710000000000.0,46.62
2021-02-03,25.024583333333336,5060570000000000.0,36.75
2021-02-04,28.224999999999994,4626560000000000.0,59.05
2021-02-05,10.732916666666666,5919386000000000.0,48.83
2021-02-06,12.657083333333334,4940140000000000.0,34.78
2021-02-07,17.094583333333333,5125492000000000.0,29.58
2021-02-08,14.973333333333334,5383270000000000.0,33.865
2021-02-09,28.86125,8341480000000000.0,55.13
2021-02-10,23.38083333333333,5692614000000000.0,51.56
2021-02-11,23.339166666666667,4630810000000000.0,48.7
2021-02-12,17.039999999999996,5385900000000000.0,46.76
2021-02-13,16.35875,5056300000000000.0,45.81
2021-02-14,14.715000000000002,4897960000000000.0,44.45
2021-02-15,18.405416666666664,5610660000000000.0,46.07
2021-02-16,20.80583333333333,7172020000000000.0,50.56
2021-02-17,22.89916666666667,5216016000000000.0,46.63
2021-02-18,31.81416666666667,6691850000000000.0,47.23
2021-02-19,20.756666666666664,5464524000000000.0,41.65
2021-02-20,14.7025,4418290000000000.0,40.66
2021-02-21,14.552083333333334,5407862000000000.0,47.01
2021-02-22,26.674166666666668,6914220000000000.0,47.3
2021-02-23,18.12666666666667,5333472000000000.0,49.14
2021-02-24,9.885000000000003,6496590000000000.0,38.52
2021-02-25,8.628749999999998,4745650000000000.0,53.57
2021-02-26,17.505,5220934000000000.0,34.06
2021-02-27,7.320833333333333,5760350000000000.0,32.92
2021-02-28,7.1066666666666665,5358122000000000.0,37.4
2021-03-01,6.654166666666665,5760430000000000.0,40.16
2021-03-02,11.780833333333334,3607667200000000.0,41.02
2021-03-03,18.799166666666668,6108230000000000.0,47.93
2021-03-04,10.74708333333333,3500130000000000.0,48.13
2021-03-05,8.061250000000001,4723054000000000.0,49.95
2021-03-06,19.83458333333333,3917950000000000.0,46.81
2021-03-07,14.10375,4215274000000000.0,35.43
2021-03-08,13.03666666666667,9707380000000000.0,19.23
2021-03-09,19.9375,4991218000000000.0,35.72
2021-03-10,19.142916666666665,4595130000000000.0,49.4
2021-03-11,16.31458333333333,5732864000000000.0,34.47
2021-03-12,9.83125,4364190000000000.0,19.71
2021-03-13,15.750833333333334,6449962000000000.0,18.16
2021-03-14,7.475217391304348,4830700000000000.0,24.02
2021-03-15,16.818749999999998,4877290000000000.0,41.31
2021-03-16,10.417916666666668,4260830000000000.0,42.16
2021-03-17,15.028333333333336,6071170000000000.0,44.3
2021-03-18,10.799583333333333,4020254000000000.0,42.62
2021-03-19,7.742500000000001,5526230000000000.0,17.14
2021-03-20,10.25875,5357670000000000.0,3.0
2021-03-21,15.879583333333333,4639112000000000.0,3.0
2021-03-22,13.59375,6428540000000000.0,3.0
2021-03-23,8.017916666666666,6250110000000000.0,4.02
2021-03-24,7.810833333333332,6188730000000000.0,4.38
2021-03-25,7.221666666666668,4083782000000000.0,3.68
2021-03-26,9.893333333333333,6748400000000000.0,8.97
2021-03-27,15.81666666666667,4565160000000000.0,10.77
2021-03-28,19.872916666666665,7136360000000000.0,12.44
2021-03-29,13.903749999999995,5685480000000000.0,13.24
2021-03-30,17.000833333333336,8035870000000000.0,12.84
2021-03-31,7.697500000000001,7312810000000000.0,10.1
2021-04-01,9.574583333333331,4522374000000000.0,9.37
2021-04-02,13.484166666666663,6251210000000000.0,9.37
2021-04-03,9.32375,4713856000000000.0,9.28
2021-04-04,14.699583333333331,6809380000000000.0,9.37
2021-04-05,18.77333333333333,5864680000000000.0,9.36
2021-04-06,10.5475,4777656000000000.0,9.44
2021-04-07,18.09625,5602250000000000.0,9.61
2021-04-08,13.79875,6382930000000000.0,9.79
2021-04-09,20.075833333333343,5029590000000000.0,10.42
2021-04-10,7.80125,5150054000000000.0,10.49
2021-04-11,12.15,6334970000000000.0,10.49
2021-04-12,10.505416666666669,6009620000000000.0,13.35
2021-04-13,14.069583333333334,7396540000000000.0,14.85
2021-04-14,19.9325,6932790000000000.0,13.66
2021-04-15,11.762916666666667,5709440000000000.0,12.69
2021-04-16,6.555833333333333,6578580000000000.0,14.66
2021-04-17,21.59208333333333,6235452000000000.0,17.18
2021-04-18,6.076666666666665,6835650000000000.0,17.17
2021-04-19,7.051666666666666,5020080000000000.0,17.16
2021-04-20,12.847083333333336,5523350000000000.0,14.27125
2021-04-21,8.225,4271680000000000.0,14.1375
2021-04-22,16.430416666666666,4840242000000000.0,13.97625
2021-04-23,10.597083333333334,5873230000000000.0,17.736250000000002
2021-04-24,15.388750000000002,6698250000000000.0,19.2
2021-04-25,14.204166666666666,6234160000000000.0,19.24
2021-04-26,15.475,4440474000000000.0,19.22
2021-04-27,24.56125,8201960000000000.0,19.23
2021-04-28,8.35,7224100000000000.0,19.23
2021-04-29,7.455416666666667,6139420000000000.0,15.2275
2021-04-30,12.95875,6262800000000000.0,14.4775
2021-05-01,6.490416666666667,8871820000000000.0,13.63375
2021-05-02,8.219999999999999,6275800000000000.0,15.5325
2021-05-03,14.64333333333333,4734332000000000.0,17.9
2021-05-04,5.111666666666667,6484950000000000.0,16.995
2021-05-05,4.254166666666666,4986560000000000.0,18.98
2021-05-06,5.873333333333332,6473480000000000.0,18.93
2021-05-07,5.7995833333333335,5569730000000000.0,17.2375
2021-05-08,6.458333333333333,4870980000000000.0,19.05
2021-05-09,5.7425,5148040000000000.0,18.85
2021-05-10,8.953750000000001,2804570000000000.0,18.19
2021-05-11,5.827916666666667,5446470000000000.0,17.23
2021-05-12,6.389166666666665,6284872000000000.0,17.23
2021-05-13,10.34875,5318630000000000.0,16.88
2021-05-14,11.157083333333333,5502510000000000.0,18.19
2021-05-15,12.114583333333336,5801500000000000.0,20.965
2021-05-16,10.085833333333332,5641020000000000.0,16.265
2021-05-17,11.725416666666666,3023431200000000.0,15.1725
2021-05-18,11.282083333333333,4444712000000000.0,14.31
2021-05-19,11.038333333333336,4316236000000000.0,17.0225
2021-05-20,10.15375,5226850000000000.0,16.28
2021-05-21,17.16,4261074000000000.0,16.21875
2021-05-22,11.626666666666669,5571620000000000.0,17.537499999999998
2021-05-23,8.469999999999999,5404110000000000.0,17.53875
2021-05-24,13.723333333333334,4505144000000000.0,17.642500000000002
2021-05-25,6.445833333333332,6048520000000000.0,17.2025
2021-05-26,9.025833333333331,3748250000000000.0,15.63
2021-05-27,5.451249999999999,5150856000000000.0,14.1925
2021-05-28,9.71625,5535744000000000.0,14.04625
2021-05-29,7.395833333333335,5717134000000000.0,13.52875
2021-05-30,10.129166666666668,5005250000000000.0,14.70857142857143
2021-05-31,8.514999999999999,7526000000000000.0,17.33285714285714
2021-06-01,14.848333333333333,4432742000000000.0,23.882857142857144
2021-06-02,17.993750000000002,6999510000000000.0,6.15
2021-06-03,26.93875,6098530000000000.0,7.26
2021-06-04,15.437916666666665,5047584000000000.0,7.18
2021-06-05,7.014583333333334,7085590000000000.0,6.93
2021-06-06,12.062500000000002,5278908000000000.0,8.34
2021-06-07,13.30625,6462390000000000.0,7.36
2021-06-08,8.986666666666666,5932700000000000.0,9.56
2021-06-09,7.305833333333333,3802599200000000.0,6.12
2021-06-10,7.395833333333333,4689152000000000.0,6.48
2021-06-11,8.390416666666665,-1259210000000000.0,4.05
2021-06-12,5.357499999999999,5539506000000000.0,2.65
2021-06-13,5.751666666666668,5427240000000000.0,1.16
2021-06-14,8.020833333333334,5071730000000000.0,2.84
2021-06-15,16.430833333333336,5135386000000000.0,2.32
2021-06-16,8.95375,5690986000000000.0,1.82
2021-06-17,5.742916666666667,5382560000000000.0,5.03
2021-06-18,7.45333333333333,5395660000000000.0,42.41
2021-06-19,15.012916666666667,5134286000000000.0,40.05
2021-06-20,16.05125,4497784000000000.0,61.38
2021-06-21,13.75625,5218240000000000.0,13.96
2021-06-22,8.475416666666668,5150126000000000.0,16.68
2021-06-23,9.340416666666668,5718542000000000.0,19.35
2021-06-24,9.435833333333331,4779622000000000.0,11.34
2021-06-25,8.8325,5303294000000000.0,15.36
2021-06-26,8.620833333333335,4955306000000000.0,9.92
2021-06-27,9.614166666666666,2867350000000000.0,5.95
2021-06-28,13.97375,4746670000000000.0,6.35
2021-06-29,16.319166666666664,5253808000000000.0,8.02
2021-06-30,15.358333333333334,5506146000000000.0,1.5
2021-07-01,18.300833333333333,5000124000000000.0,1.48
2021-07-02,16.88708333333333,3917670000000000.0,1.33
2021-07-03,15.272083333333333,3694680000000000.0,0.48
2021-07-04,10.762499999999998,7373430000000000.0,1.51
2021-07-05,13.166249999999998,4780766000000000.0,1.5
2021-07-06,12.927916666666668,5176596000000000.0,1.51
