date,open_SO2,sate_SO2,"Bollaram Industrial Area, Hyderabad - TSPCB","Central University, Hyderabad - TSPCB","ECIL Kapra, Hyderabad - TSPCB","ICRISAT Patancheru, Hyderabad - TSPCB","IDA Pashamylaram, Hyderabad - TSPCB","IITH Kandi, Hyderabad - TSPCB"
2020-11-24,37.435,0.3880000094,18.98,5.2,18.98,15.1,33.08,33.08
2020-11-25,28.01375,0.0060000091999999,6.19,1.08,6.19,7.25,8.26,8.26
2020-11-26,15.84125,0.0679999967999999,6.85,2.62,6.85,9.5,4.43,4.43
2020-11-27,15.151666666666664,0.1900000014,9.23,4.76,9.23,3.53,7.45,7.45
2020-11-28,18.473333333333333,-0.0519999982,10.47,4.23,10.47,12.32,4.83,4.83
2020-11-29,23.6825,0.2320000017999999,9.61,3.93,9.61,5.3,5.17,5.17
2020-11-30,37.84958333333333,-0.0879999956,13.89,4.87,13.89,3.84,5.98,5.98
2020-12-01,34.56125,1.23000002,18.18,2.43,18.18,2.43,5.21,5.21
2020-12-02,38.71375000000001,-0.25999999,26.1,4.94,26.1,3.01,4.6,4.6
2020-12-03,37.83041666666667,0.2240000053999999,22.02,3.11,22.02,7.13,6.28,6.28
2020-12-04,41.82333333333332,0.0239999977999999,7.64,2.94,7.64,8.91,6.18,6.18
2020-12-05,29.540000000000006,-0.370000005,24.15,11.91,24.15,14.07,11.16,11.16
2020-12-06,26.171666666666667,-0.0380000004,14.08,5.98,14.08,8.98,7.27,7.27
2020-12-07,31.899583333333336,0.0720000029999999,5.18,2.55,5.18,13.39,5.53,5.53
2020-12-08,35.04833333333334,0.0100000017999999,4.49,2.84,4.49,14.12,6.08,6.08
2020-12-09,31.917916666666656,0.129999995,5.54,2.54,5.54,11.58,3.62,3.62
2020-12-10,27.44750000000001,0.270000011,3.5,1.94,3.5,6.26,2.68,2.68
2020-12-11,26.95125,0.1100000066,5.52,3.26,5.52,7.42,4.28,4.28
2020-12-12,20.11708333333333,-0.340000004,6.9,5.25,6.9,21.15,2.19,2.19
2020-12-13,21.93083333333333,0.0180000006,8.0,4.45,8.0,16.84,2.84,2.84
2020-12-14,22.844166666666663,-0.560000002,6.74,4.16,6.74,8.46,2.35,2.35
2020-12-15,23.846666666666664,0.5259999823999999,5.37,3.14,5.37,5.79,1.29,1.29
2020-12-16,25.51041666666667,0.1139999976,5.72,3.47,5.72,5.66,11.15,11.15
2020-12-17,36.40833333333333,-0.75999999,6.17,5.18,6.17,7.44,3.18,3.18
2020-12-18,33.15083333333333,-0.639999986,9.78,5.33,9.78,9.47,7.53,7.53
2020-12-19,23.276666666666667,0.319999993,10.14,7.07,10.14,14.27,7.15,7.15
2020-12-20,32.385,0.0639999992,14.26,10.26,14.26,24.67,12.08,12.08
2020-12-21,54.76708333333335,0.709999979,18.09,11.72,18.09,23.74,14.62,14.62
2020-12-22,51.44458333333333,0.1160000004,19.99,9.67,19.99,9.82,8.82,8.82
2020-12-23,35.79291666666667,0.0159999996,14.02,6.57,14.02,8.16,3.77,3.77
2020-12-24,34.24333333333333,0.1419999972,8.87,4.93,8.87,7.44,1.8,1.8
2020-12-25,38.8325,0.680000007,6.34,4.27,6.34,8.59,1.28,1.28
2020-12-26,35.017500000000005,-0.02,7.15,6.93,7.15,7.76,2.5,2.5
2020-12-27,34.88791666666666,0.0720000049999999,10.23,7.81,10.23,11.75,6.54,6.54
