date,open_NO2,sate_NO2,"Marhatal, Jabalpur - MPPCB"
2020-11-24,16.71,4620494000000000.0,76.38
2020-11-25,15.73375,4507660000000000.0,71.95
2020-11-26,7.028333333333332,5729120000000000.0,40.42
2020-11-27,8.400833333333336,4980376000000000.0,24.72
2020-11-28,8.277916666666666,4813250000000000.0,18.54
2020-11-29,10.220833333333331,3847940000000000.0,20.74
2020-11-30,13.125833333333333,2978580000000000.0,9.68
2020-12-01,12.822083333333332,4546182000000000.0,18.92
2020-12-02,18.342916666666667,3716230000000000.0,28.49
2020-12-03,18.69166666666667,4260020000000000.0,25.12
2020-12-04,18.308333333333334,3599670000000000.0,49.99
2020-12-05,12.225833333333332,4241300000000000.0,43.36
2020-12-06,17.94291666666667,4361602000000000.0,49.07
2020-12-07,15.960833333333332,4048180000000000.0,37.44
2020-12-08,15.3375,3770946000000000.0,37.44
2020-12-09,16.940833333333334,3878190000000000.0,40.49
2020-12-10,16.299166666666665,4718478000000000.0,47.98
2020-12-11,6.922083333333333,3794474000000000.0,54.37
2020-12-12,13.617916666666668,4214714000000000.0,56.67
2020-12-13,12.422083333333331,4753228000000000.0,62.84
2020-12-14,10.700416666666667,3787002000000000.0,54.84
2020-12-15,14.575,3827548000000000.0,50.81
2020-12-16,6.136666666666667,4119732000000000.0,49.99
2020-12-17,8.046249999999999,4072590000000000.0,41.69
2020-12-18,11.24375,4132800000000000.0,106.65
2020-12-19,11.960000000000004,2988250000000000.0,71.32
2020-12-20,12.91125,2795075200000000.0,67.24
2020-12-21,15.665416666666664,3205160000000000.0,72.42
2020-12-22,16.129583333333333,2822059200000000.0,64.37
2020-12-23,13.405416666666667,4481110000000000.0,67.79
2020-12-24,8.521666666666667,4095718000000000.0,65.17
2020-12-25,11.405833333333334,3900940000000000.0,70.14
2020-12-26,14.641250000000005,4529344000000000.0,69.76
2020-12-27,11.309583333333334,4049970000000000.0,56.61
2020-12-28,5.1066666666666665,4073580000000000.0,56.15
2020-12-29,5.294583333333335,4760224000000000.0,56.56
2020-12-30,6.525833333333334,4720060000000000.0,63.59
2020-12-31,12.022083333333336,4535148000000000.0,71.66
2021-01-01,14.670416666666664,4228960000000000.0,78.37
2021-01-02,11.172916666666666,4512084000000000.0,66.48
2021-01-03,12.36,4746440000000000.0,59.39
2021-01-04,17.704999999999995,4931100000000000.0,65.16
