date,open_SO2,sate_SO2,"FTI Kidwai Nagar, Kanpur - UPPCB","Nehru Nagar, Kanpur - UPPCB","NSI Kalyanpur, Kanpur - UPPCB"
2020-11-24,10.4,0.0583176256,8.615,27.38,17.974999999999998
2020-11-25,17.822083333333335,0.0358772422,9.246666666666668,21.79,15.764
2020-11-26,13.582916666666668,0.23821944,9.463333333333331,15.29,10.498
2020-11-27,18.04541666666667,0.1440425948,7.085,17.81,8.648
2020-11-28,21.204583333333336,0.048560105,10.125,10.36,13.291999999999998
2020-11-29,21.883750000000003,0.09004713,6.736666666666667,7.3,13.74665892972276
2020-11-30,25.43541666666667,-0.251741558,11.383333333333333,7.43,6.578658929722761
2020-12-01,26.146666666666665,0.1534142464,7.036666666666666,4.48,12.104
2020-12-02,32.53916666666666,0.0328056574,9.01,5.5,8.027500000000002
2020-12-03,25.125833333333333,-0.07739117,6.988333333333333,6.27,10.1275
2020-12-04,28.913333333333327,0.169757262,12.61,16.16,25.31
2020-12-05,21.5325,-0.094871543,9.509,18.71,14.8925
2020-12-06,38.03958333333333,-0.0003439799999999,13.153,18.94,13.3375
2020-12-07,20.094583333333333,0.042551808,10.279000000000002,16.82,15.7775
2020-12-08,30.27458333333333,0.0811887084,12.114,15.13,13.9525
2020-12-09,29.315,0.222572267,11.931,22.5,12.23
2020-12-10,27.79083333333333,-0.0903534518,9.459,22.81,13.015
2020-12-11,21.600833333333338,-0.0717572488,9.157,15.86,12.384999999999998
2020-12-12,11.914166666666668,0.060000002,8.979000000000001,18.2,16.9675
2020-12-13,11.6175,0.245093,7.876,11.76,15.237499999999995
2020-12-14,17.0025,0.176741257,8.807,12.32,14.3925
2020-12-15,25.56124999999999,0.0264293572,9.211000000000002,12.78,15.675
2020-12-16,16.745416666666667,-0.0837638552,11.983,13.16,17.002857142857142
2020-12-17,16.486666666666668,0.0771536934,10.558,13.79,16.548571428571428
2020-12-18,16.827083333333334,0.0333285852,11.116,15.61,15.15
2020-12-19,13.959166666666665,-0.1755001886,9.888000000000002,23.03,14.920000000000002
2020-12-20,17.782083333333336,0.426642895,10.242,20.46,19.108
2020-12-21,20.743333333333336,-0.042216424,10.898,18.23,18.84
2020-12-22,17.132500000000004,0.0701038174,12.247,30.61,21.271666666666672
2020-12-23,25.797083333333333,-0.367174208,9.832,33.34,20.26333333333333
2020-12-24,19.54125,0.0251387494,9.386,18.45,20.593333333333334
2020-12-25,14.899583333333338,0.17157279,12.236,17.57,19.56833333333333
2020-12-26,16.404166666666665,0.1131455066,11.294,21.71,20.20833333333333
2020-12-27,14.107083333333334,0.569710553,11.457,37.36,22.813333333333333
