date,open_NO2,sate_NO2,"Shrinath Puram, Kota - RSPCB"
2020-11-24,9.94,6652440000000000.0,29.44
2020-11-25,14.730416666666663,4682576000000000.0,26.87
2020-11-26,10.638749999999998,5389984000000000.0,23.73
2020-11-27,14.424166666666666,5525900000000000.0,12.73
2020-11-28,19.38875,5245870000000000.0,25.72
2020-11-29,25.932916666666667,4197912000000000.0,10.61
2020-11-30,33.20208333333333,5593710000000000.0,9.73
2020-12-01,26.697916666666668,5158180000000000.0,15.37
2020-12-02,31.738750000000007,4511940000000000.0,10.26
2020-12-03,33.651666666666664,8013080000000000.0,31.02
2020-12-04,31.79833333333333,6491352000000000.0,24.86
2020-12-05,33.02041666666667,9641040000000000.0,29.08
2020-12-06,24.416249999999994,4906344000000000.0,26.31
2020-12-07,27.43958333333333,7221700000000000.0,21.8
2020-12-08,28.33833333333334,5379618000000000.0,19.24
2020-12-09,32.04083333333334,6641580000000000.0,21.33
2020-12-10,36.55083333333334,8159130000000000.0,23.25
2020-12-11,9.4325,4211770000000000.0,24.85
2020-12-12,16.27416666666667,4960164000000000.0,14.32
2020-12-13,16.031250000000004,4907666000000000.0,13.14
2020-12-14,13.534166666666664,5522864000000000.0,13.9
2020-12-15,12.76291666666667,6666280000000000.0,15.95
2020-12-16,11.203333333333331,4831160000000000.0,14.31
2020-12-17,22.285833333333333,6969710000000000.0,20.37
2020-12-18,25.91208333333333,5330206000000000.0,28.55
2020-12-19,28.124583333333334,5096660000000000.0,34.12
2020-12-20,26.34208333333333,5645030000000000.0,30.5
2020-12-21,33.56666666666667,1.02e+16,35.59
2020-12-22,34.015416666666674,4751804000000000.0,30.98
2020-12-23,25.05625,7447780000000000.0,27.99
2020-12-24,17.540416666666665,4988036000000000.0,32.6
2020-12-25,22.97875,4999930000000000.0,31.15
2020-12-26,17.757916666666667,6246650000000000.0,28.0
2020-12-27,7.915833333333334,5208946000000000.0,26.26
2020-12-28,16.78291666666667,4311970000000000.0,21.4
2020-12-29,21.05375,5508246000000000.0,22.45
2020-12-30,12.452083333333336,4660980000000000.0,22.36
2020-12-31,18.19375,4512926000000000.0,25.79
2021-01-01,13.64875,5422480000000000.0,33.88
2021-01-02,12.774583333333332,6256760000000000.0,31.68
2021-01-03,7.163749999999999,6780948000000000.0,22.72
2021-01-04,5.965000000000001,5534630000000000.0,19.34
2021-01-05,15.652916666666664,5432746000000000.0,17.88
2021-01-06,8.552500000000002,3453520000000000.0,15.94
2021-01-07,13.87666666666667,4143988000000000.0,13.74
2021-01-08,11.664583333333333,6843950000000000.0,10.9
2021-01-09,11.892083333333334,5851528000000000.0,11.51
2021-01-10,9.606666666666667,5908324000000000.0,16.68
2021-01-11,15.65916666666667,4942590000000000.0,17.79
2021-01-12,26.754166666666663,4982592000000000.0,18.26
