date,open_NO2,sate_NO2,"Ganga Nagar, Meerut - UPPCB","Jai Bhim Nagar, Meerut - UPPCB","Pallavpuram Phase 2, Meerut - UPPCB"
2020-11-24,25.7025,5358520000000000.0,39.88,40.91,93.57
2020-11-25,19.21708333333333,1.181738e+16,18.26,36.64,26.04
2020-11-26,18.999166666666667,7213490000000000.0,15.05,13.85,31.69
2020-11-27,18.65125,6936224000000000.0,19.01,19.01,23.56
2020-11-28,26.936666666666667,7769270000000000.0,20.21,20.21,10.15
2020-11-29,33.914583333333326,5706988000000000.0,20.77,13.96,16.02
2020-11-30,30.7775,6608400000000000.0,23.47,23.47,8.41
2020-12-01,25.52083333333334,6624900000000000.0,3.17,3.17,21.17
2020-12-02,26.4725,7611800000000000.0,18.37,5.51,45.35
2020-12-03,33.41666666666667,1.53e+16,37.45,15.21,77.88
2020-12-04,17.861666666666665,6417474000000000.0,50.92,21.14,121.57
2020-12-05,14.867083333333332,6346750000000000.0,61.35,8.74,168.2
2020-12-06,23.53333333333332,6529968000000000.0,35.0,13.62,137.38
2020-12-07,26.425833333333333,6134950000000000.0,30.3,14.48,125.08
2020-12-08,36.18333333333333,6646142000000000.0,35.19,11.45,126.17
2020-12-09,33.21708333333333,7223430000000000.0,41.74,10.11,135.83
2020-12-10,26.84041666666667,1.15e+16,53.41,16.24,166.45
2020-12-11,39.01458333333333,6468348000000000.0,65.12,21.95,178.07
2020-12-12,18.06833333333334,3028690000000000.0,14.78,14.78,108.54
2020-12-13,14.850416666666668,5775804000000000.0,12.63,11.98,49.83
2020-12-14,25.426666666666662,6563940000000000.0,20.8,8.94,40.57
2020-12-15,19.537916666666664,5649946000000000.0,23.93,8.36,50.95
2020-12-16,14.148749999999998,6492710000000000.0,25.23,7.86,54.2
2020-12-17,15.519583333333337,7915130000000000.0,21.54,7.4,48.11
2020-12-18,16.198333333333334,6487100000000000.0,30.41,6.87,66.15
2020-12-19,14.52708333333333,6471440000000000.0,37.9,6.6,87.48
2020-12-20,18.29458333333333,5699902000000000.0,46.25,46.25,109.49
2020-12-21,34.13,1.03e+16,11.08,11.08,123.85
2020-12-22,34.875416666666666,6501482000000000.0,0.3,11.06,116.89
2020-12-23,27.364166666666662,7541740000000000.0,14.8,14.8,131.69
2020-12-24,21.95583333333333,6098478000000000.0,0.8,270.5,112.78
2020-12-25,17.31333333333333,7310170000000000.0,89.87,89.87,89.87
2020-12-26,28.147916666666664,1.08e+16,1.4,214.78,117.4
2020-12-27,11.210416666666667,6710496000000000.0,2.5,247.54,119.49
2020-12-28,17.238333333333333,6352120000000000.0,2.7,187.9,102.26
2020-12-29,14.3975,7860758000000000.0,1.1,261.43,135.15
2020-12-30,20.992916666666662,7611560000000000.0,0.9,308.73,131.75
2020-12-31,33.86958333333333,5905964000000000.0,0.3,334.44,184.61
2021-01-01,22.81708333333333,6299010000000000.0,250.17,250.17,159.63
2021-01-02,22.256666666666664,5636578000000000.0,284.4,284.4,151.7
2021-01-03,10.42583333333333,6984124000000000.0,252.94,252.94,114.31
2021-01-04,14.058333333333332,3168320000000000.0,428.88,428.88,107.99
2021-01-05,12.775,1.0650206e+16,196.65,196.65,123.53
2021-01-06,18.679166666666667,4622560000000000.0,240.21,240.21,118.63
2021-01-07,24.808333333333337,5582676000000000.0,205.87,205.87,123.82
2021-01-08,22.30666666666667,4758040000000000.0,0.3,235.06,128.43
2021-01-09,9.572916666666666,6258900000000000.0,0.3,196.88,116.43
2021-01-10,11.928750000000004,6288850000000000.0,263.76,263.76,124.04
2021-01-11,12.86375,6955630000000000.0,265.03,265.03,111.22
2021-01-12,17.040833333333335,5625604000000000.0,0.2,226.67,122.62
2021-01-13,27.497083333333336,1.29e+16,299.85,299.85,145.28
2021-01-14,36.75416666666666,5903356000000000.0,297.86,297.86,173.25
2021-01-15,35.659166666666664,7293210000000000.0,0.1,280.75,194.72
2021-01-16,21.492500000000003,6203002000000000.0,0.3,0.3,155.07
