date,open_NO2,sate_NO2,"Buddhi Vihar, Moradabad - UPPCB","Eco Herbal Park, Moradabad - UPPCB","Employment Office, Moradabad - UPPCB"
2020-11-24,27.5025,5758582000000000.0,40.91,38.25333333333334,40.91
2020-11-25,30.674999999999997,1.07e+16,36.64,60.10166666666667,36.64
2020-11-26,20.536250000000003,5205670000000000.0,13.85,31.5,13.85
2020-11-27,15.394583333333332,5629958000000000.0,23.56,9.041666666666666,23.56
2020-11-28,17.884583333333328,7032960000000000.0,10.15,13.534999999999998,10.15
2020-11-29,22.866250000000004,5461612000000000.0,13.96,11.788333333333332,13.96
2020-11-30,23.99875,6630960000000000.0,8.41,12.391666666666666,8.41
2020-12-01,33.187083333333334,5034444000000000.0,21.17,12.361666666666666,21.17
2020-12-02,37.59833333333333,6936200000000000.0,5.51,13.356666666666667,5.51
2020-12-03,37.65,1.22e+16,15.21,25.28,15.21
2020-12-04,36.83291666666666,5860980000000000.0,21.14,51.39999999999999,21.14
2020-12-05,26.89625000000001,7456430000000000.0,8.74,50.99,8.74
2020-12-06,20.5825,5684142000000000.0,13.62,48.711,13.62
2020-12-07,19.025,6180710000000000.0,14.48,48.66,14.48
2020-12-08,26.979999999999997,6170504000000000.0,11.45,43.511,11.45
2020-12-09,20.56458333333333,5319060000000000.0,10.11,41.675,10.11
2020-12-10,20.046666666666667,6289000000000000.0,16.24,42.718,16.24
2020-12-11,23.901666666666667,5022226000000000.0,21.95,51.177,21.95
2020-12-12,23.55291666666666,4552100000000000.0,14.78,30.672000000000004,14.78
2020-12-13,8.531666666666665,5083176000000000.0,11.98,35.267,11.98
2020-12-14,15.82458333333333,5899410000000000.0,8.94,30.853,8.94
2020-12-15,16.175,5892722000000000.0,8.36,34.078,8.36
2020-12-16,10.325,4996440000000000.0,7.86,36.745,7.86
2020-12-17,9.961666666666666,5470688000000000.0,7.4,37.584,7.4
2020-12-18,11.4975,7072220000000000.0,6.87,42.14,6.87
2020-12-19,10.978333333333332,1.23e+16,6.6,43.342,6.6
2020-12-20,32.13083333333333,5923992000000000.0,109.49,36.545,109.49
2020-12-21,38.49958333333333,6666300000000000.0,11.08,48.314,11.08
2020-12-22,18.39583333333333,6281718000000000.0,11.06,57.78399999999999,11.06
2020-12-23,20.802916666666665,6330050000000000.0,14.8,58.618,14.8
2020-12-24,12.924166666666666,5798572000000000.0,270.5,53.407,270.5
2020-12-25,9.725833333333332,4965970000000000.0,89.87,56.23499999999999,89.87
2020-12-26,24.006250000000005,6708572000000000.0,214.78,51.996,214.78
2020-12-27,19.13958333333333,6078670000000000.0,247.54,46.413,247.54
2020-12-28,15.6,6205710000000000.0,187.9,45.506,187.9
2020-12-29,12.169583333333334,5487220000000000.0,261.43,44.57666666666667,261.43
2020-12-30,14.687916666666665,5188190000000000.0,308.73,46.354,308.73
2020-12-31,24.7975,6384990000000000.0,334.44,46.815,334.44
2021-01-01,40.71375,4334230000000000.0,250.17,49.576,250.17
2021-01-02,38.22166666666667,6028584000000000.0,284.4,41.439,284.4
2021-01-03,14.79125,4498470000000000.0,252.94,42.55,252.94
2021-01-04,21.56375,3455120000000000.0,428.88,44.631,428.88
2021-01-05,20.2175,6726330000000000.0,196.65,38.193,196.65
2021-01-06,25.362500000000008,5996596000000000.0,240.21,48.199000000000005,240.21
2021-01-07,14.927916666666668,5544660000000000.0,205.87,53.66799999999999,205.87
2021-01-08,14.27,5404550000000000.0,235.06,41.36,235.06
2021-01-09,7.657083333333333,5952422000000000.0,196.88,36.752,196.88
2021-01-10,7.264166666666668,4624590000000000.0,263.76,36.13,263.76
2021-01-11,7.849166666666665,5517240000000000.0,265.03,42.849,265.03
2021-01-12,11.497083333333334,6352170000000000.0,226.67,42.65399999999999,226.67
2021-01-13,23.921666666666663,6578810000000000.0,299.85,36.323,299.85
2021-01-14,30.031666666666663,5477822000000000.0,297.86,37.469,297.86
2021-01-15,18.451666666666668,4696360000000000.0,280.75,43.385000000000005,280.75
2021-01-16,14.70625,5763300000000000.0,155.07,45.669,155.07
2021-01-17,12.273749999999998,4973838000000000.0,126.94,38.951,126.94
2021-01-18,28.89333333333333,5667244000000000.0,153.24,41.602,153.24
2021-01-19,10.582083333333332,5110320000000000.0,439.8,42.536,439.8
2021-01-20,7.972499999999999,7813410000000000.0,390.73,47.593,390.73
2021-01-21,16.89375,6217164000000000.0,134.38,41.829,134.38
2021-01-22,18.95875,3330990000000000.0,116.51,48.54666666666666,116.51
2021-01-23,16.200416666666666,6228280000000000.0,88.84,43.407777777777774,88.84
2021-01-24,9.39625,4796550000000000.0,134.59,38.54,134.59
2021-01-25,13.276666666666666,5325644000000000.0,135.47,43.47111111111112,135.47
2021-01-26,10.293499999999998,7064020000000000.0,155.88,45.0588888888889,155.88
2021-01-27,19.15,5330710000000000.0,13.88,45.25888888888889,13.88
2021-01-28,16.01750000000001,4497330000000000.0,118.81,45.142222222222216,118.81
2021-01-29,8.09625,4668650000000000.0,112.91,55.86555555555555,112.91
2021-01-30,9.857083333333334,5321512000000000.0,92.55,56.723333333333336,92.55
2021-01-31,33.4925,8172710000000000.0,120.33,48.11111111111112,120.33
2021-02-01,19.55875,5140802000000000.0,119.01,59.75222222222222,119.01
2021-02-02,25.105833333333337,5990830000000000.0,140.67,62.2011111111111,140.67
2021-02-03,17.075000000000003,5425908000000000.0,83.78,69.15888888888888,83.78
2021-02-04,21.31375,6205890000000000.0,76.4,62.17222222222222,76.4
2021-02-05,21.305,4411640000000000.0,88.84,52.330000000000005,88.84
2021-02-06,7.14125,5851556000000000.0,88.19,52.88,88.19
2021-02-07,10.666666666666666,6260450000000000.0,96.7,41.31875,96.7
2021-02-08,10.870416666666666,4952174000000000.0,107.76,58.27125,107.76
2021-02-09,33.688750000000006,6006420000000000.0,121.42,57.23875,121.42
2021-02-10,19.21375,5419072000000000.0,132.11,66.88000000000001,132.11
2021-02-11,13.818333333333332,5359740000000000.0,109.74,63.8975,109.74
2021-02-12,15.876666666666669,6289000000000000.0,109.51,55.54999999999999,109.51
2021-02-13,13.079166666666667,5881570000000000.0,104.01,59.10375,104.01
2021-02-14,12.82625,6392160000000000.0,128.65,41.875,128.65
