date,open_SO2,sate_SO2,"DRM Office Danapur, Patna - BSPCB",Govt,"IGSC Planetarium Complex, Patna - BSPCB","Rajbansi Nagar, Patna - BSPCB","Samanpura, Patna - BSPCB"
2020-11-24,28.192500000000003,0.0745582768,9.22,7.26,7.26,9.22,9.22
2020-11-25,36.880833333333335,0.009348599,9.27,6.06,6.06,9.27,9.27
2020-11-26,40.571666666666665,0.1550846372,6.77,17.67,19.42,11.19,11.19
2020-11-27,16.487916666666674,0.0683735932,15.79,10.89,22.512500000000003,15.79,15.79
2020-11-28,15.859583333333331,-0.1209812803999999,5.78,3.32,17.86,17.87,17.87
2020-11-29,18.132500000000004,-0.086000025,1.6,3.63,19.8975,3.93,3.93
2020-11-30,23.0125,-0.366684705,1.63,3.78,18.2325,3.78,3.78
2020-12-01,26.37041666666667,0.102463237,3.02,7.85,1.32,2.49,2.49
2020-12-02,26.92625,0.285494268,3.68,7.29,21.15,4.35,7.87
2020-12-03,32.65333333333334,0.0168834511999999,4.81,10.15,16.35,7.69,8.6
2020-12-04,52.62666666666669,-0.0080914206,6.49,10.8,19.52,4.5,7.64
2020-12-05,25.47166666666666,-0.0739712783999999,5.96,11.27,21.63,8.48,7.18
2020-12-06,23.678333333333335,-0.0537402696,6.66,11.66,20.17,8.86,9.61
2020-12-07,42.69791666666666,0.223089024,7.02,16.0,18.98,12.89,9.32
2020-12-08,27.070000000000004,-0.1070945408,6.27,11.38,19.98,6.44,7.98
2020-12-09,19.45625,0.0808352908,5.66,20.93,20.93,6.36,7.56
2020-12-10,26.768333333333327,0.0273333356,5.24,14.13,20.59,6.94,8.06
2020-12-11,21.92333333333333,0.0791912635999999,6.52,12.14,19.83,8.89,9.26
2020-12-12,12.359583333333337,0.1138255298,5.35,8.96,20.44,7.93,6.88
2020-12-13,11.26375,0.0775352008,4.93,8.34,20.41,7.4,6.15
2020-12-14,20.539583333333333,-0.1930351826,5.98,9.0,20.33,6.82,6.13
2020-12-15,20.52875,0.13774512,6.51,10.12,20.43,5.77,8.25
2020-12-16,16.267500000000002,-0.2082040927999999,5.96,9.13,20.61,5.41,7.25
2020-12-17,18.28875,0.0655867054,5.03,8.82,20.08,4.99,7.09
2020-12-18,20.742916666666662,0.171879292,4.14,9.17,20.4,4.46,7.08
2020-12-19,18.11375,0.0705133546,6.02,9.19,20.74,4.29,9.29
2020-12-20,18.12583333333333,0.0221942744,4.73,9.11,16.82,4.46,7.33
2020-12-21,20.644166666666667,0.2086766095999999,12.24,8.3,23.62,4.24,5.72
2020-12-22,26.246249999999996,0.0275404812,12.76,8.85,27.15,4.9,6.78
2020-12-23,25.520416666666662,0.39041388,11.38,9.51,23.43,5.2,6.94
2020-12-24,18.316666666666663,0.065660782,9.68,9.3,18.58,5.48,6.99
2020-12-25,20.141250000000003,-0.211956292,8.64,9.47,20.06,5.18,7.14
2020-12-26,15.457499999999996,0.215193744,9.64,9.67,20.26,6.19,7.86
