date,open_NO2,sate_NO2,"Ardhali Bazar, Varanasi - UPPCB","Bhelupur, Varanasi - UPPCB","IESD Banaras Hindu University, Varanasi - UPPCB","Maldahiya, Varanasi - UPPCB"
2020-11-24,43.7,4693492000000000.0,9.17,9.17,9.17,32.71
2020-11-25,44.85124999999999,4959230000000000.0,18.99,18.99,18.99,41.99
2020-11-26,68.36,5087286000000000.0,116.04,116.04,116.04,16.855
2020-11-27,55.865,5953170000000000.0,18.6275,18.6275,18.6275,11.197500000000002
2020-11-28,46.57583333333332,5881350000000000.0,20.41,20.41,20.41,8.105
2020-11-29,39.365,5396068000000000.0,32.1,32.1,32.1,13.1125
2020-11-30,57.755833333333335,5634230000000000.0,11.81,11.81,11.81,10.845
2020-12-01,68.38125,4605866000000000.0,38.05,38.05,38.05,7.1975
2020-12-02,49.27041666666667,4942328000000000.0,5.78,5.78,5.78,15.9625
2020-12-03,59.583333333333336,4858152000000000.0,7.45,7.45,7.45,15.1125
2020-12-04,73.52875,7965210000000000.0,107.34,107.34,107.34,28.612500000000004
2020-12-05,65.68166666666667,7945360000000000.0,166.54,166.54,166.54,26.225
2020-12-06,50.79166666666666,5348244000000000.0,170.25,170.25,170.25,26.558333333333334
2020-12-07,58.33583333333333,7778930000000000.0,153.43,153.43,153.43,36.51499999999999
2020-12-08,56.16750000000001,5275604000000000.0,127.05,127.05,127.05,32.181666666666665
2020-12-09,57.88500000000001,4536950000000000.0,118.29,118.29,118.29,24.865
2020-12-10,49.764166666666654,4940112000000000.0,113.92,113.92,113.92,20.96833333333333
2020-12-11,37.43666666666667,5187756000000000.0,120.41,120.41,120.41,23.408
2020-12-12,22.82166666666667,5739380000000000.0,88.98,88.98,88.98,21.012
2020-12-13,19.788333333333338,4964320000000000.0,84.82,84.82,84.82,20.396
2020-12-14,55.16875000000001,3111340000000000.0,86.54,86.54,86.54,20.698
2020-12-15,43.02041666666667,5153200000000000.0,103.04,103.04,103.04,21.55
2020-12-16,31.5025,5196906000000000.0,108.12,108.12,108.12,22.457142857142856
2020-12-17,19.27375,4883664000000000.0,108.63,108.63,108.63,24.415000000000003
2020-12-18,24.169583333333332,5091780000000000.0,114.96,114.96,114.96,26.78
2020-12-19,38.17791666666667,5051852000000000.0,129.66,129.66,129.66,34.05166666666666
2020-12-20,34.48833333333334,4938440000000000.0,132.3,132.3,132.3,32.9625
2020-12-21,44.27250000000001,5993510000000000.0,114.82,114.82,114.82,35.136
2020-12-22,53.67249999999999,6247380000000000.0,109.39,109.39,109.39,35.562
2020-12-23,61.96958333333334,5795630000000000.0,99.92,99.92,99.92,29.43428571428572
