date,open_NO2,sate_NO2,"Manoharpur, Agra - UPPCB","Rohta, Agra - UPPCB","Sanjay Palace, Agra - UPPCB","Sector-3B Avas Vikas Colony, Agra - UPPCB","Shahjahan Garden, Agra - UPPCB","Shastripuram, Agra - UPPCB"
2020-11-24,29.475,7989430000000000.0,69.27,69.27,69.27,69.27,69.27,69.27
2020-11-25,22.739166666666662,4830106000000000.0,72.24,72.24,72.24,72.24,72.24,72.24
2020-11-26,44.62583333333333,6059636000000000.0,47.51,47.51,47.51,47.51,47.51,47.51
2020-11-27,22.42208333333333,5503500000000000.0,48.27,48.27,48.27,48.27,48.27,48.27
2020-11-28,40.37500000000001,6432660000000000.0,29.03,29.03,29.03,29.03,29.03,29.03
2020-11-29,52.37,5303480000000000.0,18.35,18.35,18.35,18.35,18.35,18.35
2020-11-30,59.88416666666668,5034720000000000.0,10.46,10.46,10.46,10.46,10.46,10.46
2020-12-01,58.774166666666666,4791814000000000.0,14.74,14.74,14.74,14.74,14.74,14.74
2020-12-02,48.816249999999975,5451290000000000.0,19.83,19.83,19.83,19.83,19.83,19.83
2020-12-03,58.21416666666667,8175100000000000.0,49.42,49.42,49.42,49.42,49.42,49.42
2020-12-04,50.68083333333334,5656044000000000.0,65.9,65.9,65.9,65.9,65.9,65.9
2020-12-05,23.39125,5361700000000000.0,64.19,64.19,64.19,64.19,64.19,64.19
2020-12-06,36.01833333333333,5062258000000000.0,54.99,54.99,54.99,54.99,54.99,54.99
2020-12-07,62.17666666666667,4614030000000000.0,45.06,45.06,45.06,45.06,45.06,45.06
2020-12-08,72.50958333333332,4994056000000000.0,51.55,51.55,51.55,51.55,51.55,51.55
2020-12-09,65.6075,4675620000000000.0,51.96,51.96,51.96,51.96,51.96,51.96
2020-12-10,54.89291666666666,5815310000000000.0,60.08,60.08,60.08,60.08,60.08,60.08
2020-12-11,19.765,4708074000000000.0,65.11,65.11,65.11,65.11,65.11,65.11
2020-12-12,42.140833333333326,3772820000000000.0,29.61,29.61,29.61,29.61,29.61,29.61
2020-12-13,30.074583333333333,4798968000000000.0,30.07,30.07,30.07,30.07,30.07,30.07
2020-12-14,47.9825,4976180000000000.0,31.98,31.98,31.98,31.98,31.98,31.98
2020-12-15,64.02000000000001,5152278000000000.0,33.61,33.61,33.61,33.61,33.61,33.61
2020-12-16,37.70791666666667,4249790000000000.0,42.63,42.63,42.63,42.63,42.63,42.63
2020-12-17,17.24166666666667,4811784000000000.0,30.04,30.04,30.04,30.04,30.04,30.04
2020-12-18,23.67375,5085280000000000.0,35.51,35.51,35.51,35.51,35.51,35.51
2020-12-19,29.46583333333334,4247520000000000.0,45.67,45.67,45.67,45.67,45.67,45.67
2020-12-20,31.59208333333333,5046938000000000.0,47.8,47.8,47.8,47.8,47.8,47.8
2020-12-21,45.38666666666666,5549370000000000.0,50.92,50.92,50.92,50.92,50.92,50.92
2020-12-22,50.85291666666668,4894820000000000.0,59.77,59.77,59.77,59.77,59.77,59.77
2020-12-23,58.04166666666666,5669970000000000.0,62.28,62.28,62.28,62.28,62.28,62.28
2020-12-24,51.18416666666668,5226790000000000.0,60.19,60.19,60.19,60.19,60.19,60.19
2020-12-25,42.57541666666667,5487230000000000.0,53.36,53.36,53.36,53.36,53.36,53.36
2020-12-26,38.95625,4115560000000000.0,51.64,51.64,51.64,51.64,51.64,51.64
2020-12-27,16.977916666666665,5700736000000000.0,36.71,36.71,36.71,36.71,36.71,36.71
2020-12-28,43.34125,6374990000000000.0,29.29,29.29,29.29,29.29,29.29,29.29
2020-12-29,29.70208333333333,5564510000000000.0,33.99,33.99,33.99,33.99,33.99,33.99
2020-12-30,47.63875,4523820000000000.0,28.4,28.4,28.4,28.4,28.4,28.4
2020-12-31,59.25291666666666,5254296000000000.0,34.13,34.13,34.13,34.13,34.13,34.13
2021-01-01,23.885,4130040000000000.0,37.32,37.32,37.32,37.32,37.32,37.32
2021-01-02,21.960416666666664,5518282000000000.0,32.56,32.56,32.56,32.56,32.56,32.56
2021-01-03,12.774166666666664,4039992000000000.0,17.31,17.31,17.31,17.31,17.31,17.31
2021-01-04,20.579166666666666,4695860000000000.0,17.48,17.48,17.48,17.48,17.48,17.48
2021-01-05,13.224583333333335,5049758000000000.0,19.11,19.11,19.11,19.11,19.11,19.11
2021-01-06,33.03125,5382164000000000.0,16.48,16.48,16.48,16.48,16.48,16.48
2021-01-07,28.5,5075570000000000.0,16.22,16.22,16.22,16.22,16.22,16.22
2021-01-08,20.02125000000001,4549572000000000.0,15.33,15.33,15.33,15.33,15.33,15.33
2021-01-09,17.837083333333332,4646676000000000.0,17.51,17.51,17.51,17.51,17.51,17.51
2021-01-10,12.583333333333336,3323130000000000.0,14.94,14.94,14.94,14.94,14.94,14.94
2021-01-11,16.342499999999998,3132940000000000.0,18.64,18.64,18.64,18.64,18.64,18.64
2021-01-12,26.67916666666667,4676846000000000.0,31.33,31.33,31.33,31.33,31.33,31.33
2021-01-13,29.065,8727880000000000.0,34.54,34.54,34.54,34.54,34.54,34.54
2021-01-14,49.781666666666666,4888414000000000.0,34.74,34.74,34.74,34.74,34.74,34.74
2021-01-15,46.150000000000006,5308830000000000.0,30.64,30.64,30.64,30.64,30.64,30.64
2021-01-16,33.55875,5272058000000000.0,33.95,33.95,33.95,33.95,33.95,33.95
2021-01-17,10.2575,5170934000000000.0,18.38,18.38,18.38,18.38,18.38,18.38
2021-01-18,20.821250000000003,5171002000000000.0,19.31,19.31,19.31,19.31,19.31,19.31
2021-01-19,29.475,5453260000000000.0,19.53,19.53,19.53,19.53,19.53,19.53
2021-01-20,16.001250000000002,3939590000000000.0,20.33,20.33,20.33,20.33,20.33,20.33
2021-01-21,34.68791666666666,4655908000000000.0,28.25,28.25,28.25,28.25,28.25,28.25
2021-01-22,19.55375,5602650000000000.0,22.93,22.93,22.93,22.93,22.93,22.93
2021-01-23,17.525000000000002,5833152000000000.0,15.39,15.39,15.39,15.39,15.39,15.39
2021-01-24,20.786666666666665,5384828000000000.0,20.14,20.14,20.14,20.14,20.14,20.14
2021-01-25,40.40125,4688586000000000.0,15.66,15.66,15.66,15.66,15.66,15.66
2021-01-26,35.1085,4716610000000000.0,23.98,23.98,23.98,23.98,23.98,23.98
2021-01-27,34.442499999999995,2966460000000000.0,30.84,30.84,30.84,30.84,30.84,30.84
2021-01-28,47.575,4785348000000000.0,20.25,20.25,20.25,20.25,20.25,20.25
2021-01-29,26.449166666666677,5329170000000000.0,23.97,23.97,23.97,23.97,23.97,23.97
2021-01-30,28.266250000000003,4211618000000000.0,28.8,28.8,28.8,28.8,28.8,28.8
2021-01-31,40.39375000000001,4667850000000000.0,32.28,32.28,32.28,32.28,32.28,32.28
2021-02-01,43.23958333333334,5328376000000000.0,35.24,35.24,35.24,35.24,35.24,35.24
2021-02-02,35.16916666666666,5080170000000000.0,33.2,33.2,33.2,33.2,33.2,33.2
2021-02-03,15.791666666666664,4851778000000000.0,18.34,18.34,18.34,18.34,18.34,18.34
2021-02-04,18.26875,4816590000000000.0,13.61,13.61,13.61,13.61,13.61,13.61
2021-02-05,32.88791666666666,8086410000000000.0,13.14,13.14,13.14,13.14,13.14,13.14
2021-02-06,17.848333333333336,5492016000000000.0,16.17,16.17,16.17,16.17,16.17,16.17
2021-02-07,26.711250000000003,4145170000000000.0,20.48,20.48,20.48,20.48,20.48,20.48
2021-02-08,28.960833333333326,4766628000000000.0,31.49,31.49,31.49,31.49,31.49,31.49
2021-02-09,46.650000000000006,4659550000000000.0,25.43,25.43,25.43,25.43,25.43,25.43
2021-02-10,35.506249999999994,4806428000000000.0,28.39,28.39,28.39,28.39,28.39,28.39
2021-02-11,37.26458333333334,4575400000000000.0,28.52,28.52,28.52,28.52,28.52,28.52
2021-02-12,41.09083333333333,3407280000000000.0,23.5,23.5,23.5,23.5,23.5,23.5
2021-02-13,22.35625,6015356000000000.0,26.31,26.31,26.31,26.31,26.31,26.31
2021-02-14,30.14125,5059680000000000.0,28.34,28.34,28.34,28.34,28.34,28.34
2021-02-15,30.213333333333328,5574030000000000.0,26.3,26.3,26.3,26.3,26.3,26.3
2021-02-16,32.36875,5171180000000000.0,21.44,21.44,21.44,21.44,21.44,21.44
2021-02-17,35.70125,5782456000000000.0,28.8,28.8,28.8,28.8,28.8,28.8
2021-02-18,34.502500000000005,6635110000000000.0,28.68,28.68,28.68,28.68,28.68,28.68
2021-02-19,32.184583333333336,4791068000000000.0,28.86,28.86,28.86,28.86,28.86,28.86
2021-02-20,31.0775,5527210000000000.0,29.97,29.97,29.97,29.97,29.97,29.97
2021-02-21,26.202916666666667,4707150000000000.0,27.55,27.55,27.55,27.55,27.55,27.55
2021-02-22,25.885416666666668,5012386000000000.0,26.16,26.16,26.16,26.16,26.16,26.16
2021-02-23,34.64333333333333,4812160000000000.0,30.82,30.82,30.82,30.82,30.82,30.82
2021-02-24,33.025,5673322000000000.0,30.33,30.33,30.33,30.33,30.33,30.33
2021-02-25,31.10583333333334,5522060000000000.0,26.57,26.57,26.57,26.57,26.57,26.57
2021-02-26,30.782499999999995,4800658000000000.0,20.37,20.37,20.37,20.37,20.37,20.37
2021-02-27,31.39958333333334,4613730000000000.0,16.26,16.26,16.26,16.26,16.26,16.26
2021-02-28,25.72791666666667,4507510000000000.0,23.01,23.01,23.01,23.01,23.01,23.01
2021-03-01,18.15083333333333,4611722000000000.0,14.44,14.44,14.44,14.44,14.44,14.44
2021-03-02,25.75208333333333,3861440000000000.0,15.27,15.27,15.27,15.27,15.27,15.27
2021-03-03,35.64166666666667,5786678000000000.0,23.94,23.94,23.94,23.94,23.94,23.94
2021-03-04,32.80416666666667,4585580000000000.0,25.97,25.97,25.97,25.97,25.97,25.97
2021-03-05,18.405416666666664,4410740000000000.0,21.06,21.06,21.06,21.06,21.06,21.06
2021-03-06,27.465416666666663,4105790000000000.0,21.33,21.33,21.33,21.33,21.33,21.33
2021-03-07,18.561666666666667,4683144000000000.0,15.34,15.34,15.34,15.34,15.34,15.34
2021-03-08,15.701666666666666,4043790000000000.0,11.9,11.9,11.9,11.9,11.9,11.9
2021-03-09,16.70416666666667,5019890000000000.0,13.16,13.16,13.16,13.16,13.16,13.16
2021-03-10,17.710416666666667,4363378000000000.0,14.26,14.26,14.26,14.26,14.26,14.26
2021-03-11,14.582499999999998,4467110000000000.0,16.67,16.67,16.67,16.67,16.67,16.67
2021-03-12,12.634583333333332,4643652000000000.0,16.43,16.43,16.43,16.43,16.43,16.43
2021-03-13,31.69708333333333,4409880000000000.0,16.64,16.64,16.64,16.64,16.64,16.64
2021-03-14,21.596521739130434,5190326000000000.0,18.94,18.94,18.94,18.94,18.94,18.94
2021-03-15,29.15416666666667,4629190000000000.0,22.6,22.6,22.6,22.6,22.6,22.6
2021-03-16,30.724583333333328,2853560000000000.0,18.15,18.15,18.15,18.15,18.15,18.15
2021-03-17,30.36375,4290898000000000.0,19.94,19.94,19.94,19.94,19.94,19.94
2021-03-18,35.79625,5197590000000000.0,16.48,16.48,16.48,16.48,16.48,16.48
2021-03-19,17.425000000000004,4546138000000000.0,17.06,17.06,17.06,17.06,17.06,17.06
2021-03-20,31.0175,5340120000000000.0,14.16,14.16,14.16,14.16,14.16,14.16
2021-03-21,18.360833333333336,4809628000000000.0,16.44,16.44,16.44,16.44,16.44,16.44
2021-03-22,15.980000000000002,4709120000000000.0,7.26,7.26,7.26,7.26,7.26,7.26
2021-03-23,18.231666666666666,4543780000000000.0,7.38,7.38,7.38,7.38,7.38,7.38
2021-03-24,20.895,5191730000000000.0,10.93,10.93,10.93,10.93,10.93,10.93
2021-03-25,13.597916666666668,4510600000000000.0,13.96,13.96,13.96,13.96,13.96,13.96
2021-03-26,24.47791666666667,5363350000000000.0,23.08,23.08,23.08,23.08,23.08,23.08
2021-03-27,25.165416666666676,5321610000000000.0,22.52,22.52,22.52,22.52,22.52,22.52
2021-03-28,25.204166666666666,5952996000000000.0,23.14,23.14,23.14,23.14,23.14,23.14
2021-03-29,13.925833333333337,4959120000000000.0,13.74,13.74,13.74,13.74,13.74,13.74
2021-03-30,6.26875,4516712000000000.0,8.73,8.73,8.73,8.73,8.73,8.73
2021-03-31,7.968333333333333,5238510000000000.0,8.83,8.83,8.83,8.83,8.83,8.83
2021-04-01,17.9175,4190190000000000.0,16.3,16.3,16.3,16.3,16.3,16.3
2021-04-02,24.794166666666666,5066280000000000.0,16.12,16.12,16.12,16.12,16.12,16.12
2021-04-03,23.442916666666672,5728170000000000.0,20.44,20.44,20.44,20.44,20.44,20.44
2021-04-04,31.986249999999995,5686410000000000.0,33.98,33.98,33.98,33.98,33.98,33.98
2021-04-05,34.85583333333333,5245750000000000.0,31.93,31.93,31.93,31.93,31.93,31.93
2021-04-06,21.682916666666667,4541904000000000.0,16.86,16.86,16.86,16.86,16.86,16.86
2021-04-07,17.32541666666667,5155610000000000.0,16.84,16.84,16.84,16.84,16.84,16.84
2021-04-08,16.304166666666664,5226884000000000.0,14.75,14.75,14.75,14.75,14.75,14.75
2021-04-09,16.02333333333333,6285650000000000.0,19.78,19.78,19.78,19.78,19.78,19.78
2021-04-10,14.10875,5751650000000000.0,29.4,29.4,29.4,29.4,29.4,29.4
2021-04-11,31.01291666666666,5243300000000000.0,30.1,30.1,30.1,30.1,30.1,30.1
2021-04-12,22.795416666666668,5189720000000000.0,35.76,35.76,35.76,35.76,35.76,35.76
2021-04-13,20.147916666666664,5148094000000000.0,26.47,26.47,26.47,26.47,26.47,26.47
2021-04-14,23.65375,5656860000000000.0,16.39,16.39,16.39,16.39,16.39,16.39
2021-04-15,21.625416666666663,5151348000000000.0,19.23,19.23,19.23,19.23,19.23,19.23
2021-04-16,13.909166666666664,6845780000000000.0,15.44,15.44,15.44,15.44,15.44,15.44
2021-04-17,13.83125,5336310000000000.0,19.06,19.06,19.06,19.06,19.06,19.06
2021-04-18,16.301666666666666,5591440000000000.0,12.24,12.24,12.24,12.24,12.24,12.24
