date,open_SO2,sate_SO2,"Manoharpur, Agra - UPPCB","Rohta, Agra - UPPCB","Sanjay Palace, Agra - UPPCB","Sector-3B Avas Vikas Colony, Agra - UPPCB","Shahjahan Garden, Agra - UPPCB","Shastripuram, Agra - UPPCB"
2020-11-24,27.5975,1.27995563,22.73,22.73,22.73,22.73,22.73,22.73
2020-11-25,20.592916666666664,-0.0865957606,19.59,19.59,19.59,19.59,19.59,19.59
2020-11-26,15.423333333333332,-0.1235675402,22.95,22.95,22.95,22.95,22.95,22.95
2020-11-27,13.670416666666666,-0.1288875946,55.76,55.76,55.76,55.76,55.76,55.76
2020-11-28,13.760000000000003,0.32215786,20.05,20.05,20.05,20.05,20.05,20.05
2020-11-29,22.2425,-0.0267662028,28.99,28.99,28.99,28.99,28.99,28.99
2020-11-30,20.53916666666667,1.22192883,0.73,0.73,0.73,0.73,0.73,0.73
2020-12-01,18.229583333333327,-0.1007725148,23.8,23.8,23.8,23.8,23.8,23.8
2020-12-02,20.012083333333333,-0.071605608,58.87,58.87,58.87,58.87,58.87,58.87
2020-12-03,23.59416666666667,-0.025036678,25.49,25.49,25.49,25.49,25.49,25.49
2020-12-04,20.631666666666664,0.0556076758,32.16,32.16,32.16,32.16,32.16,32.16
2020-12-05,14.32125,-0.21586661,26.7,26.7,26.7,26.7,26.7,26.7
2020-12-06,18.82458333333333,-0.06165142,26.63,26.63,26.63,26.63,26.63,26.63
2020-12-07,30.487500000000008,-0.560000002,27.65,27.65,27.65,27.65,27.65,27.65
2020-12-08,49.69458333333335,0.0021696076,25.86,25.86,25.86,25.86,25.86,25.86
2020-12-09,34.38791666666667,0.0293081286,22.38,22.38,22.38,22.38,22.38,22.38
2020-12-10,27.01083333333333,0.519933283,29.73,29.73,29.73,29.73,29.73,29.73
2020-12-11,17.65541666666667,-0.1059855506,31.36,31.36,31.36,31.36,31.36,31.36
2020-12-12,20.084166666666665,-0.092102263,29.97,29.97,29.97,29.97,29.97,29.97
2020-12-13,18.36916666666666,-0.0753055156,22.72,22.72,22.72,22.72,22.72,22.72
2020-12-14,27.964999999999996,0.823775709,19.36,19.36,19.36,19.36,19.36,19.36
2020-12-15,34.12291666666667,-0.0010893657999999,23.14,23.14,23.14,23.14,23.14,23.14
2020-12-16,30.115416666666675,-0.0857851729999999,20.7,20.7,20.7,20.7,20.7,20.7
2020-12-17,10.109166666666669,-8.777920000000161e-05,22.16,22.16,22.16,22.16,22.16,22.16
2020-12-18,10.236666666666665,-0.150629833,13.15,13.15,13.15,13.15,13.15,13.15
2020-12-19,9.047916666666667,-0.022331258,27.4,27.4,27.4,27.4,27.4,27.4
2020-12-20,10.185416666666669,0.0773664212,40.28,40.28,40.28,40.28,40.28,40.28
2020-12-21,17.96625,0.018422404,30.42,30.42,30.42,30.42,30.42,30.42
2020-12-22,30.0825,-0.1152685412,39.69,39.69,39.69,39.69,39.69,39.69
2020-12-23,41.83291666666666,0.200000003,38.09,38.09,38.09,38.09,38.09,38.09
2020-12-24,34.42749999999999,0.0397884202,28.9,28.9,28.9,28.9,28.9,28.9
2020-12-25,23.05916666666667,-0.0743215096,32.94,32.94,32.94,32.94,32.94,32.94
2020-12-26,15.625833333333333,-0.315705866,31.61,31.61,31.61,31.61,31.61,31.61
2020-12-27,13.313333333333334,0.910000026,25.25,25.25,25.25,25.25,25.25,25.25
2020-12-28,29.514166666666668,-0.072282344,24.07,24.07,24.07,24.07,24.07,24.07
2020-12-29,13.975,-0.0117990628,27.82,27.82,27.82,27.82,27.82,27.82
2020-12-30,15.810416666666663,-0.00922344,24.86,24.86,24.86,24.86,24.86,24.86
2020-12-31,21.30875,-0.007490763,24.04,24.04,24.04,24.04,24.04,24.04
2021-01-01,24.29875,-0.0627040688,23.93,23.93,23.93,23.93,23.93,23.93
2021-01-02,12.561666666666667,0.2754877418,25.33,25.33,25.33,25.33,25.33,25.33
2021-01-03,12.907083333333333,0.192328742,27.72,27.72,27.72,27.72,27.72,27.72
2021-01-04,11.705,0.0684299618,23.48,23.48,23.48,23.48,23.48,23.48
2021-01-05,10.324583333333331,-0.0763985898,17.46,17.46,17.46,17.46,17.46,17.46
2021-01-06,16.403750000000006,-0.096151184,25.57,25.57,25.57,25.57,25.57,25.57
2021-01-07,13.764166666666666,-0.0326779428,12.62,12.62,12.62,12.62,12.62,12.62
2021-01-08,20.14208333333333,0.1459985239999999,19.69,19.69,19.69,19.69,19.69,19.69
2021-01-09,16.634583333333335,0.0402296535999999,21.99,21.99,21.99,21.99,21.99,21.99
2021-01-10,7.796250000000001,0.027744074,18.49,18.49,18.49,18.49,18.49,18.49
2021-01-11,9.512916666666664,0.949455321,23.25,23.25,23.25,23.25,23.25,23.25
2021-01-12,11.45375,0.23493886,30.87,30.87,30.87,30.87,30.87,30.87
2021-01-13,15.609583333333337,-0.382037789,32.64,32.64,32.64,32.64,32.64,32.64
2021-01-14,29.777500000000007,-0.2619111103999999,43.78,43.78,43.78,43.78,43.78,43.78
2021-01-15,26.614166666666662,0.138195649,27.43,27.43,27.43,27.43,27.43,27.43
2021-01-16,16.687083333333337,0.0209317459999999,30.73,30.73,30.73,30.73,30.73,30.73
2021-01-17,14.246249999999998,0.1096426275999999,23.64,23.64,23.64,23.64,23.64,23.64
2021-01-18,12.139583333333333,0.096138922,22.22,22.22,22.22,22.22,22.22,22.22
2021-01-19,13.597083333333329,0.25,16.53,16.53,16.53,16.53,16.53,16.53
2021-01-20,10.429166666666667,-0.030195635,18.88,18.88,18.88,18.88,18.88,18.88
2021-01-21,22.843750000000004,0.0176017784,19.01,19.01,19.01,19.01,19.01,19.01
2021-01-22,13.771666666666668,-0.216073364,36.92,36.92,36.92,36.92,36.92,36.92
2021-01-23,10.754583333333334,0.3158072522,21.83,21.83,21.83,21.83,21.83,21.83
2021-01-24,12.462500000000004,0.0250494838,22.1,22.1,22.1,22.1,22.1,22.1
2021-01-25,15.215000000000002,0.0163002156,19.24,19.24,19.24,19.24,19.24,19.24
2021-01-26,16.157000000000004,-0.529999971,23.21,23.21,23.21,23.21,23.21,23.21
2021-01-27,14.605,-0.104838818,23.62,23.62,23.62,23.62,23.62,23.62
2021-01-28,19.535833333333333,0.0139626444,16.38,16.38,16.38,16.38,16.38,16.38
2021-01-29,11.68625,-0.189926624,17.68,17.68,17.68,17.68,17.68,17.68
2021-01-30,12.03791666666667,0.1162100017999999,21.55,21.55,21.55,21.55,21.55,21.55
