date,open_NO2,sate_NO2,"Bapuji Nagar, Bengaluru - KSPCB","BTM Layout, Bengaluru - CPCB","BWSSB Kadabesanahalli, Bengaluru - CPCB","City Railway Station, Bengaluru - KSPCB","Hebbal, Bengaluru - KSPCB","Hombegowda Nagar, Bengaluru - KSPCB","Jayanagar 5th Block, Bengaluru - KSPCB","Peenya, Bengaluru - CPCB","Sanegurava Halli, Bengaluru - KSPCB","Silk Board, Bengaluru - KSPCB"
2020-11-24,11.3325,4242674000000000.0,45.97,28.59,35.48,8.8,32.42,17.37,44.94,39.86,8.8,17.88
2020-11-25,7.415416666666668,4711260000000000.0,37.8,23.27,42.48,46.66,36.83,18.39,35.74,25.61,16.11,21.52
2020-11-26,12.010833333333336,4036666000000000.0,30.52,32.21,56.43,48.96,9.57,17.42,39.22,16.59,16.16,26.87
2020-11-27,20.903333333333336,4823162000000000.0,8.47,17.9,17.49,17.57,17.57,6.28,6.28,6.1,17.57,6.69
2020-11-28,14.752499999999998,4008846000000000.0,15.0,19.53,13.93,8.31,3.72,23.05,29.38,7.71,17.53,2.68
2020-11-29,9.628333333333332,4004982000000000.0,28.59,18.86,10.35,17.41,10.25,8.1,12.67,6.04,23.59,9.29
2020-11-30,11.415416666666664,2131910000000000.0,5.65,15.61,10.63,24.75,8.02,4.54,6.83,4.26,24.75,12.6
2020-12-01,15.660833333333334,2322910000000000.0,11.49,15.97,10.25,30.09,9.87,8.62,12.15,4.46,23.56,15.97
2020-12-02,11.206666666666663,3830172000000000.0,13.62,13.02,10.09,25.77,10.55,8.27,4.12,6.26,25.77,15.36
2020-12-03,10.605,6050716000000000.0,21.7,10.44,9.97,21.7,12.85,11.73,6.07,10.31,11.73,20.16
2020-12-04,8.931666666666665,4054624000000000.0,27.88,10.32,14.29,17.78,32.19,16.46,27.47,10.77,10.76,37.34
2020-12-05,6.117916666666667,4562762000000000.0,29.56,11.07,15.76,27.83,29.78,16.37,13.91,13.63,13.11,39.49
2020-12-06,7.638333333333335,4297272000000000.0,27.09,11.61,16.29,28.25,16.83,15.18,13.61,12.59,13.11,42.01
2020-12-07,10.389583333333333,4435384000000000.0,23.59,12.1,10.08,29.16,7.18,19.64,13.72,11.48,13.27,59.44
2020-12-08,15.939583333333331,4693500000000000.0,23.31,11.14,16.5,28.81,6.19,15.78,12.98,13.38,13.31,53.08
2020-12-09,16.571666666666665,4174214000000000.0,24.32,9.73,12.49,33.04,34.41,18.91,13.15,13.96,13.4,35.35
2020-12-10,22.769166666666667,4882220000000000.0,21.57,10.04,10.94,32.47,30.53,15.3,12.78,11.56,13.31,30.41
2020-12-11,31.43,4335492000000000.0,30.51,9.74,10.31,26.56,31.89,14.92,13.2,17.68,13.26,30.48
2020-12-12,29.65666666666668,4516520000000000.0,49.75,9.9,8.29,41.36,41.91,25.31,16.67,30.64,11.92,36.73
2020-12-13,31.71708333333333,4291332000000000.0,47.99,9.41,31.22,43.05,35.41,19.47,16.76,22.44,43.05,31.22
2020-12-14,29.75375,3801470000000000.0,52.05,9.99,7.87,38.94,39.41,21.57,21.57,25.72,11.67,41.41
2020-12-15,14.487916666666662,3757644000000000.0,51.61,9.84,6.84,38.49,42.65,18.92,17.92,26.07,11.65,38.12
2020-12-16,12.694166666666666,4696134000000000.0,52.54,9.38,8.17,38.94,43.19,16.91,19.14,24.38,11.87,33.37
2020-12-17,13.5875,5108194000000000.0,50.15,17.93,22.95,41.4,34.53,18.62,20.86,21.62,11.98,32.19
2020-12-18,14.350416666666662,4614928000000000.0,53.96,25.59,13.5,41.05,35.76,18.4,26.01,22.33,24.86,34.07
2020-12-19,9.3925,4447730000000000.0,62.58,16.46,9.31,41.05,43.63,19.28,30.12,20.23,45.75,37.1
2020-12-20,12.010416666666666,3374078000000000.0,51.27,22.64,10.12,40.52,39.72,17.17,28.95,18.27,11.71,37.6
2020-12-21,17.97375,4258590000000000.0,57.31,18.5,17.31,39.19,43.55,18.95,24.63,19.31,11.2,32.76
2020-12-22,22.399583333333336,3363308000000000.0,48.57,18.44,11.27,38.5,35.23,19.11,26.02,18.87,12.49,35.23
2020-12-23,25.058333333333334,3970260000000000.0,51.74,18.55,32.42,39.71,48.82,19.09,27.07,18.42,12.09,35.39
2020-12-24,17.89708333333333,4334160000000000.0,65.72,20.75,30.53,42.6,42.75,20.66,28.72,27.14,12.25,36.82
2020-12-25,25.422916666666666,4441316000000000.0,56.82,22.2,24.17,43.02,38.21,19.61,27.09,27.89,12.45,43.0
2020-12-26,16.461666666666666,4325320000000000.0,71.13,30.36,13.43,41.43,35.5,23.52,26.97,27.59,11.51,47.08
2020-12-27,16.48208333333334,4014672000000000.0,66.2,29.5,51.18,29.98,38.27,23.85,26.93,26.1,11.81,51.18
2020-12-28,27.12208333333333,3698040000000000.0,74.82,41.24,10.59,12.29,37.66,25.31,28.79,33.49,12.29,44.47
2020-12-29,14.315416666666666,3233630000000000.0,51.78,27.58,24.03,12.09,45.28,19.1,26.81,31.06,12.09,40.4
2020-12-30,10.3375,2336230000000000.0,51.51,17.04,18.86,9.9,39.19,17.03,25.78,23.59,11.67,33.6
2020-12-31,12.010000000000003,3539866000000000.0,51.69,18.69,19.79,8.5,41.31,18.3,26.6,22.46,11.18,37.26
2021-01-01,12.547916666666666,4566350000000000.0,49.71,22.6,17.58,12.37,38.21,15.87,25.51,23.67,10.88,34.68
