date,open_NO2,sate_NO2,"Sector 22, Chandigarh - CPCC","Sector-25, Chandigarh - CPCC","Sector-53, Chandigarh - CPCC"
2020-11-24,31.7025,9062442000000000.0,17.82,17.82,17.82
2020-11-25,24.1975,6387068000000000.0,15.92,15.92,15.92
2020-11-26,32.26208333333333,8351420000000000.0,20.37,20.37,20.37
2020-11-27,32.2175,7332330000000000.0,10.17,10.17,10.17
2020-11-28,28.31125,8476950000000000.0,13.99,13.99,13.99
2020-11-29,43.16916666666666,5685852000000000.0,7.93,7.93,7.93
2020-11-30,37.74333333333333,7343450000000000.0,8.35,8.35,8.35
2020-12-01,44.93291666666667,6945028000000000.0,9.75,9.75,9.75
2020-12-02,25.09124999999999,9504160000000000.0,6.43,6.43,6.43
2020-12-03,33.29916666666666,7381130000000000.0,32.95,32.95,32.95
2020-12-04,30.274583333333325,7824406000000000.0,37.33,37.33,37.33
2020-12-05,19.203333333333337,6473020000000000.0,39.19,39.19,39.19
2020-12-06,25.33166666666666,5479840000000000.0,39.18,39.18,39.18
2020-12-07,25.52791666666667,5340160000000000.0,20.97,20.97,20.97
2020-12-08,51.55124999999999,6319564000000000.0,24.31,24.31,24.31
2020-12-09,36.27166666666667,1.18e+16,30.72,30.72,30.72
2020-12-10,31.645416666666662,5320200000000000.0,33.36,33.36,33.36
2020-12-11,30.27083333333334,6168270000000000.0,30.98,30.98,30.98
2020-12-12,23.295,8238210000000000.0,28.53,28.53,28.53
2020-12-13,18.85083333333333,7656674000000000.0,18.8,18.8,18.8
2020-12-14,27.31125,5349868000000000.0,17.61,17.61,17.61
2020-12-15,28.367916666666677,6727740000000000.0,22.84,22.84,22.84
2020-12-16,21.18583333333333,6165090000000000.0,21.19,21.19,21.19
2020-12-17,20.93583333333333,8397940000000000.0,20.59,20.59,20.59
2020-12-18,23.370416666666667,6256440000000000.0,24.94,24.94,24.94
2020-12-19,17.186666666666664,7385110000000000.0,27.46,27.46,27.46
2020-12-20,19.292916666666663,7530184000000000.0,35.74,35.74,35.74
2020-12-21,44.46875,1.01e+16,42.78,42.78,42.78
2020-12-22,40.81999999999999,6302460000000000.0,39.64,39.64,39.64
2020-12-23,35.900833333333345,6620790000000000.0,35.7,35.7,35.7
2020-12-24,33.379999999999995,5818526000000000.0,27.44,27.44,27.44
2020-12-25,35.01416666666667,6512510000000000.0,41.96,41.96,41.96
2020-12-26,36.38583333333334,1.18e+16,37.24,37.24,37.24
2020-12-27,10.44875,7408600000000000.0,35.82,35.82,35.82
2020-12-28,37.67541666666667,7733180000000000.0,28.64,28.64,28.64
2020-12-29,26.455416666666668,7203952000000000.0,26.61,26.61,26.61
2020-12-30,43.81249999999999,5626680000000000.0,30.7,30.7,30.7
2020-12-31,37.72833333333334,6929732000000000.0,33.52,33.52,33.52
2021-01-01,36.66499999999999,5095070000000000.0,53.02,53.02,53.02
2021-01-02,35.55833333333333,6467302000000000.0,53.72,53.72,53.72
2021-01-03,15.462916666666665,4576880000000000.0,45.43,45.43,45.43
2021-01-04,16.851666666666667,4015600000000000.0,41.38,41.38,41.38
2021-01-05,7.007916666666666,7823838000000000.0,28.22,28.22,28.22
2021-01-06,25.105,9785600000000000.0,21.54,21.54,21.54
2021-01-07,26.44125,5980430000000000.0,13.05,13.05,13.05
2021-01-08,35.23041666666666,5869730000000000.0,19.44,19.44,19.44
2021-01-09,21.771666666666665,6903272000000000.0,13.51,13.51,13.51
2021-01-10,19.421250000000004,3070530000000000.0,6.75,6.75,6.75
2021-01-11,19.535833333333333,8771920000000000.0,7.12,7.12,7.12
2021-01-12,19.585833333333337,6042978000000000.0,10.66,10.66,10.66
2021-01-13,35.85791666666666,7288760000000000.0,16.15,16.15,16.15
2021-01-14,50.43041666666667,6305868000000000.0,24.17,24.17,24.17
2021-01-15,44.66958333333334,5769770000000000.0,26.69,26.69,26.69
2021-01-16,24.47,7119234000000000.0,9.98,9.98,9.98
2021-01-17,20.160416666666663,5242400000000000.0,18.78,18.78,18.78
2021-01-18,45.48916666666668,6292218000000000.0,22.69,22.69,22.69
2021-01-19,19.614999999999995,6938330000000000.0,19.59,19.59,19.59
2021-01-20,16.801250000000003,6749390000000000.0,17.27,17.27,17.27
2021-01-21,31.980833333333333,6315276000000000.0,19.88,19.88,19.88
2021-01-22,10.976666666666668,5493320000000000.0,30.72,30.72,30.72
2021-01-23,8.912916666666668,7979540000000000.0,24.25,24.25,24.25
2021-01-24,25.0975,6494676000000000.0,14.54,14.54,14.54
2021-01-25,23.72,6083522000000000.0,15.42,15.42,15.42
2021-01-26,19.5285,5366020000000000.0,15.37,15.37,15.37
2021-01-27,39.072500000000005,5493030000000000.0,19.88,19.88,19.88
2021-01-28,29.61791666666667,6461208000000000.0,18.34,18.34,18.34
2021-01-29,15.902916666666668,9806870000000000.0,14.68,14.68,14.68
2021-01-30,14.533749999999998,6763396000000000.0,16.28,16.28,16.28
2021-01-31,33.47375,6889090000000000.0,20.33,20.33,20.33
2021-02-01,31.84583333333332,5529648000000000.0,20.1,20.1,20.1
2021-02-02,48.53875,5407830000000000.0,24.94,24.94,24.94
2021-02-03,34.135416666666664,5677956000000000.0,25.35,25.35,25.35
2021-02-04,24.5475,7117250000000000.0,18.78,18.78,18.78
2021-02-05,34.525833333333345,5026180000000000.0,14.93,14.93,14.93
2021-02-06,15.73708333333333,8039300000000000.0,14.19,14.19,14.19
2021-02-07,17.801666666666666,6579070000000000.0,17.04,17.04,17.04
2021-02-08,22.45666666666666,6598228000000000.0,15.38,15.38,15.38
