date,open_NO2,sate_NO2,"Collectorate, Jodhpur - RSPCB"
2020-11-24,16.064999999999998,5821560000000000.0,22.62
2020-11-25,8.812500000000002,4060016000000000.0,40.77
2020-11-26,4.6025,4515700000000000.0,32.57
2020-11-27,7.033749999999999,4123926000000000.0,19.93
2020-11-28,14.59375,3894640000000000.0,32.72
2020-11-29,19.794166666666666,4622090000000000.0,27.99
2020-11-30,26.729166666666668,4183240000000000.0,12.07
2020-12-01,23.36,5534760000000000.0,17.02
2020-12-02,38.5025,4405728000000000.0,20.98
2020-12-03,50.19541666666669,4812410000000000.0,54.27
2020-12-04,23.295416666666668,4031118000000000.0,55.19
2020-12-05,18.269166666666667,3902900000000000.0,46.31
2020-12-06,24.87833333333333,4130248000000000.0,26.88
2020-12-07,43.82583333333333,4462310000000000.0,23.03
2020-12-08,30.097916666666663,3528490000000000.0,24.5
2020-12-09,17.34958333333333,4960304000000000.0,29.86
2020-12-10,34.36708333333333,5959200000000000.0,43.05
2020-12-11,9.059583333333332,4322716000000000.0,47.76
2020-12-12,8.989166666666664,3794360000000000.0,18.96
2020-12-13,6.065833333333333,4169726000000000.0,18.07
2020-12-14,11.314166666666663,4189060000000000.0,21.12
2020-12-15,6.7558333333333325,5358000000000000.0,20.06
2020-12-16,6.470416666666668,4360228000000000.0,19.5
2020-12-17,11.1675,3383720000000000.0,21.44
2020-12-18,20.68375,4576150000000000.0,29.42
2020-12-19,18.552083333333336,3978070000000000.0,29.91
2020-12-20,23.704166666666666,4899772000000000.0,37.41
2020-12-21,39.26333333333334,4863370000000000.0,44.35
2020-12-22,34.5175,4660558000000000.0,36.78
2020-12-23,20.624166666666667,6485970000000000.0,39.19
2020-12-24,14.316666666666665,6293000000000000.0,31.53
2020-12-25,17.003333333333334,4028926000000000.0,28.74
2020-12-26,22.610416666666666,5948500000000000.0,37.91
2020-12-27,8.64125,4220346000000000.0,24.44
2020-12-28,37.91208333333333,4451520000000000.0,34.15
2020-12-29,14.775416666666668,4469446000000000.0,28.37
2020-12-30,8.195833333333331,3300710000000000.0,21.6
2020-12-31,8.847083333333334,4924850000000000.0,21.87
2021-01-01,30.07708333333333,4127906000000000.0,25.18
2021-01-02,9.309583333333334,4585510000000000.0,21.2
2021-01-03,11.216249999999995,5011738000000000.0,19.21
2021-01-04,19.9125,4126390000000000.0,29.02
2021-01-05,8.600416666666666,4620686000000000.0,15.6
2021-01-06,10.539583333333333,3859130000000000.0,18.93
2021-01-07,8.48583333333333,4260296000000000.0,27.52
2021-01-08,6.726666666666667,4168960000000000.0,25.18
2021-01-09,5.120416666666668,3466300000000000.0,20.47
2021-01-10,4.838749999999999,4673742000000000.0,22.04
2021-01-11,11.995416666666667,3431600000000000.0,34.28
2021-01-12,21.633333333333336,4053346000000000.0,47.63
2021-01-13,30.489166666666677,4950200000000000.0,59.83
2021-01-14,21.112916666666663,4833980000000000.0,49.9
2021-01-15,27.215833333333325,6182040000000000.0,39.14
2021-01-16,9.864583333333334,4538090000000000.0,31.83
2021-01-17,19.090416666666663,4207980000000000.0,34.18
2021-01-18,8.3825,5815320000000000.0,22.56
2021-01-19,13.008333333333333,3926466000000000.0,37.95
2021-01-20,18.464583333333334,4149920000000000.0,32.85
2021-01-21,30.75416666666668,3964212000000000.0,39.39
2021-01-22,6.577500000000001,3200360000000000.0,34.54
2021-01-23,5.325416666666667,4464408000000000.0,15.47
2021-01-24,7.818333333333332,3344400000000000.0,21.69
2021-01-25,11.325416666666667,2966170000000000.0,24.62
2021-01-26,9.8345,4012698000000000.0,24.44
2021-01-27,17.18,3700960000000000.0,26.7
2021-01-28,15.244583333333331,3632998000000000.0,33.4
2021-01-29,21.66583333333333,3489040000000000.0,42.95
2021-01-30,35.44083333333334,4304358000000000.0,39.56
2021-01-31,25.595416666666665,4822980000000000.0,33.92
2021-02-01,49.297083333333326,4892150000000000.0,37.17
2021-02-02,17.243750000000002,4041840000000000.0,29.11
2021-02-03,26.37833333333333,4051550000000000.0,30.56
2021-02-04,7.874166666666666,4501554000000000.0,18.76
2021-02-05,14.072916666666664,4040580000000000.0,20.51
2021-02-06,16.705000000000002,3821280000000000.0,15.12
2021-02-07,21.12708333333333,4648680000000000.0,11.53
2021-02-08,35.0975,4616836000000000.0,10.41
2021-02-09,19.77166666666666,4251920000000000.0,28.36
2021-02-10,52.505,3173490000000000.0,32.02
2021-02-11,26.469583333333333,4675632000000000.0,24.12
2021-02-12,32.855833333333344,5197020000000000.0,30.6
2021-02-13,16.104583333333334,4507678000000000.0,27.46
2021-02-14,36.96458333333334,3216440000000000.0,30.72
2021-02-15,15.569166666666666,3672966000000000.0,38.95
2021-02-16,22.761666666666667,4980750000000000.0,30.63
2021-02-17,18.20875,5024080000000000.0,38.43
2021-02-18,13.659166666666666,3822622000000000.0,32.55
2021-02-19,10.281666666666666,4454420000000000.0,34.69
2021-02-20,13.84375,4076566000000000.0,40.04
2021-02-21,22.050833333333333,4365560000000000.0,40.2
2021-02-22,21.418333333333333,4289720000000000.0,45.83
2021-02-23,11.090416666666664,3955220000000000.0,34.61
2021-02-24,10.683749999999998,4544358000000000.0,32.71
2021-02-25,12.130833333333332,4241920000000000.0,24.26
2021-02-26,7.537916666666668,3287150000000000.0,20.86
2021-02-27,4.258333333333332,3627846000000000.0,17.7
2021-02-28,12.715416666666668,3878650000000000.0,30.1
2021-03-01,17.620833333333334,3961062000000000.0,39.06
2021-03-02,23.973749999999995,3738520000000000.0,35.29
2021-03-03,16.949583333333333,3904156000000000.0,47.1
2021-03-04,13.630416666666669,3998460000000000.0,26.14
2021-03-05,11.092916666666662,4059990000000000.0,32.02
2021-03-06,3.2425,3653434000000000.0,29.49
2021-03-07,2.033333333333333,2506560000000000.0,13.72
2021-03-08,10.787916666666668,3613538000000000.0,32.35
2021-03-09,17.81875,4657890000000000.0,36.57
2021-03-10,20.256666666666664,4511040000000000.0,51.21
2021-03-11,8.693333333333333,3798980000000000.0,24.89
2021-03-12,5.0275,4628672000000000.0,13.74
2021-03-13,10.110833333333336,3353990000000000.0,14.58
2021-03-14,10.84,4201960000000000.0,22.66
2021-03-15,17.264166666666664,3938564000000000.0,43.12
2021-03-16,14.132083333333336,4289900000000000.0,54.71
2021-03-17,15.248333333333337,3886518000000000.0,51.04
2021-03-18,17.548750000000002,4122500000000000.0,29.83
2021-03-19,8.858749999999999,5068728000000000.0,28.43
2021-03-20,17.102083333333336,4664080000000000.0,31.58
2021-03-21,7.527083333333333,3883150000000000.0,38.25
2021-03-22,9.2275,4714490000000000.0,30.37
2021-03-23,8.949166666666665,4859190000000000.0,21.01
2021-03-24,6.802916666666667,4157710000000000.0,29.96
2021-03-25,24.97083333333333,5307220000000000.0,37.62
2021-03-26,10.960833333333332,4206680000000000.0,51.21
2021-03-27,7.365000000000001,4181230000000000.0,38.42
2021-03-28,2.6945833333333327,4577370000000000.0,25.33
2021-03-29,2.2941666666666665,3970360000000000.0,16.45
2021-03-30,2.555416666666667,3397780000000000.0,10.8
2021-03-31,8.359166666666667,4016480000000000.0,7.94
2021-04-01,7.257083333333333,4790020000000000.0,28.95
2021-04-02,13.542083333333336,4244540000000000.0,48.68
2021-04-03,18.427083333333336,4137290000000000.0,57.66
2021-04-04,5.603333333333334,4105960000000000.0,56.63
2021-04-05,2.388333333333333,4415150000000000.0,30.47
2021-04-06,3.0258333333333334,3692580000000000.0,18.47
2021-04-07,5.225416666666666,4142850000000000.0,23.87
2021-04-08,5.896250000000001,4835030000000000.0,21.52
2021-04-09,5.205416666666667,4239200000000000.0,33.29
2021-04-10,5.142916666666666,4199970000000000.0,37.38
2021-04-11,10.479166666666666,4189950000000000.0,39.17
2021-04-12,20.09166666666667,4590210000000000.0,57.95
2021-04-13,6.729583333333333,4229174000000000.0,38.78
2021-04-14,3.3070833333333334,4995080000000000.0,14.7
2021-04-15,4.102916666666666,4590330000000000.0,14.79
2021-04-16,10.023749999999998,4735700000000000.0,14.15
2021-04-17,17.352083333333333,4186310000000000.0,10.02
2021-04-18,8.112916666666669,4354670000000000.0,23.64
2021-04-19,8.817500000000003,3715096000000000.0,31.44
2021-04-20,7.274166666666666,4296236000000000.0,18.28
2021-04-21,9.542916666666668,4813840000000000.0,14.25
2021-04-22,3.605,4543070000000000.0,27.8
2021-04-23,3.25,4739230000000000.0,17.14
2021-04-24,3.877916666666665,4488650000000000.0,19.09
2021-04-25,10.7425,4210780000000000.0,32.44
2021-04-26,15.707916666666668,5125630000000000.0,54.25
2021-04-27,5.901249999999998,4526578000000000.0,40.68
2021-04-28,6.913333333333333,4655210000000000.0,12.34
2021-04-29,9.877083333333331,4630204000000000.0,16.39
2021-04-30,12.817083333333336,5313800000000000.0,16.46
2021-05-01,2.0379166666666664,3590500000000000.0,13.95
2021-05-02,2.56875,4474250000000000.0,9.62
2021-05-03,3.2066666666666666,4064820000000000.0,13.69
2021-05-04,2.605833333333334,4309908000000000.0,14.57
2021-05-05,7.795000000000001,4559710000000000.0,15.62
2021-05-06,3.0966666666666662,3987582000000000.0,21.42
2021-05-07,4.09,5689200000000000.0,18.43
2021-05-08,5.97,4920970000000000.0,23.25
2021-05-09,5.4816666666666665,5501070000000000.0,23.2
2021-05-10,2.9354166666666663,4854700000000000.0,13.23
2021-05-11,3.5708333333333333,4495890000000000.0,8.89
2021-05-12,2.3291666666666666,4223280000000000.0,15.69
2021-05-13,4.170000000000001,3953462000000000.0,21.65
2021-05-14,8.334583333333333,5766290000000000.0,22.41
2021-05-15,2.828333333333333,4143494000000000.0,14.66
2021-05-16,2.995416666666666,3903852000000000.0,17.21
2021-05-17,2.9333333333333336,4719924000000000.0,16.76
2021-05-18,2.79,3910560000000000.0,10.87
2021-05-19,6.493333333333333,4349286000000000.0,7.79
2021-05-20,2.3566666666666665,3789320000000000.0,25.28
2021-05-21,2.0079166666666666,5318230000000000.0,13.79
2021-05-22,4.035416666666666,3860628000000000.0,13.73
2021-05-23,16.524166666666662,5716090000000000.0,16.09
2021-05-24,5.555833333333333,5398940000000000.0,26.38
2021-05-25,2.85875,5675700000000000.0,26.45
2021-05-26,4.21125,4740310000000000.0,13.03
2021-05-27,2.9112500000000003,7182970000000000.0,15.9
2021-05-28,2.335833333333333,4001090000000000.0,15.05
2021-05-29,1.7020833333333334,4071158000000000.0,14.93
2021-05-30,1.4341666666666668,5649710000000000.0,13.15
2021-05-31,1.7112500000000006,4413534000000000.0,13.62
2021-06-01,3.157083333333333,4830960000000000.0,13.11
2021-06-02,1.9408333333333327,5258940000000000.0,18.73
2021-06-03,10.775,5744020000000000.0,17.85
2021-06-04,2.889166666666666,5866640000000000.0,17.76
2021-06-05,3.240833333333333,4297398000000000.0,15.55
2021-06-06,2.1754166666666666,5590480000000000.0,15.4
2021-06-07,1.62875,4161708000000000.0,14.43
2021-06-08,1.2754166666666669,4235500000000000.0,13.16
2021-06-09,1.3558333333333332,3763420000000000.0,12.22
2021-06-10,1.132083333333333,4481820000000000.0,19.36
2021-06-11,1.18125,3759960000000000.0,15.68
2021-06-12,0.9541666666666668,3876310000000000.0,15.66
2021-06-13,1.441666666666667,3800670000000000.0,13.38
2021-06-14,1.9004166666666669,4183666000000000.0,13.79
2021-06-15,1.0883333333333334,5348920000000000.0,13.32
2021-06-16,1.9533333333333327,4164098000000000.0,15.77
2021-06-17,3.5450000000000004,5627250000000000.0,20.52
2021-06-18,2.768333333333334,4235558000000000.0,17.04
2021-06-19,2.075416666666667,5287880000000000.0,16.64
2021-06-20,1.7608333333333333,3447100000000000.0,13.38
2021-06-21,1.8683333333333332,4611462000000000.0,13.22
2021-06-22,1.8220833333333333,4439940000000000.0,15.71
2021-06-23,1.6083333333333336,3999778000000000.0,19.68
2021-06-24,1.5183333333333329,5367410000000000.0,14.52
2021-06-25,1.553333333333333,4037290000000000.0,29.03
2021-06-26,1.785,5173430000000000.0,23.04
2021-06-27,4.935416666666667,6302450000000000.0,21.14
2021-06-28,2.5449999999999995,4264950000000000.0,20.35
2021-06-29,1.4845833333333331,3774590000000000.0,16.86
2021-06-30,0.9658333333333332,3558142000000000.0,14.02
2021-07-01,1.0470833333333334,4858700000000000.0,14.3
2021-07-02,1.0066666666666666,4548474000000000.0,12.5
2021-07-03,1.2970833333333334,3973740000000000.0,14.1
2021-07-04,1.5304166666666663,4545270000000000.0,12.44
2021-07-05,1.7908333333333333,4547300000000000.0,13.5
2021-07-06,1.8795833333333332,4779250000000000.0,13.36
2021-07-07,1.3141666666666667,4221746000000000.0,15.3
2021-07-08,1.535,5315360000000000.0,15.75
2021-07-09,1.8983333333333337,4316860000000000.0,17.0
2021-07-10,3.636666666666667,4844480000000000.0,14.36
2021-07-11,3.32875,3553710000000000.0,17.38
2021-07-12,5.132083333333333,5906990000000000.0,23.93
2021-07-13,4.342083333333334,5871900000000000.0,22.3
2021-07-14,6.853333333333332,4504450000000000.0,21.72
2021-07-15,9.86375,4405230000000000.0,32.25
2021-07-16,2.418333333333333,3931212000000000.0,28.56
2021-07-17,1.5379166666666668,4340500000000000.0,14.07
2021-07-18,1.1825,4338254000000000.0,16.5
2021-07-19,1.2095833333333337,4406496000000000.0,9.64
2021-07-20,1.1900000000000002,3986058000000000.0,8.29
2021-07-21,1.8516666666666668,4349448000000000.0,20.87
2021-07-22,2.6387500000000004,4788490000000000.0,8.77
2021-07-23,2.9320833333333334,4717632000000000.0,8.28
2021-07-24,2.677916666666667,4474200000000000.0,18.08
2021-07-25,1.9904166666666667,4169662000000000.0,8.09
2021-07-26,1.5875,3669660000000000.0,9.16
2021-07-27,1.3729166666666668,4932878000000000.0,14.75
2021-07-28,1.5216666666666667,3744502000000000.0,24.67
2021-07-29,1.7058333333333326,4091528000000000.0,18.29
2021-07-30,1.8500000000000003,4074134000000000.0,10.21
2021-07-31,1.4958333333333331,3788784000000000.0,12.7
2021-08-01,1.879583333333333,4212482000000000.0,12.02
2021-08-02,1.916666666666667,3878580000000000.0,12.38
2021-08-03,1.9054166666666668,4497604000000000.0,13.19
2021-08-04,2.1945833333333336,3550790000000000.0,13.36
2021-08-05,2.115833333333333,4603180000000000.0,13.04
2021-08-06,2.00375,3439620000000000.0,14.45
2021-08-07,1.94875,4473350000000000.0,15.34
2021-08-08,1.9308333333333332,4810716000000000.0,15.13
2021-08-09,1.80625,3956010000000000.0,15.31
2021-08-10,1.4525,3877168000000000.0,14.96
2021-08-11,1.590833333333333,4571500000000000.0,18.38
2021-08-12,1.637083333333333,2748300000000000.0,22.59
2021-08-13,1.4741666666666668,4450710000000000.0,24.93
2021-08-14,1.1425,3471220000000000.0,22.49
2021-08-15,1.5004166666666665,4433260000000000.0,22.5
2021-08-16,2.87125,4057860000000000.0,25.45
2021-08-17,3.442083333333334,4237978000000000.0,24.81
2021-08-18,2.272083333333333,4901550000000000.0,23.14
2021-08-19,2.2841666666666667,4204008000000000.0,21.25
2021-08-20,2.3879166666666665,4674400000000000.0,28.65
2021-08-21,2.85875,4158728000000000.0,21.68
2021-08-22,2.6254166666666667,3935846000000000.0,43.24
2021-08-23,1.8325,4504630000000000.0,32.32
2021-08-24,1.46875,4256624000000000.0,26.95
2021-08-25,1.24625,5147340000000000.0,25.95
2021-08-26,1.455416666666667,3648140000000000.0,28.73
2021-08-27,2.324166666666667,4087760000000000.0,23.0
2021-08-28,3.430416666666668,3236930000000000.0,23.95
2021-08-29,8.126666666666665,4347200000000000.0,29.27
2021-08-30,8.290833333333333,3977090000000000.0,29.26
2021-08-31,4.226250000000001,3690440000000000.0,24.82
2021-09-01,5.095833333333332,3451228000000000.0,25.63
2021-09-02,8.39875,3851058000000000.0,15.96
2021-09-03,16.455416666666665,4575350000000000.0,17.47
2021-09-04,4.208333333333334,4893774000000000.0,12.71
2021-09-05,2.525416666666666,3475340000000000.0,12.62
2021-09-06,6.334583333333332,4721910000000000.0,14.93
2021-09-07,4.649166666666667,4836730000000000.0,11.69
2021-09-08,3.2029166666666664,4557720000000000.0,15.77
2021-09-09,5.403333333333333,4604134000000000.0,18.37
2021-09-10,6.792916666666666,4961490000000000.0,15.43
2021-09-11,8.037916666666666,4347084000000000.0,11.98
2021-09-12,5.4925,4466220000000000.0,9.25
2021-09-13,5.8304166666666655,4737610000000000.0,18.63
2021-09-14,4.321666666666666,4766720000000000.0,19.27
2021-09-15,4.409166666666667,4690990000000000.0,18.96
2021-09-16,22.97833333333334,4781840000000000.0,15.51
2021-09-17,8.68125,2974990000000000.0,16.19
2021-09-18,5.472499999999999,3650694000000000.0,15.98
2021-09-19,4.191666666666666,3704790000000000.0,16.32
2021-09-20,4.927499999999999,4315196000000000.0,17.29
2021-09-21,8.660833333333334,4316198000000000.0,16.94
2021-09-22,8.100833333333334,5736940000000000.0,15.18
2021-09-23,15.936250000000005,3935330000000000.0,16.18
2021-09-24,16.086250000000003,5222910000000000.0,14.21
2021-09-25,4.7025,4129606000000000.0,12.48
2021-09-26,6.485833333333333,3817310000000000.0,12.19
2021-09-27,7.126249999999999,4663614000000000.0,19.42
2021-09-28,3.8304166666666655,4575000000000000.0,20.77
2021-09-29,3.501666666666668,4404030000000000.0,21.92
2021-09-30,9.952083333333334,4277898000000000.0,19.36
2021-10-01,8.383750000000001,3786060000000000.0,22.8
2021-10-02,3.1916666666666664,4588658000000000.0,19.63
2021-10-03,2.2383333333333337,3370980000000000.0,21.21
2021-10-04,3.509583333333333,4071476000000000.0,17.12
2021-10-05,5.569999999999999,4002710000000000.0,22.5
2021-10-06,10.259583333333332,4374266000000000.0,22.0
2021-10-07,9.144583333333337,5687230000000000.0,26.36
2021-10-08,6.98,4561530000000000.0,24.76
2021-10-09,3.1433333333333326,4595668000000000.0,29.54
2021-10-10,2.9320833333333334,3963750000000000.0,27.78
2021-10-11,4.479166666666667,4383184000000000.0,27.5
2021-10-12,9.23,4492500000000000.0,31.08
2021-10-13,15.338333333333331,4187322000000000.0,34.95
2021-10-14,28.42375,4390080000000000.0,38.18
2021-10-15,38.31166666666668,3690090000000000.0,44.12
2021-10-16,17.9975,3801232000000000.0,52.99
2021-10-17,7.216666666666666,4193370000000000.0,44.46
2021-10-18,9.2125,3672342000000000.0,33.22
2021-10-19,17.258750000000003,3116680000000000.0,29.51
2021-10-20,4.47875,3644208000000000.0,39.67
2021-10-21,3.1329166666666666,4470170000000000.0,29.37
2021-10-22,2.08375,4254356000000000.0,29.81
2021-10-23,1.8600000000000003,3506580000000000.0,36.43
2021-10-24,12.651250000000005,4755370000000000.0,33.67
2021-10-25,6.242500000000001,3445856000000000.0,35.99
2021-10-26,11.905416666666667,4836310000000000.0,35.57
2021-10-27,17.90125,3857902000000000.0,37.97
2021-10-28,24.772916666666664,5454040000000000.0,35.37
2021-10-29,13.00916666666667,4627408000000000.0,38.89
2021-10-30,21.477916666666665,4154640000000000.0,72.4
2021-10-31,11.794166666666667,3930480000000000.0,71.52
2021-11-01,19.464166666666664,3544246000000000.0,80.77
2021-11-02,33.259166666666665,4824910000000000.0,86.72
2021-11-03,12.653749999999995,3705940000000000.0,61.13
2021-11-04,26.68583333333333,5750880000000000.0,75.65
2021-11-05,23.414583333333336,4090876000000000.0,74.7
2021-11-06,26.08,4211230000000000.0,92.41
2021-11-07,22.6168,4743532000000000.0,83.8
2021-11-08,32.42333333333333,4120120000000000.0,80.62
2021-11-09,32.08541666666667,3876250000000000.0,85.61
2021-11-10,42.94666666666666,3613268000000000.0,86.12
2021-11-11,30.05041666666666,4593030000000000.0,77.68
2021-11-12,20.785833333333333,4598238000000000.0,64.79
2021-11-13,16.153333333333336,4806680000000000.0,84.67
2021-11-14,22.5275,4277430000000000.0,104.26
2021-11-15,18.45083333333333,4111300000000000.0,100.97
2021-11-16,11.10625,4267190000000000.0,77.01
2021-11-17,7.462499999999999,3982918000000000.0,62.84
