date,open_NO2,sate_NO2,"FTI Kidwai Nagar, Kanpur - UPPCB","Nehru Nagar, Kanpur - UPPCB","NSI Kalyanpur, Kanpur - UPPCB"
2020-11-24,23.0075,4896612000000000.0,84.41,84.41,84.41
2020-11-25,35.594166666666666,4628000000000000.0,94.98,94.98,94.98
2020-11-26,24.6625,6979340000000000.0,46.49,46.49,46.49
2020-11-27,44.21791666666666,5048910000000000.0,19.86,19.86,19.86
2020-11-28,32.17791666666667,5758310000000000.0,20.27,20.27,20.27
2020-11-29,39.2675,5145594000000000.0,23.78,23.78,23.78
2020-11-30,53.86791666666665,4822730000000000.0,15.71,15.71,15.71
2020-12-01,50.05291666666667,4434030000000000.0,24.98,24.98,24.98
2020-12-02,49.44541666666666,5206180000000000.0,29.94,29.94,29.94
2020-12-03,47.665,4586450000000000.0,39.22,39.22,39.22
2020-12-04,44.622083333333336,5724750000000000.0,115.1,115.1,115.1
2020-12-05,32.33833333333334,7375940000000000.0,137.98,137.98,137.98
2020-12-06,50.12583333333334,5347168000000000.0,126.16,126.16,126.16
2020-12-07,54.640833333333326,4905650000000000.0,115.6,115.6,115.6
2020-12-08,58.52125000000001,5164078000000000.0,86.75,86.75,86.75
2020-12-09,51.47708333333333,3830450000000000.0,101.79,101.79,101.79
2020-12-10,46.56833333333333,4608064000000000.0,116.02,116.02,116.02
2020-12-11,27.162083333333328,4543872000000000.0,120.83,120.83,120.83
2020-12-12,20.131666666666664,7943560000000000.0,95.67,95.67,95.67
2020-12-13,27.56500000000001,5156946000000000.0,65.53,65.53,65.53
2020-12-14,39.43458333333333,3901190000000000.0,64.02,64.02,64.02
2020-12-15,48.93833333333334,5155278000000000.0,62.96,62.96,62.96
2020-12-16,17.965833333333332,4116758000000000.0,62.11,62.11,62.11
2020-12-17,14.645416666666668,4627198000000000.0,54.88,54.88,54.88
2020-12-18,18.76833333333333,4340870000000000.0,76.62,76.62,76.62
2020-12-19,20.504166666666677,5167010000000000.0,101.29,101.29,101.29
