date,open_NO2,sate_NO2,"Ballygunge, Kolkata - WBPCB","Bidhannagar, Kolkata - WBPCB","Fort William, Kolkata - WBPCB","Jadavpur, Kolkata - WBPCB","Rabindra Bharati University, Kolkata - WBPCB","Victoria, Kolkata - WBPCB"
2020-11-24,57.58,6644774000000000.0,32.49,34.39,51.44,42.65,90.92,54.42
2020-11-25,71.07208333333332,4693490000000000.0,72.88,53.3,108.16,70.1,108.16,111.34
2020-11-26,74.42916666666667,6245364000000000.0,21.32,27.8,44.86,22.27,52.58,54.61
2020-11-27,54.43583333333334,7752540000000000.0,3.24,7.04,8.01,8.29,16.08,7.47
2020-11-28,49.25208333333333,6135486000000000.0,7.87,6.44,19.38,10.51,19.38,19.38
2020-11-29,82.25458333333333,6430660000000000.0,6.5,5.34,11.93,14.45,10.35,22.71
2020-11-30,100.94791666666664,8732790000000000.0,5.32,5.95,12.97,8.68,12.97,8.99
2020-12-01,96.1925,8686696000000000.0,7.35,4.98,20.99,10.89,15.19,12.22
2020-12-02,120.89708333333336,1.66e+16,6.25,8.99,12.8,8.43,13.2,10.99
2020-12-03,148.25875,5288262000000000.0,26.19,2.28,10.81,28.51,17.72,38.59
2020-12-04,117.5270833333333,1.15e+16,35.17,20.23,56.37,44.91,16.91,54.34
2020-12-05,90.8945833333333,6550402000000000.0,65.62,24.57,78.32,60.99,15.19,49.07
2020-12-06,82.36916666666666,6756530000000000.0,59.47,25.34,70.27,67.1,15.25,50.3
2020-12-07,89.23750000000001,6590412000000000.0,60.68,24.68,67.96,48.63,15.98,44.27
2020-12-08,85.62499999999999,7903500000000000.0,42.37,20.56,51.17,44.45,16.77,33.83
2020-12-09,78.57083333333334,1.21e+16,47.95,14.32,58.41,43.85,20.35,37.36
2020-12-10,97.12083333333337,7957844000000000.0,57.59,27.5,70.22,51.6,22.85,46.37
2020-12-11,92.60791666666668,6331856000000000.0,71.25,25.54,85.39,63.5,24.82,55.43
2020-12-12,79.45541666666668,5769676000000000.0,40.42,17.37,61.83,46.03,19.86,37.82
2020-12-13,66.57416666666666,6778950000000000.0,51.7,15.97,70.08,38.19,23.92,49.43
2020-12-14,67.11666666666666,5844352000000000.0,53.17,15.25,68.25,40.66,21.08,52.52
