date,open_NO2,sate_NO2,"Central School, Lucknow - CPCB","Gomti Nagar, Lucknow - UPPCB","Kukrail Picnic Spot-1, Lucknow - UPPCB","Lalbagh, Lucknow - CPCB","Nishant Ganj, Lucknow - UPPCB"
2020-11-24,34.9575,5057240000000000.0,187.84,49.94,187.84,57.56,187.84
2020-11-25,29.091666666666654,4606016000000000.0,35.64,56.94,35.64,54.83,35.64
2020-11-26,30.68541666666667,6569530000000000.0,34.52,19.31,34.52,53.14,34.52
2020-11-27,35.07958333333333,5582978000000000.0,11.33,13.83,11.33,16.8,11.33
2020-11-28,29.29791666666667,6701090000000000.0,13.69,14.25,13.69,11.71,13.69
2020-11-29,28.762499999999992,4884912000000000.0,3.76,10.1,3.76,25.2,3.76
2020-11-30,45.564166666666665,5456200000000000.0,32.47,6.77,32.47,6.81,32.47
2020-12-01,41.69083333333333,4750230000000000.0,26.87,9.02,26.87,18.23,26.87
2020-12-02,44.35916666666666,5361850000000000.0,21.34,10.81,21.34,33.07,21.34
2020-12-03,53.66916666666666,5307498000000000.0,30.53,24.74,30.53,32.39,30.53
2020-12-04,48.52041666666667,5360530000000000.0,67.94,44.75,67.94,50.83,67.94
2020-12-05,39.75541666666666,9306290000000000.0,151.04,84.19,151.04,71.18,151.04
2020-12-06,43.36208333333333,5277592000000000.0,133.98,55.18,133.98,94.18,133.98
2020-12-07,46.92500000000001,5922720000000000.0,135.46,43.36,135.46,109.34,135.46
2020-12-08,48.31791666666667,5232294000000000.0,83.18,68.82,83.18,85.56,83.18
2020-12-09,45.897083333333335,3874794000000000.0,89.23,56.49,89.23,88.76,89.23
2020-12-10,45.10333333333333,5298616000000000.0,86.63,64.63,86.63,91.08,86.63
2020-12-11,23.35333333333333,4118054000000000.0,106.72,45.32,106.72,104.21,106.72
2020-12-12,19.12333333333333,8750880000000000.0,51.24,50.01,51.24,58.03,51.24
2020-12-13,16.980416666666667,4888928000000000.0,34.67,37.04,34.67,41.97,34.67
2020-12-14,34.30166666666668,5291580000000000.0,57.95,39.25,57.95,46.97,57.95
2020-12-15,41.88125,5016140000000000.0,105.04,31.09,105.04,67.81,105.04
2020-12-16,19.706666666666667,4781842000000000.0,90.63,48.96,90.63,69.88,90.63
2020-12-17,15.945,4562430000000000.0,64.52,41.81,64.52,81.77,64.52
2020-12-18,22.884999999999994,5057810000000000.0,91.64,39.64,91.64,91.46,91.64
2020-12-19,33.66833333333333,4803960000000000.0,116.7,45.27,116.7,90.75,116.7
2020-12-20,36.08375,5859160000000000.0,124.7,45.32,124.7,87.75,124.7
2020-12-21,41.44458333333333,6302380000000000.0,111.4,70.39,111.4,93.1,111.4
2020-12-22,34.05166666666667,5008856000000000.0,94.87,66.65,94.87,93.4,94.87
