date,open_SO2,sate_SO2,"Bandra Kurla Complex, Mumbai - IITM","Bandra, Mumbai - MPCB","Borivali East, Mumbai - IITM","Borivali East, Mumbai - MPCB","Chakala-Andheri East, Mumbai - IITM",Chhatrapati Shivaji Intl,"Colaba, Mumbai - MPCB","Deonar, Mumbai - IITM","Kandivali East, Mumbai - MPCB","Khindipada-Bhandup West, Mumbai - IITM","Kurla, Mumbai - MPCB","Malad West, Mumbai - IITM","Mazgaon, Mumbai - IITM","Mulund West, Mumbai - MPCB","Navy Nagar-Colaba, Mumbai - IITM","Powai, Mumbai - MPCB","Siddharth Nagar-Worli, Mumbai - IITM","Sion, Mumbai - MPCB","Vasai West, Mumbai - MPCB","Vile Parle West, Mumbai - MPCB"
2020-11-24,49.3525,-0.180000007,5.4,33.24,4.48,4.48,9.98,9.98,11.12,5.4,4.48,5.08,5.4,4.48,11.12,5.08,11.12,5.08,16.21,16.21,3.18,7.38
2020-11-25,53.40583333333334,0.1647185595999999,5.56,6.96,2.68,2.68,9.16,9.16,21.44,5.56,2.68,7.71,5.56,2.68,21.44,7.71,21.44,7.71,11.17,11.17,3.21,7.45
2020-11-26,42.02708333333333,-0.0919794276,41.62,14.44,3.01,3.01,1.43,1.43,15.47,41.62,3.01,2.2,41.62,3.01,15.47,2.2,15.47,2.2,4.49,4.49,3.64,12.52
2020-11-27,23.44416666666667,0.2214858948,6.0,24.81,3.02,3.02,1.83,1.83,5.34,6.0,3.02,3.02,6.0,13.39,5.34,3.02,5.34,3.02,5.34,5.34,3.3,13.39
2020-11-28,18.120833333333334,0.004558277,106.32,76.05,52.72,52.72,0.08,0.08,29.28,106.32,52.72,52.72,106.32,10.88,29.28,52.72,29.28,52.72,14.36,14.36,10.88,10.88
2020-11-29,35.30125,0.039771445,32.58,0.08,38.19,38.19,46.01,46.01,4.95,32.58,38.19,3.33,32.58,38.19,4.95,3.33,4.95,3.33,4.95,4.95,6.99,14.5
2020-11-30,51.7875,-0.0529550542,13.36,0.04,14.0,14.0,13.36,13.36,5.62,47.01,14.0,41.16,13.36,14.0,5.62,41.16,5.62,41.16,47.01,47.01,5.93,10.33
2020-12-01,43.60041666666667,0.069522455,21.58,15.3,11.87,11.87,14.18,14.18,5.5,21.58,11.87,5.84,21.58,11.87,5.5,5.84,5.5,5.84,46.98,46.98,11.87,7.34
2020-12-02,40.92333333333334,0.077057898,21.4,16.06,7.82,7.82,11.78,11.78,5.44,21.4,7.82,2.85,21.4,7.82,5.44,2.85,5.44,2.85,7.46,7.46,7.82,19.35
2020-12-03,56.06958333333335,0.330373317,15.72,17.2,9.41,9.41,15.24,15.24,4.59,15.72,9.41,2.64,15.72,9.41,4.59,2.64,4.59,2.64,8.88,8.88,9.41,4.32
2020-12-04,49.66666666666668,0.1026443766,8.32,15.76,8.54,8.54,19.67,19.67,27.28,8.18,8.54,3.94,8.18,8.54,3.63,3.94,27.28,3.94,3.63,6.82,8.54,5.49
2020-12-05,35.36000000000001,0.1569824762,7.27,15.47,8.95,8.95,15.34,15.34,19.5,7.9,8.95,4.07,9.3,3.27,9.03,4.07,3.85,4.07,9.03,10.48,8.95,12.33
2020-12-06,32.24583333333333,-0.082498103,2.67,15.91,9.29,9.29,17.51,17.51,22.4,23.65,9.29,4.68,12.51,6.92,9.66,4.68,4.26,4.68,9.66,13.9,9.29,13.41
2020-12-07,33.72708333333333,-0.10477525,2.96,15.49,9.07,9.07,16.42,16.42,23.84,7.23,9.07,4.08,12.59,3.01,10.57,4.08,4.03,4.08,10.57,10.98,9.07,10.84
2020-12-08,40.82875,0.28738001,8.4,15.0,8.79,8.79,11.18,11.18,36.3,16.15,8.79,5.58,12.48,7.15,15.97,5.58,23.62,5.58,15.97,9.1,16.76,1.97
2020-12-09,62.84375000000001,0.1335384608,6.13,14.07,8.46,8.46,12.56,12.56,42.29,28.04,8.46,6.19,10.81,6.7,14.99,6.19,13.42,6.19,14.99,5.99,17.82,2.53
2020-12-10,70.225,0.116559044,5.94,14.7,5.83,5.83,18.84,18.84,14.37,19.52,5.83,7.21,4.89,5.83,7.11,7.21,2.33,7.21,7.11,7.92,17.94,3.93
2020-12-11,54.91749999999999,0.2184531394,2.74,5.96,8.6,8.6,19.04,19.04,19.03,5.44,8.6,7.05,45.63,6.24,8.7,7.05,3.31,7.05,8.7,5.96,17.99,3.8
2020-12-12,27.49333333333333,0.1119161888,9.96,16.96,4.15,4.15,7.76,10.03,15.87,11.44,4.15,5.76,14.26,2.99,2.97,5.76,1.55,5.76,2.97,7.09,17.27,9.74
2020-12-13,33.95541666666667,0.2082491294,8.85,16.92,3.9,3.9,9.01,10.17,9.61,7.12,3.9,5.59,14.35,3.36,6.67,5.59,3.71,5.59,6.67,6.03,17.22,9.81
2020-12-14,47.03791666666667,0.0580525717999999,20.48,16.13,3.82,3.82,26.85,7.32,9.34,5.29,3.82,5.72,16.09,2.99,7.83,5.72,1.96,5.72,7.83,4.88,17.43,10.22
