date,open_NO2,sate_NO2,"JN Stadium, Shillong - Meghalaya PCB","Lumpyngngad, Shillong - Meghalaya PCB"
2020-11-24,8.8925,3100130000000000.0,34.39,34.39
2020-11-25,14.75458333333333,3591780000000000.0,53.3,53.3
2020-11-26,15.230000000000002,3190412000000000.0,1.36,1.36
2020-11-27,15.845,4022578000000000.0,0.12,0.12
2020-11-28,10.135833333333332,3989480000000000.0,0.47,0.47
2020-11-29,11.191249999999998,2517280000000000.0,0.32,0.32
2020-11-30,13.929166666666667,3105726000000000.0,0.08,0.08
2020-12-01,14.881666666666668,2636210000000000.0,0.29,0.29
2020-12-02,19.407083333333333,2889674180000000.0,0.12,0.12
2020-12-03,20.56583333333333,2980410000000000.0,2.62,2.62
2020-12-04,24.3,3887000000000000.0,7.68,7.68
2020-12-05,13.496250000000002,3528832000000000.0,13.19,13.19
2020-12-06,9.980416666666663,2997550000000000.0,10.8,10.8
2020-12-07,10.539999999999996,3251604000000000.0,8.89,8.89
2020-12-08,14.610416666666667,3248290000000000.0,11.21,11.21
2020-12-09,13.444583333333336,4067520000000000.0,10.32,10.32
2020-12-10,27.03583333333333,3011190000000000.0,11.8,11.8
2020-12-11,21.417916666666677,5002830000000000.0,13.34,13.34
2020-12-12,11.27625,3128660000000000.0,7.92,7.92
2020-12-13,11.54625,4302780000000000.0,11.47,11.47
2020-12-14,20.767916666666665,3708304000000000.0,13.58,13.58
2020-12-15,18.26,4740150000000000.0,10.81,10.81
2020-12-16,11.896666666666665,2727540180000000.0,14.33,14.33
2020-12-17,5.700833333333333,3248170000000000.0,14.83,14.83
2020-12-18,19.18583333333334,3026886000000000.0,17.33,17.33
2020-12-19,11.280833333333335,3727600000000000.0,16.94,16.94
2020-12-20,8.2975,3077840000000000.0,14.92,14.92
2020-12-21,12.963750000000005,3128432000000000.0,15.9,15.9
2020-12-22,16.180416666666666,2678090000000000.0,17.6,17.6
2020-12-23,15.069583333333334,3575386000000000.0,17.18,17.18
2020-12-24,19.86791666666667,6339760000000000.0,12.78,12.78
2020-12-25,12.983333333333334,3817844000000000.0,12.87,12.87
2020-12-26,13.323749999999997,3713180000000000.0,14.69,14.69
2020-12-27,12.754166666666665,3510340000000000.0,15.32,15.32
2020-12-28,22.584166666666672,3136248000000000.0,17.13,17.13
2020-12-29,13.465000000000003,4076980000000000.0,15.66,15.66
2020-12-30,17.889999999999997,2974632000000000.0,13.96,13.96
2020-12-31,17.67416666666666,2842690000000000.0,15.7,15.7
2021-01-01,17.208333333333332,3985564000000000.0,14.3,14.3
2021-01-02,14.087916666666668,3307620000000000.0,13.79,13.79
2021-01-03,12.975416666666666,3341850000000000.0,13.62,13.62
2021-01-04,12.331250000000002,3691630000000000.0,14.47,14.47
2021-01-05,4.0875,2711770000000000.0,13.49,13.49
2021-01-06,2.4341666666666666,2521996000000000.0,13.87,13.87
2021-01-07,9.162916666666666,4715580000000000.0,15.87,15.87
2021-01-08,17.366250000000004,4050490000000000.0,13.47,13.47
2021-01-09,6.593333333333334,3258860000000000.0,13.89,13.89
2021-01-10,4.877499999999998,4458522000000000.0,16.09,16.09
2021-01-11,13.014166666666666,3341220000000000.0,13.16,13.16
2021-01-12,13.567916666666669,3711190000000000.0,12.89,12.89
2021-01-13,16.81541666666666,3118144000000000.0,16.08,16.08
2021-01-14,7.641249999999999,4749100000000000.0,13.72,13.72
2021-01-15,17.694999999999997,3259344800000000.0,18.77,18.77
2021-01-16,6.670833333333334,3394430000000000.0,23.27,23.27
2021-01-17,5.808333333333334,2707730180000000.0,0.64,0.64
2021-01-18,13.330000000000004,3736190000000000.0,23.46,23.46
2021-01-19,5.3187500000000005,3191950000000000.0,19.85,19.85
2021-01-20,3.546250000000001,3366174000000000.0,14.48,14.48
2021-01-21,14.202083333333334,3662620000000000.0,17.55,17.55
2021-01-22,11.91625,3061486000000000.0,15.09,15.09
2021-01-23,16.856666666666666,3270570000000000.0,16.64,16.64
2021-01-24,15.400416666666665,3939362000000000.0,13.83,13.83
2021-01-25,10.565416666666666,3170230000000000.0,13.93,13.93
2021-01-26,23.5325,3165834000000000.0,14.86,14.86
2021-01-27,9.93,3425870000000000.0,15.71,15.71
2021-01-28,14.37916666666667,3088610000000000.0,14.21,14.21
2021-01-29,17.257916666666663,3258878000000000.0,17.48,17.48
2021-01-30,6.972916666666666,3696620000000000.0,15.74,15.74
2021-01-31,9.604166666666668,3049754000000000.0,16.2,16.2
2021-02-01,12.54916666666667,2810620000000000.0,22.38,22.38
2021-02-02,9.276666666666666,3458432000000000.0,25.62,25.62
2021-02-03,12.5825,3440780000000000.0,20.69,20.69
2021-02-04,15.129166666666668,3329696000000000.0,17.39,17.39
2021-02-05,16.012916666666666,3674070000000000.0,17.33,17.33
2021-02-06,6.035833333333333,2492720000000000.0,18.86,18.86
2021-02-07,7.899583333333336,2623104000000000.0,17.56,17.56
2021-02-08,8.47625,3253680000000000.0,13.2,13.2
2021-02-09,15.260833333333329,3417570000000000.0,19.3,19.3
2021-02-10,15.532083333333338,3985600000000000.0,21.16,21.16
2021-02-11,12.420833333333334,3192360000000000.0,19.71,19.71
2021-02-12,10.984166666666669,3066840000000000.0,22.03,22.03
2021-02-13,9.52375,3536940000000000.0,16.09,16.09
2021-02-14,15.9675,3684094000000000.0,17.16,17.16
2021-02-15,14.528750000000002,3613320000000000.0,21.0,21.0
2021-02-16,19.64708333333333,2952472000000000.0,18.56,18.56
2021-02-17,15.859583333333331,4109240000000000.0,14.12,14.12
2021-02-18,18.65041666666666,3521228000000000.0,17.22,17.22
2021-02-19,17.404999999999998,4619150000000000.0,18.01,18.01
2021-02-20,8.860416666666664,2843182000000000.0,16.69,16.69
2021-02-21,10.085833333333332,4907340000000000.0,14.22,14.22
2021-02-22,13.73375,4926850000000000.0,19.12,19.12
2021-02-23,13.51083333333334,2643042800000000.0,20.44,20.44
2021-02-24,5.987916666666668,5736160000000000.0,19.15,19.15
2021-02-25,7.502916666666664,2421900800000000.0,9.97,9.97
2021-02-26,6.775833333333335,3909472000000000.0,8.1,8.1
2021-02-27,2.6750000000000003,3532274000000000.0,5.08,5.08
2021-02-28,1.503333333333333,5655380000000000.0,4.82,4.82
2021-03-01,2.69375,4273720000000000.0,6.43,6.43
2021-03-02,5.273333333333334,3353718000000000.0,10.96,10.96
2021-03-03,9.380833333333332,3482690000000000.0,14.13,14.13
2021-03-04,2.497083333333333,4533126000000000.0,10.73,10.73
2021-03-05,1.4216666666666666,4610490000000000.0,6.65,6.65
2021-03-06,5.424166666666667,4181400000000000.0,4.54,4.54
2021-03-07,8.999999999999998,3639150000000000.0,5.64,5.64
2021-03-08,8.751666666666667,3168870180000000.0,8.38,8.38
2021-03-09,5.40375,4317520000000000.0,6.36,6.36
2021-03-10,4.892083333333332,5305080000000000.0,10.0,10.0
2021-03-11,5.270416666666667,3422236000000000.0,7.2,7.2
2021-03-12,7.879999999999999,4674720000000000.0,12.09,12.09
2021-03-13,4.130416666666667,3845322000000000.0,8.62,8.62
