date,open_NO2,sate_NO2,"Solapur, Solapur - MPCB"
2020-11-24,5.8725000000000005,4003560000000000.0,21.72
2020-11-25,3.535,3079120000000000.0,37.64
2020-11-26,2.60375,3702964000000000.0,21.3
2020-11-27,2.8745833333333337,4175864000000000.0,0.83
2020-11-28,6.144166666666667,4332182000000000.0,0.25
2020-11-29,8.622083333333334,4194928000000000.0,3.38
2020-11-30,13.868333333333334,4329388000000000.0,7.43
2020-12-01,10.254166666666666,5047460000000000.0,5.0
2020-12-02,9.719166666666666,3762966000000000.0,6.74
2020-12-03,7.3829166666666675,4753930000000000.0,67.48
2020-12-04,8.934166666666668,3298132000000000.0,16.63
2020-12-05,6.431250000000001,5101730000000000.0,16.6
2020-12-06,6.024166666666669,3712964000000000.0,16.61
2020-12-07,6.697083333333333,4253870000000000.0,16.59
2020-12-08,9.065833333333332,3717390000000000.0,16.58
2020-12-09,8.3925,3603784000000000.0,16.63
2020-12-10,7.182083333333335,3689780000000000.0,16.54
2020-12-11,6.490000000000002,4353300000000000.0,16.55
2020-12-12,4.584583333333333,4536640000000000.0,16.57
2020-12-13,4.020416666666667,3728580000000000.0,16.55
2020-12-14,5.240833333333334,4163220000000000.0,16.6
2020-12-15,6.269583333333332,3788656000000000.0,16.64
2020-12-16,8.225833333333332,5195800000000000.0,16.75
2020-12-17,5.740000000000001,5190130000000000.0,16.56
2020-12-18,6.903333333333332,3396558000000000.0,16.62
2020-12-19,4.370416666666666,5321990000000000.0,16.59
2020-12-20,4.749583333333334,4234216000000000.0,16.57
2020-12-21,8.694166666666668,5922900000000000.0,16.62
2020-12-22,11.323333333333336,3600714000000000.0,16.57
2020-12-23,10.08125,4870210000000000.0,16.7
2020-12-24,7.847916666666667,4961680000000000.0,16.59
2020-12-25,7.840833333333332,3990324000000000.0,16.6
2020-12-26,9.041666666666666,4907350000000000.0,28.69
2020-12-27,10.256666666666666,4482950000000000.0,46.41
2020-12-28,8.549583333333334,4981060000000000.0,38.13
2020-12-29,9.014583333333334,3710988000000000.0,32.04
2020-12-30,7.430416666666669,3995690000000000.0,38.71
2020-12-31,4.37625,3367920000000000.0,35.36
2021-01-01,3.902916666666666,4322370000000000.0,28.29
2021-01-02,5.837916666666668,4187960000000000.0,28.33
2021-01-03,3.3591666666666664,4818670000000000.0,28.25
2021-01-04,4.810416666666668,4405560000000000.0,28.28
2021-01-05,6.041250000000002,3487784000000000.0,28.23
2021-01-06,4.099583333333334,3846268000000000.0,28.27
2021-01-07,4.926666666666668,4251336000000000.0,28.26
2021-01-08,7.060416666666669,4510060000000000.0,28.33
2021-01-09,5.021249999999999,3366230000000000.0,38.22
2021-01-10,6.37125,4040164000000000.0,62.47
2021-01-11,11.08125,3654570000000000.0,28.24
2021-01-12,7.685833333333334,4178534000000000.0,28.33
2021-01-13,8.405416666666666,5760020000000000.0,28.31
2021-01-14,6.785416666666666,4312218000000000.0,28.29
2021-01-15,7.399583333333331,4248100000000000.0,28.28
2021-01-16,3.9045833333333335,4150130000000000.0,28.27
2021-01-17,3.4020833333333336,4086280000000000.0,28.26
2021-01-18,4.31,4649330000000000.0,28.33
2021-01-19,6.319583333333333,3960756000000000.0,28.28
2021-01-20,16.103749999999998,5338800000000000.0,28.27
2021-01-21,15.9675,3558118000000000.0,28.26
2021-01-22,8.010416666666666,5373550000000000.0,30.47
2021-01-23,8.999583333333332,4014400000000000.0,34.8
2021-01-24,11.824166666666663,5864130000000000.0,34.38
2021-01-25,10.805416666666666,6168340000000000.0,36.53
2021-01-26,14.154999999999998,3144824000000000.0,36.98
2021-01-27,5.3875,5102770000000000.0,33.94
2021-01-28,4.839166666666667,4349292000000000.0,33.77
2021-01-29,8.062916666666668,4231030000000000.0,32.63
2021-01-30,6.619583333333334,4629960000000000.0,35.05
2021-01-31,5.119166666666668,4884670000000000.0,35.81
2021-02-01,5.250000000000001,3809530000000000.0,31.55
2021-02-02,7.808333333333334,4576370000000000.0,34.77
2021-02-03,7.643750000000001,3983490000000000.0,36.41
2021-02-04,7.8675,3921130000000000.0,28.82
2021-02-05,13.739166666666668,3860640000000000.0,26.61
2021-02-06,4.117083333333333,4324522000000000.0,26.69
2021-02-07,3.5125,5480630000000000.0,27.08
2021-02-08,6.035,3898676000000000.0,20.05
2021-02-09,12.585833333333332,5199190000000000.0,32.2
2021-02-10,11.942499999999995,5325410000000000.0,32.17
2021-02-11,7.163749999999999,3987782000000000.0,32.18
2021-02-12,6.629583333333333,5392370000000000.0,32.15
2021-02-13,8.318333333333333,3383558000000000.0,32.1
2021-02-14,11.9625,5047750000000000.0,32.2
2021-02-15,11.8725,3559408000000000.0,32.19
2021-02-16,6.460833333333334,4792390000000000.0,32.23
2021-02-17,6.225416666666667,4339346000000000.0,32.81
2021-02-18,3.431666666666666,4386350000000000.0,32.4
2021-02-19,3.2237499999999994,5015790000000000.0,26.72
2021-02-20,3.259583333333333,4346824000000000.0,27.22
2021-02-21,7.704583333333333,4809510000000000.0,27.91
2021-02-22,12.897083333333333,4802964000000000.0,50.3
2021-02-23,6.8812500000000005,7149540000000000.0,30.64
2021-02-24,11.457500000000003,3887352000000000.0,23.53
2021-02-25,6.279583333333334,4433130000000000.0,26.82
2021-02-26,4.068749999999999,5862450000000000.0,25.55
2021-02-27,4.334583333333333,5135670000000000.0,27.55
2021-02-28,8.457916666666666,5809200000000000.0,27.56
2021-03-01,6.422083333333333,4157114000000000.0,29.82
2021-03-02,8.017083333333334,3797060000000000.0,30.25
2021-03-03,5.21125,3006252000000000.0,34.32
2021-03-04,7.751666666666666,5249320000000000.0,32.57
2021-03-05,16.455000000000002,5483030000000000.0,28.85
2021-03-06,8.442916666666667,7163820000000000.0,29.11
2021-03-07,10.475416666666664,6698040000000000.0,27.68
2021-03-08,5.023749999999999,5748780000000000.0,28.64
2021-03-09,5.178749999999999,6728960000000000.0,31.21
2021-03-10,7.650833333333334,5030332000000000.0,27.81
2021-03-11,4.8100000000000005,6537940000000000.0,28.92
2021-03-12,4.7475,4700368000000000.0,31.48
2021-03-13,4.646250000000001,5419400000000000.0,30.59
2021-03-14,4.868260869565218,7193210000000000.0,32.73
2021-03-15,7.196666666666666,4994860000000000.0,28.46
2021-03-16,8.720833333333333,6344390000000000.0,28.79
2021-03-17,6.548333333333333,-257527000000000.0,29.27
2021-03-18,7.657083333333333,6002510000000000.0,30.35
2021-03-19,5.409583333333333,4407624000000000.0,28.84
2021-03-20,4.775000000000001,4126620000000000.0,26.6
2021-03-21,4.446666666666666,5631680000000000.0,21.8
