date,open_NO2,sate_NO2,"Rajbagh, Srinagar - JKSPCB"
2020-11-24,91.165,3574030000000000.0,9.97
2020-11-25,79.74041666666668,3794206000000000.0,13.26
2020-11-26,98.14833333333333,3181032000000000.0,10.89
2020-11-27,104.67458333333332,3915802000000000.0,11.09
2020-11-28,71.37333333333332,4592302000000000.0,16.73
2020-11-29,98.87666666666668,4615092000000000.0,9.13
2020-11-30,122.43916666666668,4361830000000000.0,7.7
2020-12-01,117.54166666666669,2394458000000000.0,9.16
2020-12-02,117.88375000000002,2524210000000000.0,9.24
2020-12-03,115.09916666666663,4164440000000000.0,19.58
2020-12-04,120.26791666666666,3303046000000000.0,19.73
2020-12-05,71.57208333333334,2446680000000000.0,8.39
2020-12-06,68.07458333333334,4323784000000000.0,5.48
2020-12-07,62.904583333333335,4991998000000000.0,6.12
2020-12-08,58.17874999999999,3291748000000000.0,7.99
2020-12-09,87.76666666666667,2054650000000000.0,7.06
2020-12-10,97.87666666666668,3523012000000000.0,8.11
2020-12-11,66.91958333333332,3804498000000000.0,4.3
2020-12-12,64.41875,3549434000000000.0,22.21
2020-12-13,97.74875000000002,5424922000000000.0,23.06
2020-12-14,106.67333333333332,2121610000000000.0,21.95
2020-12-15,103.67541666666668,4454634000000000.0,21.38
2020-12-16,86.29541666666667,2878420000000000.0,20.8
2020-12-17,94.33583333333335,2518718000000000.0,24.35
2020-12-18,85.76625,2365310000000000.0,28.74
2020-12-19,58.235833333333325,3878710000000000.0,32.27
2020-12-20,65.375,4755116000000000.0,34.17
2020-12-21,86.26708333333333,3764334000000000.0,38.83
2020-12-22,85.39541666666668,5135314000000000.0,41.79
2020-12-23,99.18958333333336,2369720000000000.0,38.87
2020-12-24,109.92999999999996,2405074000000000.0,41.14
2020-12-25,92.00874999999998,2048390000000000.0,38.79
2020-12-26,62.20458333333335,2530520000000000.0,33.53
2020-12-27,66.57583333333334,4213518000000000.0,29.46
2020-12-28,84.08083333333332,2693780000000000.0,27.2
2020-12-29,67.85958333333333,3985308000000000.0,27.49
2020-12-30,105.90333333333336,2526690000000000.0,30.01
2020-12-31,83.38208333333334,4899590000000000.0,31.32
2021-01-01,99.8479166666667,2676940000000000.0,29.34
2021-01-02,79.04,2455700000000000.0,31.86
2021-01-03,66.43041666666667,2029100000000000.0,30.66
2021-01-04,75.4,3569970000000000.0,34.03
2021-01-05,68.27249999999998,4326690000000000.0,28.81
2021-01-06,81.99708333333332,2734890000000000.0,23.56
2021-01-07,96.52041666666668,4704936000000000.0,23.18
2021-01-08,67.31791666666668,2742150000000000.0,22.33
2021-01-09,54.42249999999999,3458922000000000.0,20.17
2021-01-10,47.68166666666665,2505700000000000.0,20.49
2021-01-11,61.47625,2482490000000000.0,21.33
2021-01-12,63.51958333333332,5190506000000000.0,21.36
2021-01-13,57.35,2877260000000000.0,20.14
2021-01-14,74.21458333333332,3838046000000000.0,18.63
2021-01-15,98.03458333333334,2543940000000000.0,20.85
2021-01-16,71.88791666666667,5103836000000000.0,18.92
2021-01-17,82.06875,2415320000000000.0,19.96
2021-01-18,70.7875,2208312000000000.0,22.6
2021-01-19,67.51750000000003,2226490000000000.0,21.03
2021-01-20,76.72791666666667,3926980000000000.0,21.1
2021-01-21,82.31208333333335,4347468000000000.0,21.71
2021-01-22,79.47041666666668,2872160000000000.0,20.24
2021-01-23,60.705000000000005,4216966000000000.0,20.72
2021-01-24,75.77166666666666,2794780000000000.0,21.07
2021-01-25,103.67500000000004,3451172000000000.0,24.51
2021-01-26,99.7845,2820960000000000.0,22.88
2021-01-27,69.145,2918150000000000.0,22.4
2021-01-28,111.32916666666664,4120268000000000.0,22.22
2021-01-29,83.29625,2955340000000000.0,20.96
2021-01-30,59.44958333333333,5322806000000000.0,21.48
2021-01-31,79.88333333333333,2653870000000000.0,22.73
2021-02-01,74.68624999999999,4210260000000000.0,22.11
2021-02-02,122.15375,2256080000000000.0,22.03
2021-02-03,81.14041666666667,3987862000000000.0,21.18
2021-02-04,79.74041666666665,2286570000000000.0,19.0
2021-02-05,90.58041666666666,2933660000000000.0,19.26
2021-02-06,66.34458333333332,4393454000000000.0,18.41
2021-02-07,70.40208333333335,2791420000000000.0,19.44
2021-02-08,115.29833333333332,4720802000000000.0,24.47
2021-02-09,96.3633333333333,2860160000000000.0,21.68
2021-02-10,76.87041666666667,3739190000000000.0,13.89
2021-02-11,101.36166666666668,2756050000000000.0,17.73
2021-02-12,89.78041666666667,2944710000000000.0,10.54
2021-02-13,95.26375000000002,4558356000000000.0,17.06
2021-02-14,73.15791666666668,3577610000000000.0,13.95
2021-02-15,79.98375,3530528000000000.0,13.63
2021-02-16,82.2825,3325750000000000.0,12.54
2021-02-17,84.425,4738128000000000.0,12.69
2021-02-18,79.14833333333333,2917460000000000.0,11.91
2021-02-19,96.46999999999998,2794426000000000.0,11.01
2021-02-20,93.85041666666666,3422232000000000.0,14.33
2021-02-21,90.68000000000002,3715520000000000.0,15.03
2021-02-22,66.56041666666667,3397110000000000.0,16.91
2021-02-23,43.44083333333334,2643520000000000.0,24.64
2021-02-24,74.57208333333334,4205652000000000.0,14.04
2021-02-25,78.54166666666667,2797970000000000.0,8.55
2021-02-26,42.576666666666654,3368284000000000.0,6.52
2021-02-27,33.61625,4263024000000000.0,18.09
2021-02-28,62.39041666666668,3128050000000000.0,9.75
2021-03-01,76.98541666666667,4540698000000000.0,17.04
2021-03-02,60.99458333333333,4301900000000000.0,18.73
2021-03-03,63.56166666666668,3338678000000000.0,18.33
2021-03-04,50.85166666666666,3359620000000000.0,21.87
2021-03-05,61.69083333333332,3317058000000000.0,17.25
2021-03-06,63.19083333333333,2538800000000000.0,19.93
2021-03-07,27.81125,2429808000000000.0,12.88
2021-03-08,46.303333333333335,2080320000000000.0,12.77
2021-03-09,60.23416666666666,3393640000000000.0,0.02
2021-03-10,64.62500000000001,4862194000000000.0,3.68
2021-03-11,35.715833333333336,3223382000000000.0,12.87
2021-03-12,68.17375,4179920000000000.0,7.95
2021-03-13,67.87458333333333,2778310000000000.0,12.32
2021-03-14,36.20260869565217,4509856000000000.0,15.39
2021-03-15,59.96208333333333,2381700000000000.0,17.13
2021-03-16,53.11458333333334,3076180000000000.0,17.3
2021-03-17,47.41041666666666,3955596000000000.0,16.61
2021-03-18,55.25083333333333,3400040000000000.0,17.11
2021-03-19,48.83166666666667,4621938000000000.0,17.8
2021-03-20,39.90541666666667,3450470000000000.0,12.02
2021-03-21,28.064166666666665,5293614000000000.0,6.92
2021-03-22,36.235833333333325,3007840000000000.0,11.93
2021-03-23,31.33375000000001,2445776000000000.0,17.46
2021-03-24,32.903333333333336,2524870000000000.0,12.3
2021-03-25,59.35,4207890000000000.0,17.58
2021-03-26,55.27916666666668,4141618000000000.0,19.55
2021-03-27,51.19499999999999,2919630000000000.0,22.98
2021-03-28,27.81125,4258756000000000.0,19.56
2021-03-29,42.2475,3900042000000000.0,31.03
2021-03-30,56.93541666666668,4195912000000000.0,33.97
2021-03-31,57.74916666666667,3498900000000000.0,34.19
2021-04-01,44.70875,5451840000000000.0,36.84
2021-04-02,78.36958333333332,4359682000000000.0,33.79
2021-04-03,38.19625,5073490000000000.0,34.42
2021-04-04,33.24083333333334,3559918000000000.0,33.28
2021-04-05,39.599583333333335,3076760000000000.0,31.2
2021-04-06,23.374166666666667,4359186000000000.0,30.25
2021-04-07,52.00916666666666,3204400000000000.0,28.95
2021-04-08,44.57625,3672474000000000.0,30.78
2021-04-09,56.735833333333325,4644870000000000.0,31.26
2021-04-10,49.56,3904500000000000.0,32.23
2021-04-11,42.504583333333336,3727970000000000.0,32.63
