date,open_SO2,sate_SO2,"Kariavattom, Thiruvananthapuram - Kerala PCB","Plammoodu, Thiruvananthapuram - Kerala PCB"
2020-11-24,1.9925,-0.07,10.63,10.63
2020-11-25,0.7395833333333335,0.0507587992,10.59,10.59
2020-11-26,1.9920833333333332,0.1311559208,3.53,11.77
2020-11-27,2.21125,0.0871740026,3.31,7.47
2020-11-28,5.475416666666665,-0.0049215349999999,3.21,8.19
2020-11-29,5.232083333333333,0.077823892,3.02,9.6
2020-11-30,6.292083333333333,0.196685627,7.61,7.61
2020-12-01,6.226666666666667,-0.08220236,3.26,7.3
2020-12-02,5.130833333333333,0.0482654016,3.94,7.59
2020-12-03,5.779166666666666,0.0964898145999999,2.7,8.56
2020-12-04,5.226666666666666,0.0461206982,5.0,7.42
2020-12-05,1.9775000000000005,0.0440097967999999,3.5,8.79
2020-12-06,4.003333333333333,-0.0203984818,3.93,7.89
2020-12-07,8.734166666666667,0.0581922346,7.37,8.15
2020-12-08,10.175833333333332,0.024991302,3.92,8.66
2020-12-09,8.87625,-0.0079545182,4.16,8.37
2020-12-10,8.672500000000001,-0.082516201,2.67,9.47
2020-12-11,5.124583333333333,0.1644382656,3.09,8.37
2020-12-12,4.030833333333334,0.0297607892,2.59,9.29
2020-12-13,3.4650000000000003,0.0470718824,4.51,9.03
2020-12-14,7.102083333333334,0.0926810508,1.88,8.16
2020-12-15,8.18375,0.197804376,4.31,7.36
2020-12-16,6.088333333333332,0.949999988,4.06,7.36
2020-12-17,5.110416666666667,-0.024425682,2.73,7.17
2020-12-18,6.064166666666666,-0.0364161479999999,2.27,7.06
2020-12-19,5.806666666666668,0.0810394468,2.14,8.94
2020-12-20,7.293749999999999,0.3022465676,5.01,9.34
2020-12-21,8.874166666666666,0.0176524055999999,1.11,9.07
2020-12-22,7.019583333333333,-0.0280871742,5.31,7.64
2020-12-23,10.385000000000003,0.016717525,2.68,8.54
2020-12-24,7.258749999999999,-0.016745582,4.57,9.22
2020-12-25,7.547499999999999,0.0733026996,2.83,7.77
2020-12-26,7.580833333333332,-0.130139634,9.22,9.22
2020-12-27,7.430000000000001,0.0347995985999999,8.72,8.72
2020-12-28,6.8616666666666655,-0.5,7.94,7.94
2020-12-29,6.866666666666666,0.0583615516,3.03,8.17
2020-12-30,7.935416666666665,0.1297853946,6.23,6.92
2020-12-31,6.395833333333333,-0.0018517261999999,2.37,8.0
2021-01-01,7.48375,0.0169808277999999,3.53,9.36
2021-01-02,5.577499999999998,0.116644144,4.45,10.39
2021-01-03,5.331666666666666,0.2066931286,4.13,8.73
2021-01-04,5.510416666666667,0.0070810482,1.78,6.69
2021-01-05,2.7270833333333333,0.0134555016,3.12,7.74
2021-01-06,6.3825,0.1033198915999999,2.86,7.14
2021-01-07,6.925833333333334,0.0643990696,4.24,7.46
2021-01-08,6.038750000000001,0.52009201,5.15,8.19
2021-01-09,4.345416666666667,-0.08505774,1.35,8.86
2021-01-10,4.3975,0.1245534044,4.33,8.27
2021-01-11,5.6429166666666655,0.1113745309999999,2.79,8.64
2021-01-12,3.8129166666666663,-0.0505360028,4.69,9.07
2021-01-13,5.448333333333333,-0.0216478076,2.98,9.31
2021-01-14,8.534583333333332,0.0354899112,3.57,8.05
2021-01-15,8.901666666666666,-0.030467265,2.92,8.65
2021-01-16,6.843749999999997,-0.031997975,3.8,7.91
2021-01-17,8.385833333333332,-0.044832084,4.74,7.44
2021-01-18,8.97625,-0.117758594,2.47,8.31
2021-01-19,5.445833333333334,-0.0071452549999999,3.5,8.03
2021-01-20,4.842916666666666,-0.04492138,3.88,8.74
2021-01-21,6.482083333333333,-0.0447883637999999,5.57,7.51
2021-01-22,5.083750000000001,-0.0367067113999999,4.62,9.04
2021-01-23,5.169583333333333,0.033896436,2.63,7.71
