date,open_SO2,sate_SO2,"Ardhali Bazar, Varanasi - UPPCB","Bhelupur, Varanasi - UPPCB","IESD Banaras Hindu University, Varanasi - UPPCB","Maldahiya, Varanasi - UPPCB"
2020-11-24,13.6825,0.1240000054,16.93,16.93,16.93,16.93
2020-11-25,13.455833333333336,-1.07000005,10.93,10.93,10.93,10.93
2020-11-26,21.597916666666663,0.0550000003999999,31.2,31.2,31.2,31.2
2020-11-27,22.21375,0.1159999953999999,31.01,31.01,31.01,31.01
2020-11-28,22.49125,-0.324999988,39.4,39.4,39.4,39.4
2020-11-29,17.094583333333336,0.0540000053999999,54.92,54.92,54.92,54.92
2020-11-30,24.681666666666672,-0.209999993,18.69,18.69,18.69,18.69
2020-12-01,35.01625,0.1719999954,3.02,3.02,3.02,3.02
2020-12-02,23.016666666666666,-0.054000002,3.68,3.68,3.68,3.68
2020-12-03,24.359166666666663,-0.0719999984,4.81,4.81,4.81,4.81
2020-12-04,34.11291666666667,-0.2169999957999999,6.49,6.49,6.49,6.49
2020-12-05,27.36666666666666,0.0180000001999999,5.96,5.96,5.96,5.96
2020-12-06,32.62916666666667,-0.251999993,6.66,6.66,6.66,6.66
2020-12-07,24.91,0.264999986,7.02,7.02,7.02,7.02
2020-12-08,22.771666666666672,0.369000004,6.27,6.27,6.27,6.27
2020-12-09,28.99875,-0.039999999,5.66,5.66,5.66,5.66
2020-12-10,20.876666666666672,0.0239999965999999,5.24,5.24,5.24,5.24
2020-12-11,16.235416666666666,0.2099999931999999,6.52,6.52,6.52,6.52
2020-12-12,10.806666666666668,0.1120000063999999,5.35,5.35,5.35,5.35
2020-12-13,11.933750000000003,0.0420000006,4.93,4.93,4.93,4.93
2020-12-14,21.647083333333335,-0.020000002,5.98,5.98,5.98,5.98
2020-12-15,21.639166666666668,0.1509999986,6.51,6.51,6.51,6.51
2020-12-16,14.151250000000005,-0.1150000058,5.96,5.96,5.96,5.96
2020-12-17,15.96,0.1789999969999999,5.03,5.03,5.03,5.03
2020-12-18,16.923333333333336,0.1249999939999999,4.14,4.14,4.14,4.14
2020-12-19,17.50625,0.1660000129999999,6.02,6.02,6.02,6.02
2020-12-20,14.18875,0.3819999954,4.73,4.73,4.73,4.73
2020-12-21,17.565833333333334,0.0719999944,12.24,12.24,12.24,12.24
2020-12-22,22.24833333333333,-0.0629999996,12.76,12.76,12.76,12.76
2020-12-23,27.6025,-0.245000005,11.38,11.38,11.38,11.38
2020-12-24,22.93416666666667,0.4830000101999999,9.68,9.68,9.68,9.68
2020-12-25,22.328750000000003,-1.53999996,8.64,8.64,8.64,8.64
2020-12-26,16.397083333333335,0.0549999995999999,9.64,9.64,9.64,9.64
2020-12-27,22.850416666666664,0.689999998,9.25,9.25,9.25,9.25
2020-12-28,14.118749999999997,0.1480000064,8.98,8.98,8.98,8.98
2020-12-29,15.374583333333332,-0.1840000011999999,5.47,5.47,5.47,5.47
2020-12-30,17.869583333333328,0.0109999983999999,7.49,7.49,7.49,7.49
2020-12-31,23.24625,0.0560000045999999,7.22,7.22,7.22,7.22
2021-01-01,24.601666666666677,-0.379999995,7.1,7.1,7.1,7.1
2021-01-02,15.272500000000004,0.3040000086,7.44,7.44,7.44,7.44
2021-01-03,9.99125,-0.1729999912,10.43,10.43,10.43,10.43
2021-01-04,9.909999999999998,0.2200000036,11.36,11.36,11.36,11.36
2021-01-05,17.22166666666667,0.2159999951999999,7.8,7.8,7.8,7.8
2021-01-06,25.98541666666668,0.093999997,11.33,11.33,11.33,11.33
2021-01-07,22.818750000000005,0.2489999952,8.74,8.74,8.74,8.74
2021-01-08,17.493750000000002,-0.349999994,8.24,8.24,8.24,8.24
2021-01-09,18.940416666666668,0.0759999978,7.91,7.91,7.91,7.91
2021-01-10,13.425833333333337,0.3150000098,7.53,7.53,7.53,7.53
2021-01-11,14.804583333333335,0.4589999934,7.81,7.81,7.81,7.81
2021-01-12,16.68208333333333,-0.104999997,4.79,4.79,4.79,4.79
2021-01-13,15.299583333333336,-0.0059999991999999,6.1,6.1,6.1,6.1
2021-01-14,27.83541666666667,-0.0040000005999999,4.87,4.87,4.87,4.87
2021-01-15,26.521666666666672,0.1560000018,4.35,4.35,4.35,4.35
2021-01-16,22.879166666666677,0.1450000018,4.94,4.94,4.94,4.94
2021-01-17,7.588750000000001,-0.0909999972,4.85,4.85,4.85,4.85
2021-01-18,15.851666666666668,0.4899999908,5.51,5.51,5.51,5.51
2021-01-19,19.000000000000004,0.1589999944,6.65,6.65,6.65,6.65
