date,open_SO2,sate_SO2,"Alipur, Delhi - DPCC","Anand Vihar, Delhi - DPCC","Ashok Vihar, Delhi - DPCC","Aya Nagar, Delhi - IMD","Bawana, Delhi - DPCC","Burari Crossing, Delhi - IMD","Chandni Chowk, Delhi - IITM","CRRI Mathura Road, Delhi - IMD",Dr,"DTU, Delhi - CPCB","Dwarka-Sector 8, Delhi - DPCC ","East Arjun Nagar, Delhi - CPCB","IGI Airport (T3), Delhi - IMD","IHBAS, Dilshad Garden, Delhi - CPCB","ITO, Delhi - CPCB","Jahangirpuri, Delhi - DPCC","Jawaharlal Nehru Stadium, Delhi - DPCC","Lodhi Road, Delhi - IITM","Lodhi Road, Delhi - IMD","Major Dhyan Chand National Stadium, Delhi - DPCC","Mandir Marg, Delhi - DPCC","Mundka, Delhi - DPCC","Najafgarh, Delhi - DPCC","Narela, Delhi - DPCC","Nehru Nagar, Delhi - DPCC","North Campus, DU, Delhi - IMD","NSIT Dwarka, Delhi - CPCB","Okhla Phase-2, Delhi - DPCC","Patparganj, Delhi - DPCC","Punjabi Bagh, Delhi - DPCC","Pusa, Delhi - DPCC","Pusa, Delhi - IMD","R K Puram, Delhi - DPCC","Rohini, Delhi - DPCC","Shadipur, Delhi - CPCB","Sirifort, Delhi - CPCB","Sonia Vihar, Delhi - DPCC","Sri Aurobindo Marg, Delhi - DPCC","Vivek Vihar, Delhi - DPCC","Wazirpur, Delhi - DPCC"
2020-11-24,59.96249999999999,-0.0819999986,12.09,11.6,11.55,17.52,12.68,11.7125,17.89,11.7125,17.12,4.21,34.75,9.63,34.75,8.08,17.89,8.07,16.67,16.67,17.52,13.58,4.56,16.57,5.74,12.53,10.95,11.7125,31.85,17.36,2.6,12.56,14.37,14.37,14.8,5.38,8.56,12.4,8.95,7.78,14.45,10.29
2020-11-25,81.34041666666667,0.0619999967999999,16.48,7.89,15.64,13.525,21.96,12.982500000000002,21.79,12.982500000000002,14.193333333333332,6.09,23.76,24.14,23.76,19.27,21.79,7.68,22.25,22.25,13.525,19.3,10.63,27.73,7.46,23.74,20.36,12.982500000000002,25.65,18.97,5.56,3.67,29.33,29.33,10.92,12.39,12.62,7.46,16.09,28.23,19.12,7.67
2020-11-26,61.284166666666685,0.75,12.55,12.05,18.65,19.156666666666663,15.92,12.875,13.48,12.875,9.246666666666668,6.24,21.77,22.68,21.77,14.82,13.48,2.77,24.99,24.99,19.156666666666663,17.42,11.69,11.92,11.98,15.86,12.07,12.875,4.74,17.9,5.2,13.6,13.45,13.45,15.85,10.24,5.24,5.21,11.02,6.3,43.72,13.92
2020-11-27,39.547916666666666,-0.1140000159999999,18.06,0.72,14.61,30.20333333333333,29.25,15.2175,16.14,15.2175,12.543333333333331,15.11,20.14,18.45,20.14,10.93,16.14,0.72,28.84,28.84,30.20333333333333,20.31,22.76,25.71,22.03,17.09,2.05,15.2175,4.99,17.25,7.65,9.64,22.512500000000003,9.72,17.91,13.88,9.72,8.1,11.11,9.3,24.02,14.01
2020-11-28,41.565,0.800000012,19.28,1.19,21.67,17.115000000000002,18.75,12.3925,4.0,12.3925,8.466666666666667,13.69,12.54,6.8,12.54,4.22,4.0,1.19,23.04,23.04,17.115000000000002,19.4,22.08,14.2,14.18,15.21,17.11,12.3925,9.08,10.81,6.8,14.35,17.86,4.38,12.68,9.57,4.38,4.81,23.23,10.01,39.99,14.24
2020-11-29,82.09708333333336,-0.236000001,9.87,13.59,17.28,20.48,18.0,9.8575,2.47,9.8575,6.676666666666667,12.12,9.4,16.82,9.4,3.34,2.47,4.68,17.59,17.59,20.48,19.23,32.81,9.63,11.97,8.88,15.56,9.8575,16.52,15.21,3.87,10.05,19.8975,6.49,10.48,5.62,6.49,6.44,12.57,8.18,31.56,21.13
2020-11-30,71.22833333333334,0.319999993,8.31,11.48,10.28,10.645,3.09,7.9625,4.15,7.9625,8.774999999999999,6.91,7.59,25.2,7.59,6.28,4.15,2.84,8.43,8.43,10.645,11.32,39.16,4.44,12.17,9.6,7.23,7.9625,7.59,9.87,4.24,21.11,12.44,12.44,9.43,1.86,10.12,10.46,12.99,4.83,25.22,14.77
2020-12-01,71.01916666666665,-0.1520000018,9.61,6.56,16.83,13.64,5.78,8.203333333333333,3.86,8.203333333333333,7.91,18.26,5.39,12.16,5.39,8.32,3.86,3.48,13.12,13.12,13.64,11.0,8.36,11.04,8.8,0.81,1.81,8.203333333333333,3.9,6.01,8.203333333333333,6.85,6.21,6.21,8.99,1.78,11.34,6.81,7.85,5.06,16.1,18.41
2020-12-02,51.38958333333333,-0.400000006,10.95,32.97,20.89,25.246666666666663,2.44,12.465,4.9,12.465,7.825,6.44,7.3,26.61,7.3,8.53,4.9,8.77,9.96,9.96,25.246666666666663,13.92,8.63,12.84,9.41,2.42,6.07,12.465,6.97,15.88,7.47,4.73,8.8,8.8,15.56,5.09,10.15,21.0,9.8,6.39,21.12,17.61
2020-12-03,112.7725,-0.07,18.21,45.31,20.84,15.346666666666664,7.05,16.215,35.97,16.215,10.12,7.18,13.2,32.74,13.2,17.13,35.97,16.37,25.21,25.21,15.346666666666664,18.63,12.18,18.91,13.25,16.32,9.77,16.215,9.06,21.25,9.26,20.36,18.15,18.15,16.14,8.73,13.97,38.63,15.51,9.21,39.02,24.79
2020-12-04,79.19625,0.3980000116,14.53,23.92,23.83,12.465,10.08,18.0575,29.98,18.0575,12.973333333333334,4.61,9.34,30.6,9.34,13.95,29.98,12.82,29.35,29.35,12.465,17.91,23.01,15.37,9.04,12.9,20.57,18.0575,21.74,30.03,11.31,7.98,19.66,19.66,16.36,8.08,13.9,33.37,14.25,8.43,25.98,26.48
2020-12-05,50.58541666666665,0.039999999,16.99,42.4,20.33,15.47,7.95,16.555,5.15,16.555,14.503333333333336,5.96,14.23,47.47,14.23,10.93,23.9,10.37,30.54,13.96,15.47,15.14,20.29,20.2,15.15,19.96,16.85,16.555,16.43,23.67,9.98,13.16,20.23,20.23,15.58,6.38,17.5,33.3,13.48,5.87,34.62,28.56
2020-12-06,60.44916666666668,-0.4659999931999999,17.44,37.56,29.58,14.645,4.68,14.525,2.96,14.525,14.973333333333334,5.37,9.9,49.11,9.9,12.12,24.11,11.64,25.45,4.16,14.645,16.36,20.14,20.2,13.58,19.87,18.28,14.525,9.65,20.8,8.94,15.58,20.52,20.52,10.92,8.31,18.88,31.74,20.54,8.38,55.72,39.36
2020-12-07,63.86625,0.167999998,15.92,11.05,16.25,13.28,4.61,13.0,1.68,13.0,11.416666666666666,3.95,9.12,21.61,9.12,12.54,15.67,8.79,24.85,7.76,13.28,15.35,21.1,15.98,9.75,14.71,14.16,13.0,10.76,19.79,5.63,8.99,22.37,22.37,10.66,6.4,14.93,20.48,11.62,7.86,23.5,23.06
2020-12-08,159.66083333333333,-0.0679999988,13.71,11.91,16.8,10.7,4.17,12.065,3.41,12.065,12.406666666666666,3.45,7.35,23.05,7.35,12.24,14.1,8.46,26.21,4.0,10.7,14.51,19.67,13.91,4.98,6.86,12.53,12.065,9.51,15.89,6.47,5.36,18.41,18.41,12.19,6.17,11.92,15.14,11.5,8.86,26.83,20.27
2020-12-09,109.335,0.177999998,15.5,9.57,19.41,12.29,4.78,12.5875,3.37,12.5875,15.003333333333332,4.0,7.02,18.73,7.02,7.61,13.33,9.66,24.08,3.32,12.29,14.99,14.66,13.96,6.11,8.21,14.1,12.5875,10.61,15.86,5.17,7.12,18.1,18.1,13.82,7.4,16.97,16.25,12.5,10.17,20.13,26.39
2020-12-10,87.67,1.24000001,17.63,13.45,21.1,11.635,5.22,13.7375,9.83,13.7375,17.026666666666667,5.2,8.56,19.45,8.56,8.41,18.17,10.69,26.1,3.53,11.635,15.21,17.86,14.29,5.56,12.55,14.76,13.7375,11.51,15.25,5.29,6.13,16.79,16.79,16.78,7.26,15.69,17.09,13.13,10.07,22.09,34.84
